asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Unbrauchbar,"Da dieses Produkt als Lebend""FALLE"" beworben wird, muss ich leider auf die niedrigste verfügbare Bewertung zurückgreifen und selbst das ist noch zu viel. Gemäß des Tipps auf vielen Internetseiten und auch hier vom Hersteller haben wir die fallen mit überreifen Obststücken gefüllt. Soweit so gut, man könnte sehen, dass dies auf jeden Fall schonmal funktioniert hat und als Lockstoff sehr dienlich war. Nach kurzer Zeit tummelten sich in der einen Falle, die in der Einflugschneise in unserem Garten hing ca. 10 Wespen. In einer weiteren Falle waren es ca. 3. Die andere blieb leer, jedoch hängt diese Recht weit am Rand der Terrasse. An sich wäre das für mich direkt eine 5 Sterne Bewertung wert gewesen, wenn da nicht das kleine aber gewesen wäre. Ich wollte im Sinne des Naturschutzes natürlich am Abend alle gefangenen Wespen wieder freilassen, als ich jedoch von meiner Abendrunde mit unserem Hund wiederkam, musste ich feststellen, dass es keine Wespen mehr zum freilassen gab. Sie hatten sich bereits selbst befreit. Dieses Schauspiel beobachtete ich dann in den folgenden Tagen Mal genauer und musste feststellen, dass die Wespen es tatsächlich nach einer gewissen Zeit schaffen, wieder aus der Falle herauszukrabbeln. Dieser Fakt macht die ""Fällen"" natürlich für den gewünschten Einsatz als Lebendfalle völlig unbrauchbar. Gerne würde ich den Artikel zurücksenden, da er so völlig zwecklos ist, da er aber bereits benutzt ist, steht mir diese Möglichkeit wohl nicht mehr zur Verfügung. Fazit: als Lebendfalle unbrauchbar, mit Flüssigkeiten drin, um die Wespen zu töten eventuell hilfreich, aber nicht unbedingt umweltschonend.",1,Reviewed in Germany on 27 July 2022,Christopher,True,6,R1M7GQ0VHW8VLM,https://www.amazon.de/gp/customer-reviews/R1M7GQ0VHW8VLM,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Schrott mit Unterhaltungswert,"Mit meinem Nachbarn habe ich ein Joint Venture, von dem er allerdings nichts weiß. Er stellt Insektenhotels auf, in denen er Wespen ein Obdach gibt. Da ich mich auf meiner Terrasse nicht für ihre Vollpension zuständig fühle, zu der sie sich bei jedem Essen ungefragt einladen, stelle ich Wespenfallen auf, um den Kreislauf der Natur in Schwung zu halten. Die heute erhaltenen drei Fallen habe ich direkt getestet. Die Tierchen wurden mit dem gleichen Köder gelockt, der für sie (als auch für mich) auf meinem Tisch unwiderstehlich war – tierisches Eiweiß und Süßkram.  Dose 1: Zucker, Honig, Essigwasser nach Internetrezepturen, Dose 2: Milch, auf die sie zuvor im offenen Kännchen ganz scharf waren, Dose 3: Salami und Leberwurst. Ich muss gestehen, dass sich der Flugbetrieb während der nächsten drei Stunden in Grenzen hielt, was vermutlich eher am Wetter als an der Aufstellung der drei Dosen hing. Süß aus Dose 1 war nicht gefragt. In die die Milch aus Dose 2 hat sich immerhin eine Wespe verirrt. Sie hat wie Kleopatra ein ausgiebiges Milchbad genossen, auch wenn es keine Eselsmilch war. Nach sorgfältigem Putzen des Gefieders und etwas chillen an der Gefäßwand, ist das Tierchen durch die Öffnung unter der Aufhängeöse entfleucht. Gott sei Dank, dass sie ihren Kolleginnen nicht den Ort dieses günstigen Spas mitgeteilt hat. In die Dose 3, in die auch ich mich als bekennender Fleischfresser verirrt hätte, fanden immerhin zwei Wespen den Weg. Nach einer halben Stunde sind die beiden Viecher mit vollgeschlagenem Wanst durch den Ausgang abgeschwirrt, durch den sie auch hereingekommen sind.Mein Fazit:Die Konstrukteure dieser Falle haben die Intelligenz von Wespen (unterschätzt).Einen Punkt vergebe ich für die kurzweilige Unterhaltung während des Tests",1,Reviewed in Germany on 26 July 2020,Flotsches,True,159,R184MVK9UPHYPA,https://www.amazon.de/gp/customer-reviews/R184MVK9UPHYPA,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Als Lebendfalle ungeeignet!,"Um es vorweg zu sagen, wir haben den Artikel bestellt, um die Wespen zwar zu fangen, sie anschließend aber nochmal frei zu lassen. In der Beschreibung steht ja auch, als Lebendfalle geeignet. Soviel zur Theorie, jetzt zur Praxis. Die 3 Fallen sind in einer ordentlichen Qualität, für den Preis absolut in Ordnung. Wir haben eine davon zum Test mit Salami bestückt und auf unserer Terrasse zur Abendbrotzeit platziert. Nach kurzer Zeit versammelten sich einige Interessenten an der Falle und 1 flog tatsächlich hinein. Da es sich ja um eine Lebend“FALLE“ handelt, sollten die gefangenen Wespen natürlich in der Falle verbleiben, bis ich sie wieder frei lasse. Solange wollten die aber nie warten. Wespen sind jetzt vielleicht keine Superhirne, doof scheinen sie aber auch nicht zu sein. Durch eben dasselbe Loch, durch das sie eingeflogen waren, sind sie auch wieder raus. Natürlich nachdem jede sich ein ordentliches Stück Salami einverleibt hat. Warum auch nicht? Die Öffnung in der Wespenfalle ist ja schließlich groß genug (auch noch mit Salami im Bauch)!FAZIT: Wer Wespen fangen will kann das mit der Wespenfalle tun, allerdings nur, wenn er die Falle so füllt, dass die Insekten darin sterben / ertrinken. Für Leute, die diese nützlichen Insekten zwar fangen aber nicht töten möchten, ist diese Falle ungeeignet. 0 Punkte.",1,Reviewed in Germany on 8 August 2020,mr.coldpack,True,27,R2LOJIVEE2O93C,https://www.amazon.de/gp/customer-reviews/R2LOJIVEE2O93C,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Nicht empfehlenswert.,Funktioniert nicht,1,Reviewed in Germany on 23 October 2025,Beni,True,0,R1AXKRKMRUUCX9,https://www.amazon.de/gp/customer-reviews/R1AXKRKMRUUCX9,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Wespen kommen alleine wieder raus!,Ich habe gestern 3 Stück auf dem Balkon verteilt mit Zuckerwasser.2 Wespen sind durch die Öffnung wieder rausbekommen. Wie kann das sein???,1,Reviewed in Germany on 27 July 2025,Maus,True,0,RBTE3MI0R0B7C,https://www.amazon.de/gp/customer-reviews/RBTE3MI0R0B7C,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,unzufrieden!!,"Das Produkt funktioniert nicht! Die ""klugen"" Wespen und davon gibt es viele, fliegen in die Wespenfalle, trinken vom Zuckerwasser und fliegen durch die ""zu großen"" Öffnungen wieder heraus. Es ist also keine ""Wespenfalle"", sondern eine ""Wespenfütterstelle"". Auch bei der Öffnung im Deckel kriechen die Wespen wieder heraus, diese kann man mit Klebeband verschließen. In der Preiskategorie gibt es wesentlich bessere Produkte.",1,Reviewed in Germany on 27 July 2024,Petra,True,0,R3EYS1A108XAF0,https://www.amazon.de/gp/customer-reviews/R3EYS1A108XAF0,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,"Keine Falle, sondern eine Futterstelle für Wespen!","Auf Grund der Rezensionen haben wir den Artikel gekauft. Nach Einfüllen eines geeigneten Lockmittels (Apfelsaft und vergorene Früchte) haben sich alle Wespen der Nachbarschaft darauf gestürzt. Soweit so gut. Nach der angebotenen Mahlzeit verließen sie fröhlich die Falle. Entweder durch das Loch unterhalb der Schnur oder einfach durch die Eingangslöcher. Nachdem sich rumgesprochen hatte dass bei uns die Party steigt, waren es dann immer mehr und mehr…. Also Finger weg von diesem Schrott! Ich würde alles gerne zurücksenden, allerdings ist das durch den Verkäufer untersagt. Hmmm , möglicherweise kennt er seine tolle Falle. Also aufpassen beim Kleingedruckten!",1,Reviewed in Germany on 18 August 2022,Nancy,True,0,R3MMX48B2MUGKL,https://www.amazon.de/gp/customer-reviews/R3MMX48B2MUGKL,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Leider nur zum füttern und nicht als Falle geeignet,"Das hatte ich mir deutlich anders vorgestellt. Die Wespe fliegt rein, futtert und krabbelt oben durch das Loch im Deckel wieder raus. Nachdem ich das Loch zugeklebt habe, krabbelt die Wespe durch den Einflugtrichter wieder raus. Eigentlich eine gute Idee und eine schöne Sache, funktioniert leider nicht. Das mir eine heruntergefallen ist und dabei sofort kaputt gegangen ist, ärgert mich dann auch nicht mehr. Für unsere schlauen Wespen kann ich die Falle leider nicht empfehlen.",1,Reviewed in Germany on 23 April 2023,Chris,True,0,R191PF9N870KR2,https://www.amazon.de/gp/customer-reviews/R191PF9N870KR2,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Funktioniert nicht wirklich 😯,Bei uns krabbeln die Fliegen zwar rein aber auch wieder raus. Ich habe ähnliche Fallen in grün und bei diesen finden sie den Ausgang nicht mehr. Zurücksenden ging leider auch nicht. Deshalb habe ich nun die Öffnung im Deckel zugeklebt. So kann ich die Ausgänge zuhalten und die Falle ein paar mal hoch und runter bewegen. So landen sie dann im Lockmittel. Aber so war das eigentlich nicht gedacht!,1,Reviewed in Germany on 4 August 2023,Wanda,True,0,R35O86H2W3QZEU,https://www.amazon.de/gp/customer-reviews/R35O86H2W3QZEU,,2026-04-28T15:12:19.154855
B087QGMNWW,,Style Name: Set of 3,amazon.de,,,Futterhaus anstatt Wespenfalle!,"Das Produkt hält leider nicht das was es verspricht. Abgesehen von der schnellen Lieferung und dem schönen Design ist dieses Produkt eher ein Futterhaus wie eine Falle.Der Empfohlene Lockstoff aus Wasser, Zucker und einen Schuss Essig hat die Tiere nicht interessiert. Auch nach mehreren Tagen war kein Erfolg ersichtlich.Ganz anders war es mit Cola, Wasser und Essig. Top Lockstoff und die Wespen kamen in Schwärmen.Nachdem sie sich satt gefressen hatten flogen sie entweder durch das kleine Loch am Deckel oder durch die Einflugkegel wieder in die Freiheit.Das Produkt hält leider nicht was es verspricht.",1,Reviewed in Germany on 9 August 2020,Nicolai,True,0,R1IKJX10JT5YMD,https://www.amazon.de/gp/customer-reviews/R1IKJX10JT5YMD,,2026-04-28T15:12:19.154855
