asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B00HFDGMNO,,,amazon.fr,,,Pas serieux d’envoyer un piège mal joint,Un des deux pièges est défectueuxJe ne renvoye pas mais ne recommande pasIl est mal joint et fuit,1,Reviewed in France on 12 April 2026,Mazzucchelli jean claude,True,0,R3LF8JIT7DXB49,https://www.amazon.fr/gp/customer-reviews/R3LF8JIT7DXB49,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,À fuir,Pas étancheLe liquide coule et donc ne sert à rien,1,Reviewed in France on 13 April 2026,Sandrine,True,0,R2G1FGHUHZNCCK,https://www.amazon.fr/gp/customer-reviews/R2G1FGHUHZNCCK,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Bof,Pas terrible il y a des mouche mais pas de frelon et couvercle qui ne tient pas et se casse facilement,1,Reviewed in France on 4 January 2026,Ggat,True,0,R27OB1CIQIFQ3N,https://www.amazon.fr/gp/customer-reviews/R27OB1CIQIFQ3N,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Pas terrible,"Vraiment pas terrible :- trou trop petit pour les frelon, ils essayent de rentrer mais ne peuvent pas!- 2 niveaux de trou (haut et bas) totalement inutile…- le joint entre les 2 parties plastiques ne remonte pas assez haut. Le produit fuit de partout quand on essai de l’installer.Je ne recommande pas.Dommage trop tard pour moi pour renvoyer !",1,Reviewed in France on 15 May 2025,PapaFuraX,True,0,R1TUE6N7U4DKRV,https://www.amazon.fr/gp/customer-reviews/R1TUE6N7U4DKRV,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Quantité de produits très limitées,"On ne risque pas de mettre beaucoup de produits dedans . Les trous du bas sont placé bien trop bas. Dommage le produits avait de belles promesses, il y a des trous de différentes tailles . j'ai acheté un autre piège en même temps qui s'est avéré bien plus efficace. J'aurais dû le retourner.",1,Reviewed in France on 8 May 2025,Angelique Cartailler,True,0,R3SW1QMZDZEQJO,https://www.amazon.fr/gp/customer-reviews/R3SW1QMZDZEQJO,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Inefficace,Inefficace du à une mauvaise conception : une fente au niveau du couvercle permet tout simplement aux guêpes de rentrer et sortir du piège par le haut …J’ai le sentiment de m’être fait avoir avec ce produit…Je ne recommande pas tout.,1,Reviewed in France on 13 July 2025,BOUGAIN,True,0,R90D6Q4WQPJQ9,https://www.amazon.fr/gp/customer-reviews/R90D6Q4WQPJQ9,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Inutile,"Pour ne pas mettre zéro.Cela fait 15 ans que je pose des pièges dans mon jardin pour attraper et éliminer les frelons asiatiques.Avec ce piège, je n'ai attrapé que des malheureuses fourmis.Je suis très étonné par tous ces commentaires élogieux...",1,Reviewed in France on 10 July 2025,Léon 24,True,0,R3SLEIYF1A7ORK,https://www.amazon.fr/gp/customer-reviews/R3SLEIYF1A7ORK,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Bêtise arnaque,Nul nul nul  c est une véritable passoire.  On ne peut mettre qu un cm d attrappe frelons ça fuit de tous les côtés.  Comment peut on être si stupide ... et moi avec puis que je n ai pas fait attention.  Très très tresen colère l ARNAQUE de l année,1,Reviewed in France on 29 March 2025,Kb,True,0,R2F20CXUQ8M7S4,https://www.amazon.fr/gp/customer-reviews/R2F20CXUQ8M7S4,https://m.media-amazon.com/images/I/61HIRZ-MypL._SY88.jpg,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Nul nul nul,Je croyais faire un bon geste pour protéger les abeilles en piégeant les frelons.Alors c'est nul ...pas de frelons par contre beaucoup de bourdons et ceux la je les aime bien.Donc j'ai libéré les petites bêtes les poubelles,1,Reviewed in France on 21 June 2025,collet,True,0,R2A4M4SSXN9F7F,https://www.amazon.fr/gp/customer-reviews/R2A4M4SSXN9F7F,,2026-04-28T18:11:46.888852
B00HFDGMNO,,,amazon.fr,,,Nul pour le sud,"Nul, trous trop petit et le produit ou mélange sèche immédiatement à la chaleur! Inutile dans le sud",1,Reviewed in France on 4 September 2025,Collignon,True,0,R3B4E0SBNBRAGJ,https://www.amazon.fr/gp/customer-reviews/R3B4E0SBNBRAGJ,,2026-04-28T18:11:46.888852
