asin,variant_asin,variant,marketplace,brand,product_title,title,body,rating,date,author,verified_purchase,helpful_votes,review_id,review_url,images,scrape_date
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Déçu de mon achat .,"Attention le piège est vendu sans aucun produit il faudra en plus de cet achat vous procurer du produit pour le tester je trouve ça un peu chère pour du plastique . C'est bien spécifié qu'il faut se fournir du produit mais il faut lire tous les détails de l'Annonce rien n'est marqué dans le titre ,moi à ce prix je pensais que tout y était et ils auraient pu au moins mettre un sachet qui permette l'essai . Déçu de mon achat .",1,Reviewed in France on 25 April 2026,ludovic lemesle,True,0,R3NR5V86JZD2MO,https://www.amazon.fr/gp/customer-reviews/R3NR5V86JZD2MO,https://m.media-amazon.com/images/I/61JnRWs2c3L._SY88.jpg,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Produit incomplet au niveau du prix de vente,A ce prix là pas de répulsif fourni.Il est cher le plastique .Pensant que je trouverais un produit complet voilà ma surprise quand j ai vu que c était vide . J aurais du faire attention ⚠️ ⚠️ ⚠️ au descriptif du produit .Vous etes prévenu.,1,Reviewed in France on 26 April 2026,NAWEL OMRI,True,0,R3IFLW62DIFUCJ,https://www.amazon.fr/gp/customer-reviews/R3IFLW62DIFUCJ,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Pas sélectif du tout!,Piège absolument pas sélectifs ! Prend tout et c’est donc une catastrophe!,1,Reviewed in France on 24 April 2026,Florian,True,0,R1OCJBPG9ORJ94,https://www.amazon.fr/gp/customer-reviews/R1OCJBPG9ORJ94,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Trop cher pas ajusté,"Beaucoup trop cher.Faites des bouteilles vous même. Ce matin, une reine énorme, bah n'a pas pu entrer, passage beaucoup trop petit en bas, demi tour pour elle.  J'ai du couper, on verra bien, mais payer aussi cher pour ajuster soi même, tuto bouteille, a essayer avant",1,Reviewed in France on 18 March 2026,carolepops,True,2,R1BJCUD7K7FWOD,https://www.amazon.fr/gp/customer-reviews/R1BJCUD7K7FWOD,https://m.media-amazon.com/images/I/613WK6sbPGL._SY88.jpg,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,"sur trois, un percé, je ne peux pas l'utiliser",c'est un incident,1,Reviewed in France on 16 April 2026,ALICE RIVOLLIER,True,0,R3D2JPQDCD1RX9,https://www.amazon.fr/gp/customer-reviews/R3D2JPQDCD1RX9,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Pas d'appât,Pas d'appât,1,Reviewed in France on 13 April 2026,jeremy,True,0,R1IFRNZG1QLAX7,https://www.amazon.fr/gp/customer-reviews/R1IFRNZG1QLAX7,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Piège livré sans le produit attractif,"J'ai rm acheté le piège à guêpes et frelons de BSI, attiré par la promesse d'une solution efficace contre ces visiteurs indésirables. À première vue, le piège semble bien conçu et promet d'être un outil précieux dans la lutte contre les guêpes et les frelons. Cependant, j'ai été déçue de découvrir, après réception, que le piège est livré sans le produit attractif nécessaire à son fonctionnement. Cette information cruciale n'est mentionnée que dans le descriptif détaillé, accessible uniquement en cliquant pour développer la section avec la petite flèche, ce qui peut facilement être manqué. Cette présentation peut donner l'impression d'une certaine réticence à être totalement transparent sur le produit, ce qui est regrettable. De plus, l'absence de recommandation ou de lien vers un attractif compatible ajoute une étape supplémentaire pour l'utilisateur, qui doit alors chercher lui-même la solution la plus efficace à utiliser avec le piège. En résumé, bien que le produit ait le potentiel d'être très utile, je trouve que c’est finalement très cher pour ce que c’est. Je suis très déçue !!!!",1,Reviewed in France on 23 July 2024,Jadault,True,9,R32HNYHPET16P7,https://www.amazon.fr/gp/customer-reviews/R32HNYHPET16P7,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Produit très fragile et cher,Produit très fragile et cher en plus.,1,Reviewed in France on 17 March 2026,AMAROMI,True,0,RYZ3W4P4A27VX,https://www.amazon.fr/gp/customer-reviews/RYZ3W4P4A27VX,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Pas vraiment efficace !,EN fait c'est simplement un récipient en plastique avec une fermeture permettant -soit disant- de laisser ressortir les autres insectes comme les abeilles ...installé depuis plus d'un mois et pas une guêpe ni un frelon n'a voulu gouter le subtil mélange recommandé - que j'ai acheté bien sûr ! alors une simple bouteille en plastique coupée en 2 aurait fait un piège tout aussi efficace !ah ! par contre les limaces et les mouches ont adorées le mélange pour attirer guêpes et frelons ;-)),1,Reviewed in France on 29 May 2025,Chris Rac,True,2,R7IW5Y8ZO7OKD,https://www.amazon.fr/gp/customer-reviews/R7IW5Y8ZO7OKD,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,pour 14 euro piège endommagé,"le piège  a frelons endommagé,le récpient cylindrique cabossé  heureusement ne fuit pas  le carton d'emballage était intacte très mécontent de mon achat",1,Reviewed in France on 26 October 2025,daniel,True,0,R3VC9LRSEEJC9G,https://www.amazon.fr/gp/customer-reviews/R3VC9LRSEEJC9G,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Récipient uniquement,Uniquement le récipientDécevant,1,Reviewed in France on 28 November 2025,Caroline D.,True,0,R1CR3JWBU56ZNB,https://www.amazon.fr/gp/customer-reviews/R1CR3JWBU56ZNB,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Attention que le flacon,"Seule le récipient , aucun attractif dedans ( ce n’était pas le cas pour l’attrape mouches ). Descriptif mensonger , il fait acheter l’attractif en plus. Ce prix là pour un flacon en plastique c’est honteux",1,Reviewed in France on 14 August 2025,Lucky-luk0,True,0,R2W5SL532A5MZP,https://www.amazon.fr/gp/customer-reviews/R2W5SL532A5MZP,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,moins efficace,"j'ai acheté 2 différents piège à guêpes et celui-là ne les attire pas comparé à l'autre, et y mettant le même appât",1,Reviewed in France on 8 September 2025,A,True,0,R1QC6CJVK2J1QN,https://www.amazon.fr/gp/customer-reviews/R1QC6CJVK2J1QN,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,C’est juste une bouteille en plastique,"Donc on achète une bouteille en plastique à 13 euros… au moins avec le piège à mouche, il y a un échantillon !C’est affligeant, je vais renvoyer l’article en vrai…",1,Reviewed in France on 11 August 2025,Manon,True,0,R3TZ7STGMKPMI3,https://www.amazon.fr/gp/customer-reviews/R3TZ7STGMKPMI3,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif; https://m.media-amazon.com/images/I/71A6PKXoy7L._SY88.jpg,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,insatisfaite,"inefficace, j'ai toujours autant de guêpes et de frelons qui volent autour mais ne rentrent pas dans le piège malgré que j'ai bien mis le produit",1,Reviewed in France on 15 August 2025,delaire marylene,True,0,R2QUBIA6VQSR4Q,https://www.amazon.fr/gp/customer-reviews/R2QUBIA6VQSR4Q,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Piège sans produits,Je croyais qu'il y avait le produit. J'aurais dû regarder le colis quand je l'ai commandé. Je viens de l'ouvrir car je commence à avoir des guêpes et il n'y a que le piège pas de produit à l'intérieur,1,Reviewed in France on 10 July 2025,Hanne D.,True,0,R3UOGU38PGLOC2,https://www.amazon.fr/gp/customer-reviews/R3UOGU38PGLOC2,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,"Photos erronées, pas d'appât fourni ni ficelle.","Pratique, facile à utiliser.Les photos induisent en erreur. Elles laissent à penser que l'appât est fourni avec. En vérité il n'y a pas d'appât ni de boîte en carton avec d'autres outils. Pas même une ficelle fournie pour accrocher le piège.Le prix et les photos de l'article ne sont pas bien coordonnées.",1,Reviewed in France on 3 April 2025,Nadine,True,0,RTG708TO1GM5J,https://www.amazon.fr/gp/customer-reviews/RTG708TO1GM5J,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,"Piège à client, mais pas à guêpe!","Achat totalement inutile.Après 2 semaines d’essai, aucune guêpe n’est entrée dans le piège. Mieux vaut utiliser une simple bouteille en plastique: ce sera ça d’économiser!!",1,Reviewed in France on 26 July 2025,SARL LE VILLAGE,True,0,R13FN9R04JM83H,https://www.amazon.fr/gp/customer-reviews/R13FN9R04JM83H,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Piège inefficace,Les guêpes ne se font pas piégées. Le piège attrape que des mouches et les frelons qui se font piéger arrivent à ressortir ! Donc piège à guêpes et frelons inefficace !,1,Reviewed in France on 12 July 2025,Mimi,True,0,R17KQWEPHEJ4MK,https://www.amazon.fr/gp/customer-reviews/R17KQWEPHEJ4MK,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,PAS TOP,3 MOIS ET 1 GUEPE....,1,Reviewed in France on 18 September 2025,HEBERT,True,0,R1KBKVOJCU3AJR,https://www.amazon.fr/gp/customer-reviews/R1KBKVOJCU3AJR,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,Pas de produit,Il n'y a pas le produit avec...........seulement la bouteille !,1,Reviewed in France on 22 August 2025,Johanna,True,0,RIOPDY8Y4TCUY,https://www.amazon.fr/gp/customer-reviews/RIOPDY8Y4TCUY,,2026-04-28T18:15:33.780540
B00JY9K4DG,,Style Name: One size,amazon.fr,,,NUL,"J'ai bien évidement acheté le produit liquide qui va avec et rien n'a fonctionné.Je l'ai suspendu sur le chemin des allés et venus des guêpes, et ........... rien sauf une pauvre malheureuse qui a du tomber dedans par hasard.J'ai fait appel à un professionnel finalement l'intervention n'est pas si chère par rapport au prix de cet accessoire avec le produit.",1,Reviewed in France on 7 November 2024,pat,True,0,R3FKVD69NQV6R8,https://www.amazon.fr/gp/customer-reviews/R3FKVD69NQV6R8,,2026-04-28T18:15:33.780540
