country,segment,rank,asin,reviews,rating,brand,title
DE,Lure,1,B087QGMNWW,2964,4.0,Kinzo,"Kinzo Wasp Trap Set of 3, Diameter 9 x 13 cm, Wasp Repellent for Standing and Hanging, No Chemicals, 360 Degree Effect, Also Suitable as a Live Trap, Mosquito Trap, Fly Trap for Natural Attractant"
DE,Lure,2,B005AUMQKW,1159,3.8,SWISSINNO,"SWISSINNO Wasp Trap with Attractant - Reusable Trap with Bait Portion, Free of Classified Chemicals, for Garden, Patio, Balcony, Playground, Rubbish Area - Hanging or Standing"
DE,Lure,3,B000PKIHO6,1159,3.8,SWISSINNO,"SWISSINNO Wespenköder für Wespenfalle – 2er Set, auf Lebensmittelbasis, wirksamer Lockstoff für den Außenbereich, geeignet für SWISSINNO Wespenfallen, hergestellt in der EU"
DE,Lure,4,B0BJ44LR2F,957,3.3,ECOPEST,"Spider Trap - Pack of 20 | Indoor Adhesive Traps for Spiders and Other Bugs and Crawling Insects | Adhesive Spider Bait Trap, Monitor, Killer and Detector for Pest Control"
DE,Lure,5,B0BVQSH87R,831,4.2,SilverRack,SilverRack Wasp Trap Set of 3 – Wasp Traps for Outdoor Use – Wasp Repellent – Wasp Repellent
DE,Electric,1,B0DS8SK65N,3774,4.4,GeckoMan,GeckoMan Rotating Head Rechargeable Electric Fly Swatter Electric Extra Strong Electric Fly Swatter Mosquito Trap Insect Killer Insect Catcher with a Telescopic Extension
DE,Electric,2,B00AE6XK3O,2066,3.9,GOODS+GADGETS,Electric Fly Swatter Electric Fly Catcher Insect Killer Mosquito Swatter Test Winner Customer Satisfaction (Single: 1 Piece)
DE,Electric,3,B0CPLQRWBG,1479,4.4,Yissvic,Yissvic Electric Fly Swatter Extra Strong 4000 V with LED Lighting and Battery Rechargeable Black and Blue
DE,Electric,4,B0CT8QSYT5,448,4.5,YOUBST,"Electric Electric Fly Swatter 5000 V, Extra Strong Electric Fly Swatter, 2-in-1 USB Type-C Electric Mosquito Swatter with Battery Rechargeable & UV Light Trap for Mosquitoes, Flies, Wasps, Moths"
DE,Electric,5,B0GDDRCP6M,17,4.7,YOUBST,"Electric Electric Fly Swatter 5000 V, Extra Strong Electric Fly Swatter, 2-in-1 USB Type-C Electric Mosquito Swatter with Battery Rechargeable & UV Light Trap for Mosquitoes, Flies, Wasps"
FR,Lure,1,B00HFDGMNO,10563,4.2,ASPECTEK,"ASPECTEK Pièges à Guêpes pour l'extérieur / Piège à Frelons à Suspendre (Lot de 2) - Solution Naturelle et Ecologique Anti Guepe, anti guepes et frelons exterieur (Orange)"
FR,Lure,2,B00JY9K4DG,3391,4.4,BSI,"BSI - Powerful Wasp and Hornet Trap - Suitable for Asian Hornets - Natural - Reusable, Translucent / Yellow"
FR,Lure,3,B00L81YSSK,1486,4.0,Mastertec,"Mastertec Master Trap, 10 Pieces, Asian Hornet Trap, Wasp, Fly, Drosophila Suzukii and Popilia Japonica, Yellow Ecological Fly Trap, Insect Catcher for Garden and Vegetable Garden, Made in Italy"
FR,Lure,4,B07822SW1J,975,4.2,Windhager,"Windhager 03115 Duo Hanging Hornet Trap, Transparent, Maximum 200 ml"
