Display Order,Product Details,ASIN,Country,Pack,URL,Image URL,Brand,Price €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
6,"Super Ninja Indoor Kitchen Gnat Traps - Set of 4 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats",B09SLX6GQS,FR,4,https://www.amazon.fr/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91YJMs3bj2L._AC_SY355_.jpg,Super Ninja,14.08,"2,305","2,183","1,000","41,970.32","37,093.94",160,96,NL,6.94,1,3,"12,095",8,400,Super Ninja ECO,Garden,Large Envelope,FBA,13.00 x 3.40 x 7.40 cm,0.12,N/A,"Apr 8, 2022",,No,51,Super Ninja ECO
7,"Super Ninja Indoor Kitchen Gnat Traps - Set of 2 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats",B0963J155G,FR,2,https://www.amazon.fr/dp/B0963J155G?psc=1,https://m.media-amazon.com/images/I/91Spn2t+jcL._AC_SY355_.jpg,Super Ninja,9.95,"1,601","1,601",600,"19,201.04","19,201.05",160,397,NL,6.75,1,3,"21,183",8,332,Super Ninja ECO,Garden,Large Envelope,FBA,12.90 x 3.10 x 7.50 cm,0.06,N/A,"Sep 2, 2021",,No,58,Super Ninja ECO
28,"Super Ninja Indoor Kitchen Gnat Traps - Set of 2 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats",B0130J6YGG,FR,2,https://www.amazon.fr/dp/B0130J6YGG?psc=1,https://m.media-amazon.com/images/I/81NzMP3BjhL._AC_SY355_.jpg,Super Ninja,8.28,"1,643","1,391",500,"20,827.55","15,286.05",160,235,NL,6.6,1,3,"1,271",7,106,Super Ninja ECO,Garden,Large Envelope,FBA,12.70 x 3.40 x 7.20 cm,0.06,N/A,"May 16, 2025",,No,14,Super Ninja ECO
43,"10 x bait for fly traps, fly traps, fly baits | Fly Trap, Effective Fly Trap, Fruit Fly Traps for Indoor, Home, Kitchen, Outdoor",B0CXP6H6P2,FR,10,https://www.amazon.fr/dp/B0CXP6H6P2?psc=1,https://m.media-amazon.com/images/I/81bDYyBwAnL._AC_SY355_.jpg,TaimeiMao,8.99,297,297,50,"2,665.77","2,665.75",128,"1,802",GB,3.02,1,3.3,154,7,11,LIJINTU LIMITED,Garden,Standard Envelope,FBA,14.00 x 2.40 x 12.30 cm,0.05,N/A,"Feb 11, 2025",,No,17,LIJINTU LIMITED
15,"K.PRO Fruit Fly Trap | Eradic fruit flies, vinegar flies, insecticide-free, food attractant, 8 weeks effectiveness",B07N9LHN6R,FR,1,https://www.amazon.fr/dp/B07N9LHN6R?psc=1,https://m.media-amazon.com/images/I/71PaYWysWyL._AC_SY355_.jpg,K.PRO,6.49,168,168,50,"1,308.55","1,308.54",114,"3,551",AMZ,5.48,2,3.4,100,7,0,Amazon,Garden,Extra Large Envelope,AMZ,14.40 x 4.70 x 8.90 cm,0.07,N/A,"Jan 31, 2019",,No,90,Amazon
21,Novokill Fruit Gnatting Bait Refill - 100ml Liquid - Fruit Fly Trap - Fruit Fly Trap - Fruit Fly Trap - Fruit Fly Refill - Natural Fruit Fly Insecticide,B0GXG1FFVZ,FR,1,https://www.amazon.fr/dp/B0GXG1FFVZ?psc=1,https://m.media-amazon.com/images/I/51hdtgR-ILL._SX342_.jpg,Novokill,14.99,463,125,N/A,"8,274.06","2,244.13",152,"3,883",DE,7.16,1,4,386,8,20,kæferling,Garden,Large Envelope,FBA,14.90 x 4.00 x 10.10 cm,0.13,N/A,"Apr 16, 2026",,No,3,kæferling
19,"Fruit Gnat Trap, 2 x Fly Traps + 2 x 30 ml Bait | Indoor Fly Trap, Anti Gnat for Kitchen, Reusable, Indoor Gnat Catcher",B0DZ2K89C5,FR,2,https://www.amazon.fr/dp/B0DZ2K89C5?psc=1,https://m.media-amazon.com/images/I/610zO7yLh5L._AC_SY355_.jpg,DONCOO,12.99,25,25,N/A,328.33,328.35,119,"10,980",GB,4.3,1,2.7,12,7,N/A,ZHANGYUMEI LIMITED,Garden,Extra Large Envelope,FBA,19.30 x 5.70 x 14.20 cm,0.15,N/A,"May 1, 2025",,No,14,ZHANGYUMEI LIMITED
54,"2 Fruit Fly Traps+ 8 Green Insect Traps + 30 ml Bait | Indoor Fruit Flies, Anti Kitchen Gnats, for Flower Pots, Balconies, Yards, Orchards",B0DY1D64KF,FR,2,https://www.amazon.fr/dp/B0DY1D64KF?psc=1,https://m.media-amazon.com/images/I/71wFdeSKejL._AC_SY355_.jpg,Henjunu,9.99,22,22,N/A,214.8,214.81,138,"54,713",GB,5.17,1,3.2,21,7,2,CHENJUNHUA LIMITED,Garden,Small Parcel,FBA,15.20 x 6.50 x 7.40 cm,0.1,N/A,"May 2, 2025",,No,14,CHENJUNHUA LIMITED
29,"PIC Fruit Fly Trap, 4 x Glue Fly Catcher with 2 Attractants | Non-toxic and insecticide-free, effective for up to 8 weeks, ideal indoors near food",B07PN3XFD5,FR,2,https://www.amazon.fr/dp/B07PN3XFD5?psc=1,https://m.media-amazon.com/images/I/81dJbzpgx7L._AC_SY355_.jpg,PIC,13.98,18,18,N/A,297.42,297.43,146,"18,582",DE,7.26,1,3.2,317,7,0,UE-SHOP,Garden,Extra Large Envelope,FBA,21.40 x 4.40 x 19.30 cm,0.21,N/A,"Jun 23, 2019",,No,85,UE-SHOP
26,Novokill 2 x Fruit Fly Traps for Kitchen - Effective Up to 5 Weeks Per Trap - For Indoor Use - Leak Proof System,B0GWMT3CVH,FR,2,https://www.amazon.fr/dp/B0GWMT3CVH?psc=1,https://m.media-amazon.com/images/I/716oMzp9gnL._SX342_.jpg,Novokill,9.99,7,7,N/A,84.86,84.85,112,"27,960",DE,6.17,1,3.2,39,9,19,kæferling,Garden,Extra Large Envelope,FBA,18.00 x 4.80 x 10.60 cm,0.07,N/A,"Apr 9, 2026",,No,3,kæferling
58,RIEM - Ti-Tox Fruit Fly Trap 1 Trap + 3 Refills - Fruit Fly Trap and Refills - Insecticide Free - Effective up to 12 weeks,B0D1BS33VC,FR,1,https://www.amazon.fr/dp/B0D1BS33VC?psc=1,https://m.media-amazon.com/images/I/71xWcxfhgiL._SX342_.jpg,Riem,6.25,7,7,N/A,49.97,49.96,122,"28,634",AMZ,4.3,1,3.5,3,5,0,Amazon,Garden,Extra Large Envelope,AMZ,13.00 x 6.70 x 4.20 cm,0.08,N/A,"Apr 10, 2024",,No,27,Amazon
59,AEROXON - Fly trap and fruit gnats,B008M9HSK6,FR,1,https://www.amazon.fr/dp/B008M9HSK6?psc=1,https://m.media-amazon.com/images/I/61QASA8EMwL._AC_SY355_.jpg,Aeroxon,7.33,6,6,N/A,55.14,55.15,34,"90,050",AMZ,4.94,2,3.6,144,2,0,,Garden,Small Parcel,AMZ,7.20 x 11.40 x 9.00 cm,0.1,N/A,"May 10, 2017",,No,110,
33,Novokill 4X Piège Moucherons Fruits + 100ml Appât – Piège Mouche de Fruits Cuisine – Fruit Fly Trap – Réutilisable – Action Longue durée,B0H2DDLNWP,FR,4,https://www.amazon.fr/dp/B0H2DDLNWP?psc=1,https://m.media-amazon.com/images/I/71NXTo3iQQL._SX342_.jpg,Novokill,23.32,4,4,N/A,113.84,113.83,136,"24,907",DE,8.99,1,5,1,5,0,kæferling,Garden,Small Parcel,FBA,16.30 x 6.10 x 13.50 cm,0.18,N/A,"May 20, 2026",,No,2,kæferling
57,Aeroxon Fruit Fly Traps for Kitchen - Premium Fruit Fly Trap - Fruit Fly Trap for Kitchen and Indoor - Effective Up to 8 Weeks,B07CHLZQNL,FR,3,https://www.amazon.fr/dp/B07CHLZQNL?psc=1,https://m.media-amazon.com/images/I/71iYvrkaMWL._AC_SY355_.jpg,Aeroxon,26.99,4,4,N/A,113.83,113.87,126,"77,451",DE,8.84,1,4,"2,844",3,3,DeeGoods GmbH,Garden,Extra Large Envelope,FBA,26.80 x 4.60 x 14.30 cm,0.26,N/A,"Sep 3, 2018",,No,94,DeeGoods GmbH
62,Pheromone Trap + 1 Bag of Pheromones Mediterranean Fruit Fly – Mediterranean Fruit Anti-Fly Treatment,B0D6LZKGM9,FR,1,https://www.amazon.fr/dp/B0D6LZKGM9?psc=1,https://m.media-amazon.com/images/I/41ZInFq+cJL._AC_SY355_.jpg,maluttebio,24.9,3,0,N/A,42.35,11.13,101,"62,195",N/A,N/A,1,3.9,4,6,0,,Garden,N/A,MFN,N/A,N/A,N/A,"Jun 17, 2024",,No,25,
6.1.,"Super Ninja Indoor Kitchen Gnat Traps - Pack of 12 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats",B0C6M6DB5H,FR,12,https://www.amazon.fr/dp/B0C6M6DB5H?psc=1,https://m.media-amazon.com/images/I/91qn+61uo1L._AC_SY355_.jpg,Super Ninja,33.28,"2,305",122,50,"41,970.32","4,876.38",162,96,N/A,10.97,1,3,"12,095",8,400,Super Ninja ECO,Garden,Small Parcel,FBA,12.50 x 6.70 x 11.20 cm,0.35,N/A,"Aug 16, 2023",,No,35,Super Ninja ECO
28.1.,"Super Ninja Indoor Kitchen Gnat Traps - Pack of 6 Indoor Gnat Catchers for Home, 3 Weeks of Action, Safe for Children and Animals, Not Suitable for Potting Gnats",B0DVBKLWTL,FR,6,https://www.amazon.fr/dp/B0DVBKLWTL?psc=1,https://m.media-amazon.com/images/I/81EFdA4fw2L._AC_SY355_.jpg,Super Ninja,18.25,"1,643",252,100,"20,827.55","5,541.53",161,235,N/A,5.89,1,3,"1,271",8,106,Super Ninja ECO,Garden,Extra Large Envelope,FBA,32.29 x 5.70 x 22.50 cm,0.71,N/A,"Jan 28, 2025",,No,18,Super Ninja ECO
7.1.,"Super Ninja Trappola moscerini frutta - 10 trappole adesive per moscerini piante e 2 cattura mosche della frutta, altamente efficaci, adatta a bambini e animali domestici, fino a 3 mesi di prestazioni",B0DWTR65JD,IT,2,https://www.amazon.it/dp/B0DWTR65JD?psc=1,https://m.media-amazon.com/images/I/71vMBExjnDL._SX450_.jpg,Super Ninja,14.99,466,22,N/A,"8,258.96",330.23,200,354,N/A,6.19,1,N/A,0,8,501,,,Large Envelope,FBA,18.30 x 3.80 x 13.20 cm,0.11,N/A,"May 26, 2025",,No,14,
15.1.,"Super Ninja Indoor Fruit Fly Trap - 6 Pieces, Fruit Fly Trap Effective for Home and Kitchen, Active Up to 3 Weeks, Suitable for Children and Pets",B0DVBKLWTL,IT,6,https://www.amazon.it/dp/B0DVBKLWTL?psc=1,https://m.media-amazon.com/images/I/813Io2CA8SL._AC_SY355_.jpg,Super Ninja,18.02,77,32,N/A,"1,197.83",710.92,145,"2,615",NL,7.24,1,3.6,745,8,69,Super Ninja ECO,Garden,Extra Large Envelope,FBA,32.29 x 5.70 x 22.50 cm,0.71,N/A,"Apr 18, 2025",,No,15,Super Ninja ECO
7,"Super Ninja Indoor Fruit Fly Trap - 4 Pieces, Fruit Fly Trap Effective for Home and Kitchen, Active Up to 3 Weeks, Suitable for Children and Pets",B09SLX6GQS,IT,4,https://www.amazon.it/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91U1fmwtKVL._AC_SY355_.jpg,Super Ninja,16.99,466,427,N/A,"8,258.96","7,254.77",145,354,N/A,6.49,1,3.3,"12,291",8,423,,Garden,Large Envelope,FBA,13.00 x 3.40 x 7.40 cm,0.12,N/A,"Jul 18, 2022",,No,48,
