Product Details,ASIN,Pack Size,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller,Display Order,Recent Purchases,Parent Level Revenue
"Loowoko Insektenvernichter Elektrisch, 4200V Mückenlampe Mit LED-Licht, Wasserdicht Fliegenfalle Elektrisch Mosquito Killer, Anti Mücken Lampe für Innen Outdoor Schlafzimmer Haus Patio Hinterhof",B0CT2T8GBK,,Electric,https://www.amazon.de/dp/B0CT2T8GBK?psc=1,https://m.media-amazon.com/images/I/71WZC+-n0dL._SX342_.jpg,Loowoko,29.99,486,486,"11,034.70",194,"2,023",AMZ,8.3,2,4.3,"1,000",7,21,Fangfa,Garten,Standard Parcel,AMZ,28.30 x 15.20 x 15.20 cm,0.9,,"Mar 5, 2024",,No,24,Fangfa,,,
YISSVIC Elektrische Fliegenklatsche extra stark 4000V 2 in 1 USB C mit Akku Aufladbar Elektro Mückenklatsche mit UV Lichtfalle Schwarz,B0BMWWGNXG,,Electric,https://www.amazon.de/dp/B0BMWWGNXG?psc=1,https://m.media-amazon.com/images/I/7114hDWE-mL._AC_SY355_.jpg,Yissvic,18.99,654,475,"8,315.74",134,348,GB,5.55,2,4.4,"13,057",10,,HUNDRED SALE LIMITED,Garten,Standard Parcel,FBA,44.20 x 4.40 x 28.30 cm,0.52,,"Mar 30, 2023",,No,36,HUNDRED SALE LIMITED,,,
"Insektenvernichter elektrisch, Mückenlampe 4200V Fliegenfalle mit 15W UV + 9W LED Mückenfalle elektrisch, IPX4 wasserdicht, Mückenabwehr für drinnen/draußen (3m Kabel)",B0DRJHXB5R,,Electric,https://www.amazon.de/dp/B0DRJHXB5R?psc=1,https://m.media-amazon.com/images/I/8174pLLtBpL._AC_SY355_.jpg,seenlast,33.99,209,203,"6,750.27",167,"5,996",CN,10.03,3,4.4,"2,394",9,29,Seelast,Garten,Standard Parcel,FBA,28.40 x 15.70 x 16.00 cm,1,,"Feb 28, 2025",,No,13,Seelast,,,
GeckoMan Ruhig Hybrides Spektrum Elektrischer Insektenvernichter Elektrisch Fliegenfalle Innenbereich Mückenfalle Innen Fruchtfliegenfalle Fliegenfänger Mückenlampe Insektenlampe mit 2 Ersatzbirnen,B0BVKGC941,,Electric,https://www.amazon.de/dp/B0BVKGC941?psc=1,https://m.media-amazon.com/images/I/71DTaBll7pL._AC_SY355_.jpg,GeckoMan,49.99,160,118,"5,882.55",197,"2,911",CN,12.94,5,4.3,"2,590",6,,Dan - DE,Garten,Standard Parcel,FBA,40.11 x 8.20 x 31.70 cm,1.82,,"Apr 3, 2023",,No,35,Dan - DE,,,
"Mückenlampe, Insektenvernichter Elektrischer Mückenschutz Steckdose, 4 Stück UV-Insektenfalle Fliegenfalle and Elektrisch Insekten Mückenfalle für Fliegen, Mücken, Motten",B0G34GMR9P,,Electric,https://www.amazon.de/dp/B0G34GMR9P?psc=1,https://m.media-amazon.com/images/I/71OaP5uaQ5L._AC_SY355_.jpg,PUTAII,20.99,109,109,"2,238.30",170,"4,272",CN,7.53,1,5,6,7,3,Suchenkeji,Garten,Small Parcel,FBA,16.90 x 7.40 x 13.60 cm,0.26,,"Jan 28, 2026",,No,2,Suchenkeji,,,
"Elektrische Fliegenklatsche, 4000V Insektenvernichter mit UV Mückenfalle, Elektro Fliegenfalle mit 1800 mAh Akku Aufladbar und Ladebasis, Fliegenfänger Stark für Mücken, Fliegen, Wespe, Motten",B0C9JD4NY1,,Electric,https://www.amazon.de/dp/B0C9JD4NY1?psc=1,https://m.media-amazon.com/images/I/71YBqHbO-SL._AC_SY355_.jpg,AOKKR,25.99,100,100,"2,089.12",192,"6,799",GB,6.54,3,4.5,"1,122",8,20,BABYJIALEDS LIMITED,Garten,Standard Envelope,FBA,14.50 x 2.20 x 9.80 cm,0.07,,"Jul 11, 2023",,No,32,BABYJIALEDS LIMITED,,,
YISSVIC Elektrische Fliegenklatsche extra stark 4000V 2 in 1 USB C mit Akku Aufladbar Elektro Mückenklatsche mit UV Lichtfalle Moskito Weiß,B0BMWW67VQ,,Electric,https://www.amazon.de/dp/B0BMWW67VQ?psc=1,https://m.media-amazon.com/images/I/71Odri8NXqL._AC_SY355_.jpg,Yissvic,18.99,654,124,"2,047.44",139,348,GB,5.16,2,4.4,"13,057",10,,HUNDRED SALE LIMITED,Garten,Standard Parcel,FBA,44.60 x 4.20 x 28.30 cm,0.51,,"Dec 12, 2022",,No,39,HUNDRED SALE LIMITED,,,
"Hochwirksame Fruchtfliegenfalle für Innenbereich | Elektrischer Insektenstecker mit Klebefalle für Küche & Haushalt | Gegen Obstfliegen, Fliegen, Motten, Mücken | 1 Gerät + 6 Nachfüllpatronen",B0DS22T55Z,,Electric,https://www.amazon.de/dp/B0DS22T55Z?psc=1,https://m.media-amazon.com/images/I/7164eGpAA9L._AC_SY355_.jpg,URBZUE,19.99,197,89,"1,774.62",191,"7,355",CN,5.84,1,3.1,521,7,12,URBZUE DIRECT,Garten,Small Parcel,FBA,15.90 x 8.60 x 10.80 cm,0.2,,"Mar 22, 2025",,No,12,URBZUE DIRECT,,,
GeckoMan Rotierender Kopf Wiederaufladbar Elektrische Fliegenklatsche Elektrisch Extra Stark Elektro Fliegenklatsche Mückenfalle Insektenvernichter Insektenfänger,B0DS8S2PD8,,Electric,https://www.amazon.de/dp/B0DS8S2PD8?psc=1,https://m.media-amazon.com/images/I/51D7yYA3G5L._AC_SY355_.jpg,GeckoMan,25.99,347,67,"1,737.43",162,"4,766",CN,5.84,1,4.4,"3,415",6,159,Dan - DE,Garten,Standard Parcel,FBA,44.09 x 3.61 x 24.69 cm,0.58,,"Jan 4, 2025",,No,14,Dan - DE,,,
"VEYOFLY Insect Catcher, Mosquitoes, Moths, Fruit Flies, No Zapper for Indoor Insects, with Suction Cup, Beetle Light and Glue (2 Devices + 6 Refills)",B0BKX931FF,,Electric,https://www.amazon.de/dp/B0BKX931FF?psc=1,https://m.media-amazon.com/images/I/71mUZVy9rAL._SX342_.jpg,VEYOFLY,39.97,71,29,"1,159.74",149,"19,965",,9.59,2,4,"3,070",9,47,VEYOFLY DE,Garden,Small Parcel,FBA,22.50 x 9.20 x 16.80 cm,0.56,,"Sep 19, 2024",,No,18,VEYOFLY DE,58.1.,,"2,212.65"
Elektrische Fliegenklatsche Elektro Fliegenfänger Insektenvernichter Mückenklatsche - Testsieger Kundenzufriedenheit (Set: 3 Stück),B08VNQ61QN,,Electric,https://www.amazon.de/dp/B08VNQ61QN?psc=1,https://m.media-amazon.com/images/I/81EPidW3FAL._AC_SY355_.jpg,GOODS+GADGETS,17.99,230,57,"1,018.46",131,"2,774",DE,7.96,1,3.9,"2,027",9,18,Goods & Gadgets GmbH,Garten,Standard Parcel,MFN,40.60 x 9.70 x 30.20 cm,0.71,,"Feb 2, 2021",,No,61,Goods & Gadgets GmbH,,,
"VEYOFLY Flight Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Fruit Fly Traps for Gnat, Moth, Mosquito, Insect Light for Inserting, Insect Killer (2 Devices + 6 Adhesive Cards)",B0BDT4XZR4,,Electric,https://www.amazon.de/dp/B0BDT4XZR4?psc=1,https://m.media-amazon.com/images/I/61-olCURIsL._AC_SX355_.jpg,VEYOFLY,31.97,90,30,953.93,187,"27,604",US,8.19,1,3.4,"12,246",9,113,VEYOFLY DE,Garden,Small Parcel,FBA,14.10 x 6.20 x 11.10 cm,0.25,,"Jun 6, 2024",,No,21,VEYOFLY DE,113,,"2,163.17"
"mafiti Elektrische Fliegenklatsche, Insektenvernichter mit Herausnehmbaren Batterien Insekten Mörder Frei von Giftstoffen und Gerüchen Ideal für Drinnen und Draußen（Gelb Schwarz）",B07RYLM7HH,,Electric,https://www.amazon.de/dp/B07RYLM7HH?psc=1,https://m.media-amazon.com/images/I/71AAyn-dD2L._AC_SY355_.jpg,mafiti,8.99,104,104,935.87,178,"7,407",HK,4.69,1,4.1,"2,437",7,10,greetek,Garten,Standard Parcel,FBA,44.79 x 3.20 x 22.30 cm,0.31,,"Jun 20, 2019",,No,81,greetek,,,
"VEYOFLY Fruchtfliegenfalle für Innenräume, 1 Gerät + 3 Nachfüllungen. Zieht Fliegen, Mücken und Fliegende Insekten mit sicherem Licht an und beseitigt sie. Ideal für Zuhause, einfach und effektiv.",B0BJ1FLRJ5,,Electric,https://www.amazon.de/dp/B0BJ1FLRJ5?psc=1,https://m.media-amazon.com/images/I/61-woeI30zL._SX342_.jpg,VEYOFLY,24.97,85,37,927.9,196,"8,215",US,8.33,1,4,"3,068",9,44,VEYOFLY DE,Garten,Small Parcel,FBA,22.50 x 8.90 x 10.80 cm,0.31,,"Aug 17, 2024",,No,19,VEYOFLY DE,,,
