Product Details,ASIN,Pack Size,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
"Super Ninja Fly Traps – Pack of 30 Adhesive Plant Traps, Effective Against Indoor Flies, Non-Toxic and Eco-Friendly Plant Insecticide, Up to 3 Months Lasting",B0B9H1JJ83,,Stiky,https://www.amazon.es/dp/B0B9H1JJ83?psc=1,https://m.media-amazon.com/images/I/91ecP0vJ6wL._AC_SY355_.jpg,Super Ninja,6.99,819,549,300,"5,613.12","3,829.83",157,37,NL,4.59,1,4.1,"10,235",8,427,Super Ninja ECO,Garden,Standard Envelope,FBA,12.80 x 2.40 x 7.40 cm,0.07,N/A,"Apr 26, 2023",,No,35,Super Ninja ECO
"Super Ninja Fruit Fly Traps - Pack of 4, Indoor Fly Trap, Home & Kitchen, Highly Effective Liquid Bait, Up to 3 Weeks Efficacy, Safe for Kids and Pets",B09SLX6GQS,,Lure,https://www.amazon.es/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91kTISCKjhL._AC_SY355_.jpg,Super Ninja,16.95,147,127,50,"2,731","2,146.70",150,680,NL,6.14,1,3.7,"10,717",8,175,Super Ninja ECO,Garden,Large Envelope,FBA,12.70 x 3.40 x 7.40 cm,0.12,N/A,"Jul 18, 2022",,No,44,Super Ninja ECO
"Raid Essentials LED Fly Trap, Fruit Fly and Moth Repellent, No Insecticide, Safe for the Whole Family, Odourless and No Residues, Indoor Use, 1 Device and 1 Refill.",B0DVZR5YTK,,Eelctric,https://www.amazon.es/dp/B0DVZR5YTK?psc=1,https://m.media-amazon.com/images/I/71DwElUQ6jL._AC_SY355_.jpg,Raid,9.99,204,131,50,"2,525.58","1,920.18",164,267,N/A,4.03,3,3.9,311,7,6,,Garden,Small Parcel,MFN,14.30 x 8.60 x 10.90 cm,0.13,N/A,"Mar 7, 2025",,No,12,
"Super Ninja Fly Traps – Pack of 10 Adhesive Plant Traps, Effective Against Indoor Flies, Non-Toxic and Eco-Friendly Plant Insecticide, Up to 3 Months Lasting",B091TY9XDZ,,Sticky,https://www.amazon.es/dp/B091TY9XDZ?psc=1,https://m.media-amazon.com/images/I/71IvztZWKOL._AC_SX355_.jpg,Super Ninja,4.99,948,239,100,"6,419.07","1,191.06",157,38,NL,2.98,1,4.1,"10,367",8,384,Super Ninja ECO,Garden,Standard Envelope,FBA,14.70 x 1.40 x 7.40 cm,0.06,N/A,"Dec 23, 2021",,No,51,Super Ninja ECO
"60 Pieces Fly Traps, 40 x Fly Traps Strips and 20 x Yellow Mosquito Trap in Total, Traps Mosquito Insects",B0CQQVVQ4Z,,Sticky,https://www.amazon.es/dp/B0CQQVVQ4Z?psc=1,https://m.media-amazon.com/images/I/61gemehtxaL._SX342_.jpg,FEBCAT Catch,13.98,85,85,50,"1,149.24","1,148.28",105,"1,161",CN,4.12,2,4,572,6,19,JIAZHIHENG,Garden,Large Envelope,FBA,21.20 x 3.30 x 20.90 cm,0.35,N/A,"Dec 21, 2023",,No,27,JIAZHIHENG
"Trampa para Moscas de Interior V2 | Trampa Eléctrica con Tarjetas Adhesivas y Enchufe Giratorio | contra Mosquitos, Polillas y Otros Insectos Voladores | 1 Dispositivo + 6 Tarjetas Adhesivas",B0GD7LN4K1,,Electric,https://www.amazon.es/dp/B0GD7LN4K1?psc=1,https://m.media-amazon.com/images/I/71MT9lMWbOL._AC_SY355_.jpg,URBZUE,24.99,4,41,N/A,180.55,"1,024.17",190,"16,872",CN,7.49,1,4.2,50,8,0,URBZUE DIRECT,Garden,Small Parcel,FBA,15.00 x 10.00 x 11.00 cm,0.3,N/A,"Feb 27, 2026",,No,1,URBZUE DIRECT
"Super Ninja Fly Traps � Pack of 30 Adhesive Plant Traps, Effective Against Indoor Flies, Non-Toxic and Eco-Friendly Plant Insecticide, Up to 3 Months Lasting",B0B9H1JJ83,,Sticky,https://www.amazon.es/dp/B0B9H1JJ83?psc=1,https://m.media-amazon.com/images/I/91ecP0vJ6wL._AC_SY355_.jpg,Super Ninja,6.99,936,660,400,"6,245.06","4,415.57",157,70,NL,3.11,1,4,"10,594",8,348,Super Ninja ECO,Garden,Standard Envelope,FBA,12.80 x 2.40 x 7.40 cm,0.07,N/A,"Apr 26, 2023",,No,35,Super Ninja ECO
"Raid Essentials LED Fly Trap, Fruit Fly and Moth Repellent, No Insecticide, Safe for the Whole Family, Odourless and No Residues, Indoor Use, 1 Device and 1 Refill.",B0DVZR5YTK,,Electric,https://www.amazon.es/dp/B0DVZR5YTK?psc=1,https://m.media-amazon.com/images/I/71DwElUQ6jL._AC_SY355_.jpg,Raid,14.99,323,203,100,"3,342.29","2,486.28",164,351,AMZ,4.43,2,3.6,197,7,N/A,Amazon,Garden,Small Parcel,AMZ,14.30 x 8.60 x 10.90 cm,0.13,N/A,"Mar 7, 2025",,No,12,Amazon
"Super Ninja Fruit Fly Traps - Pack of 4, Indoor Fly Trap, Home & Kitchen, Highly Effective Liquid Bait, Up to 3 Weeks Efficacy, Safe for Kids and Pets",B09SLX6GQS,,Lure,https://www.amazon.es/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91kTISCKjhL._AC_SY355_.jpg,Super Ninja,16.99,141,121,100,"2,654.47","2,055.78",150,707,NL,5.35,1,3.7,"10,835",8,181,Super Ninja ECO,Garden,Large Envelope,FBA,12.70 x 3.40 x 7.40 cm,0.12,N/A,"Jul 18, 2022",,No,44,Super Ninja ECO
"Fruit Fly Trap ? Made in EU?, Anti-Mosquito Indoor Kitchen, Traps Mosquitoes [Natural Remedy and No Insecticide]",B0D6B1G25M,,Sticky,https://www.amazon.es/dp/B0D6B1G25M?psc=1,https://m.media-amazon.com/images/I/61r-rcBXK1L._AC_SY355_.jpg,Repulseo,17.99,92,92,50,"1,645.87","1,644.83",112,"1,501",FR,N/A,1,4,643,7,15,Jaures Shop,Garden,Standard Parcel,FBA,44.60 x 11.90 x 16.30 cm,0.27,N/A,"Jun 19, 2024",,No,21,Jaures Shop
"VEYOFLY Trap Flying Insects Plug, Flies Fruit Indoor, Home Safe, Anti Insect Light, Mosquito Trap, Fruit Flies, Gnats, Fleas, Odorless (1 Devices + 3 Refills)",B0BJ1LXR8B,,Electric,https://www.amazon.es/dp/B0BJ1LXR8B?psc=1,https://m.media-amazon.com/images/I/61bSrrB8izL._AC_SX355_.jpg,VEYOFLY,19.97,119,80,50,"2,599.46","1,597.49",158,"1,239",US,6.85,1,3.9,"14,759",9,111,VEYOFLY ES,Garden,Small Parcel,FBA,12.19 x 6.10 x 9.30 cm,0.12,N/A,"Jul 23, 2024",,No,20,VEYOFLY ES
"Plant Sticky Traps 26 Pack, Double-Sided Fly Catcher for Indoor and Outdoor, Powerful Non-Toxic Pest Control for Mosquitos, Fruit Flies and Aphids",B0FL62NQ15,,Sticky,https://www.amazon.es/dp/B0FL62NQ15?psc=1,https://m.media-amazon.com/images/I/71qLqsgaJ8L._AC_SY355_.jpg,COMPOLICY,5.89,271,253,100,"1,637.53","1,500.72",146,472,N/A,4.42,1,4.6,215,7,30,Love star shop,Garden,Standard Envelope,FBA,13.90 x 1.70 x 13.50 cm,0.08,N/A,"Feb 8, 2026",,No,1,Love star shop
"30 x Fly Paper Strips, TRIITECH Sticky Fly Traps for Indoor and Outdoor",B0DDH7TTBT,,Sticky,https://www.amazon.es/dp/B0DDH7TTBT?psc=1,https://m.media-amazon.com/images/I/813dO8YD9zL._AC_SY355_.jpg,TRIITECH,9.99,151,114,50,"1,473.03","1,133.32",71,778,CN,4.34,1,3.8,748,6,35,Soaring Store,Garden,Standard Envelope,FBA,20.80 x 2.45 x 15.30 cm,0.24,N/A,"Aug 17, 2024",,No,19,Soaring Store
Sticky Fly Trap Fly Trap Fruit 16 Rolls Fly Catcher Strips Fly Trap Mosquito Catcher for Greenhouse Garden Outdoor Indoor Non-Toxic,B07MQ4ZSZT,,Sticky,https://www.amazon.es/dp/B07MQ4ZSZT?psc=1,https://m.media-amazon.com/images/I/71CBXALvr6L._AC_SY355_.jpg,BaiYou,6.99,140,140,50,976.17,974.64,131,946,CN,3.66,1,3.6,"9,766",9,27,BAI-YOU,Garden,Standard Envelope,FBA,18.00 x 2.50 x 10.90 cm,0.14,N/A,"Jul 18, 2019",,No,80,BAI-YOU
