"Time","Sales","Trend Line","7-Day Moving Average"
"2025-08-30 01:00:00",308.11,288.9139068044379,216.45
"2025-08-31 01:00:00",81.05,,124.07
"2025-09-01 01:00:00",92.18,,134.5
"2025-09-02 01:00:00",109.48,,149.22
"2025-09-03 01:00:00",115.6,,137.36
"2025-09-04 01:00:00",142.88,,153.18
"2025-09-05 01:00:00",195.23,,175.93
"2025-09-06 01:00:00",225.08,,196.2
"2025-09-07 01:00:00",191.83,,203.95
"2025-09-08 01:00:00",251.38,,200.63
"2025-09-09 01:00:00",251.38,,187.81
"2025-09-10 01:00:00",169.87,,170.73
"2025-09-11 01:00:00",119.67,,164.07
"2025-09-12 01:00:00",105.49,,149.17
"2025-09-13 01:00:00",105.49,,132.5
"2025-09-14 01:00:00",145.2,,135.82
"2025-09-15 01:00:00",147.11,,164.66
"2025-09-16 01:00:00",134.65,,187.8
"2025-09-17 01:00:00",193.12,,215
"2025-09-18 01:00:00",321.58,,239.88
"2025-09-19 01:00:00",267.44,,251.75
"2025-09-20 01:00:00",295.91,,257.49
"2025-09-21 01:00:00",319.35,,254.87
"2025-09-22 01:00:00",230.17,,235.41
"2025-09-23 01:00:00",174.83,,258.71
"2025-09-24 01:00:00",174.83,,267.31
"2025-09-25 01:00:00",185.31,,304.68
"2025-09-26 01:00:00",430.56,,315.68
"2025-09-27 01:00:00",356.14,,325.29
"2025-09-28 01:00:00",580.9,,337.52
"2025-09-29 01:00:00",307.22,,345.63
"2025-09-30 01:00:00",242.05,,315.89
"2025-10-01 01:00:00",260.47,,313.23
"2025-10-02 01:00:00",242.05,,274.97
"2025-10-03 01:00:00",222.39,,267.84
"2025-10-04 01:00:00",337.51,,274.54
"2025-10-05 01:00:00",313.07,,293.24
"2025-10-06 01:00:00",257.32,,354.49
"2025-10-07 01:00:00",288.99,,368.2
"2025-10-08 01:00:00",391.32,,371.59
"2025-10-09 01:00:00",670.84,,399.65
"2025-10-10 01:00:00",318.36,,421.44
"2025-10-11 01:00:00",361.23,,428.42
"2025-10-12 01:00:00",509.47,,425.44
"2025-10-13 01:00:00",409.89,,372.81
"2025-10-14 01:00:00",337.86,,364.66
"2025-10-15 01:00:00",370.42,,343.78
"2025-10-16 01:00:00",302.45,,339.33
"2025-10-17 01:00:00",261.33,,317.74
"2025-10-18 01:00:00",215.05,,313.11
"2025-10-19 01:00:00",478.3,,303.84
"2025-10-20 01:00:00",258.76,,291.66
"2025-10-21 01:00:00",305.49,,282.63
"2025-10-22 01:00:00",305.49,,290.34
"2025-10-23 01:00:00",217.21,,249.35
"2025-10-24 01:00:00",198.12,,236.33
"2025-10-25 01:00:00",269.04,,215.57
"2025-10-26 01:00:00",191.33,,196.84
"2025-10-27 00:00:00",167.63,,201.72
"2025-10-28 00:00:00",160.2,,219.48
"2025-10-29 00:00:00",174.38,,249.55
"2025-10-30 00:00:00",251.32,,252.19
"2025-10-31 00:00:00",322.44,,259.04
"2025-11-01 00:00:00",479.57,,262.58
"2025-11-02 00:00:00",209.8,,269.34
"2025-11-03 00:00:00",215.59,,285.94
"2025-11-04 00:00:00",184.99,,292.38
"2025-11-05 00:00:00",221.7,,271.86
"2025-11-06 00:00:00",367.5,,302.48
"2025-11-07 00:00:00",367.5,,334.15
"2025-11-08 00:00:00",335.94,,336.42
"2025-11-09 00:00:00",424.16,,327.86
"2025-11-10 00:00:00",437.29,,299.87
"2025-11-11 00:00:00",200.88,,274.52
"2025-11-12 00:00:00",161.76,,253.32
"2025-11-13 00:00:00",171.58,,272.24
"2025-11-14 00:00:00",190.05,,255.46
"2025-11-15 00:00:00",187.54,,259.22
"2025-11-16 00:00:00",556.56,,263.13
"2025-11-17 00:00:00",319.83,,268.45
"2025-11-18 00:00:00",227.23,,270.13
"2025-11-19 00:00:00",189.13,,269.27
"2025-11-20 00:00:00",208.82,,278.68
"2025-11-21 00:00:00",201.82,,274.82
"2025-11-22 00:00:00",181.51,,269.7
"2025-11-23 00:00:00",622.4,,270.64
"2025-11-24 00:00:00",292.81,,273.45
"2025-11-25 00:00:00",191.44,,275.66
"2025-11-26 00:00:00",195.66,,278.65
"2025-11-27 00:00:00",228.52,,248.78
"2025-11-28 00:00:00",217.31,,245.79
"2025-11-29 00:00:00",202.39,,249.94
"2025-11-30 00:00:00",413.33,,242.8
"2025-12-01 00:00:00",271.89,,232.34
"2025-12-02 00:00:00",220.48,,232.8
"2025-12-03 00:00:00",145.65,,226.05
"2025-12-04 00:00:00",155.36,,210.28
"2025-12-05 00:00:00",0,,175.06
"2025-12-06 00:00:00",230,,193.55
"2025-12-07 00:00:00",293.23,,200.36
"2025-12-08 00:00:00",180.73,,176.51
"2025-12-09 00:00:00",119.88,,170.1
"2025-12-10 00:00:00",130.08,,163.06
"2025-12-11 00:00:00",100.93,,137.9
"2025-12-12 00:00:00",135.84,,125.2
"2025-12-13 00:00:00",180.73,,120.75
"2025-12-14 00:00:00",117.13,,114.29
"2025-12-15 00:00:00",91.83,,116.08
"2025-12-16 00:00:00",88.73,,116.74
"2025-12-17 00:00:00",84.83,,134.01
"2025-12-18 00:00:00",113.46,,124.75
"2025-12-19 00:00:00",140.46,,118.38
"2025-12-20 00:00:00",301.62,,112.73
"2025-12-21 00:00:00",52.32,,109.98
"2025-12-22 00:00:00",47.22,,105.17
"2025-12-23 00:00:00",49.17,,92.13
"2025-12-24 00:00:00",65.62,,74.9
"2025-12-25 00:00:00",79.81,,91.82
"2025-12-26 00:00:00",0,,89.8
"2025-12-27 00:00:00",164.57,,125.81
"2025-12-28 00:00:00",156.51,,149.68
"2025-12-29 00:00:00",112.9,,168.48
"2025-12-30 00:00:00",136.71,,182.3
"2025-12-31 00:00:00",240.78,,190.26
"2026-01-01 00:00:00",254.99,,178.95
"2026-01-02 00:00:00",209.64,,175.27
"2026-01-03 00:00:00",220.32,,168.01
"2026-01-04 00:00:00",77.31,,146.24
"2026-01-05 00:00:00",87.13,,129.92
"2026-01-06 00:00:00",85.91,,129.51
"2026-01-07 00:00:00",88.38,,114.41
"2026-01-08 00:00:00",140.77,,116.6
"2026-01-09 00:00:00",206.77,,129.72
"2026-01-10 00:00:00",114.63,,130.68
"2026-01-11 00:00:00",92.59,,128.44
"2026-01-12 00:00:00",179,,128.06
"2026-01-13 00:00:00",92.59,,121.27
"2026-01-14 00:00:00",72.7,,121.12
"2026-01-15 00:00:00",138.17,,134.1
"2026-01-16 00:00:00",159.19,,133.77
"2026-01-17 00:00:00",113.61,,138.44
"2026-01-18 00:00:00",183.45,,154.26
"2026-01-19 00:00:00",176.7,,146.95
"2026-01-20 00:00:00",125.25,,127.65
"2026-01-21 00:00:00",0,,103.2
"2026-01-22 00:00:00",93.75,,110.37
"2026-01-23 00:00:00",75.57,,107.53
"2026-01-24 00:00:00",67.66,,109.64
"2026-01-25 00:00:00",139.89,,119.96
"2026-01-26 00:00:00",174.99,,125.31
"2026-01-27 00:00:00",147.97,,125.59
"2026-01-28 00:00:00",0,,132.14
"2026-01-29 00:00:00",96.08,,147.55
"2026-01-30 00:00:00",104.59,,137.22
"2026-01-31 00:00:00",261.48,,151.81
"2026-02-01 00:00:00",151.66,,128.46
"2026-02-02 00:00:00",94.16,,131.63
"2026-02-03 00:00:00",93.25,,148.97
"2026-02-04 00:00:00",97.97,,148.16
"2026-02-05 00:00:00",118.31,,145.64
"2026-02-06 00:00:00",225.97,,144.99
"2026-02-07 00:00:00",255.81,,142.22
"2026-02-08 00:00:00",134.02,,139.9
"2026-02-09 00:00:00",89.62,,137.51
"2026-02-10 00:00:00",73.84,,120.67
"2026-02-11 00:00:00",81.75,,112.94
"2026-02-12 00:00:00",101.56,,124.29
"2026-02-13 00:00:00",108.1,,140.77
"2026-02-14 00:00:00",201.72,,145.55
"2026-02-15 00:00:00",213.43,,164.36
"2026-02-16 00:00:00",204.99,,159.39
"2026-02-17 00:00:00",107.32,,140.23
"2026-02-18 00:00:00",0,,106.23
"2026-02-19 00:00:00",75.16,,97.39
"2026-02-20 00:00:00",71.69,,76.04
"2026-02-21 00:00:00",71.04,,69.11
"2026-02-22 00:00:00",76.34,,67.73
"2026-02-23 00:00:00",59.06,,73.69
"2026-02-24 00:00:00",59.42,,85.36
"2026-02-25 00:00:00",61.39,,101.99
"2026-02-26 00:00:00",116.89,,119.3
"2026-02-27 00:00:00",153.36,,132.78
"2026-02-28 00:00:00",187.48,,145.75
"2026-03-01 00:00:00",197.53,,153.14
"2026-03-02 00:00:00",0,,128.27
"2026-03-03 00:00:00",116.15,,136.5
"2026-03-04 00:00:00",103.04,,118.42
"2026-03-05 00:00:00",140.33,,111.57
"2026-03-06 00:00:00",94.83,,102.16
"2026-03-07 00:00:00",74.01,,94.91
"2026-03-08 00:00:00",112.29,,90.94
"2026-03-09 00:00:00",74.45,,81.86
"2026-03-10 00:00:00",65.43,,81.1
"2026-03-11 00:00:00",75.21,,101.69
"2026-03-12 00:00:00",76.8,,104.49
"2026-03-13 00:00:00",89.53,,111.61
"2026-03-14 00:00:00",218.1,,119.69
"2026-03-15 00:00:00",131.9,,127.71
"2026-03-16 00:00:00",124.31,,138.22
"2026-03-17 00:00:00",122.01,,147.82
