Display Order,Product Details,ASIN,URL,Image URL,Brand,Price  US$,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  US$,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
7.0,"LiBa Electric Bug Killer and Insect Killer – Killer of Insects, Flies and Other Pests – Powerful 2800V Rack 20W Bulbs – Free Two Replacement Packs Included",B01N5TCXWM,https://www.amazon.com/dp/B01N5TCXWM?psc=1,https://m.media-amazon.com/images/I/81kvAzHYZbL._AC_SY355_.jpg,LiBa,42.98,"1,783","1,315",900.0,"68,939.94","55,221.15",172,960,US,13.82,1,4.4,"15,655",9,6,LiBa,"Patio, Césped y Jardín",Large Standard-Size,FBA,15.79 x 4.01 x 12.38 in,4.25,,"Feb 22, 2017",,No,111,LiBa
8.0,"DEVOGUE® Electric Fly Swatter – Battery Powered Fly Swatter Racket, Mosquito and Insect Killer, Handheld Pest Control, Indoor and Outdoor Use",B0GVPGRMLH,https://www.amazon.com/dp/B0GVPGRMLH?psc=1,https://m.media-amazon.com/images/I/71BGVLPJ1dL._AC_SY355_.jpg,DEVOGUE,9.99,"3,980","3,980",3.0,"39,760.12","39,720.21",144,601,US,6.26,1,4.3,45,7,35,DEVOGUE PRODUCTS LLC,"Patio, Césped y Jardín",Large Standard-Size,FBA,17.80 x 1.46 x 8.19 in,0.35,,"Apr 17, 2026",,No,1,DEVOGUE PRODUCTS LLC
9.0,"YISSVIC Electric Mosquito Swatter, 4000 Volt Insect Zapper Racket, LED Display, Dual Mode, Rechargeable, for Indoor Home Office Patio Camp (Black, 2 Pack)",B0BS16J73Z,https://www.amazon.com/dp/B0BS16J73Z?psc=1,https://m.media-amazon.com/images/I/81r8iUdWmVL._AC_SY355_.jpg,YISSVIC,28.99,29,29,1.0,833.95,833.94,192,643,US,10.94,1,4.4,"1,636",9,210,Fococo,"Patio, Césped y Jardín",Large Standard-Size,FBA,17.40 x 1.85 x 11.57 in,1.92,,"Apr 24, 2023",,No,37,Fococo
18.0,"PhatroyYee Outdoor Solar Bug Zapper, 4500V Portable Waterproof Mosquito Swatter, Rechargeable Electric Wireless Insect Trap for Yard Home Garden Camp",B0D1R9MK2Q,https://www.amazon.com/dp/B0D1R9MK2Q?psc=1,https://m.media-amazon.com/images/I/81giHWJUzSL._AC_SY355_.jpg,PhatroyYee,69.99,"3,558","2,520",3.0,"283,174.08","192,524.63",196,163,US,19.66,1,4.4,736,7,63,KuccHero,"Patio, Césped y Jardín",Large Standard-Size,FBA,15.01 x 3.62 x 11.97 in,4.58,,"Apr 29, 2024",,No,25,KuccHero
19.0,"YsChois Electric Fly Swatter, Insect Zapper, Mosquito Zapper Racket | Golden Zone Voltage, 3mm Denser Mesh, Apple-Like Weight - Powered by AA Batteries (Not",B0G5271Y3G,https://www.amazon.com/dp/B0G5271Y3G?psc=1,https://m.media-amazon.com/images/I/81yDyUsN3dL._AC_SY355_.jpg,YsChois,11.97,"11,506","10,361",8.0,"127,344.87","108,525.35",199,117,US,7.02,1,4.5,176,7,125,"YsChois, LLC","Patio, Césped y Jardín",Large Standard-Size,FBA,15.91 x 1.14 x 8.54 in,0.55,,"Mar 29, 2026",,No,2,"YsChois, LLC"
20.0,"Zevo Flying Insect Trap and 3 Refill Cartridges - Plug-in Fly Trap and Insect Catcher for Mosquitoes, House Flies and Fruit Flies - Blue Light Technology and",B0CKY689WQ,https://www.amazon.com/dp/B0CKY689WQ?psc=1,https://m.media-amazon.com/images/I/81oM9Fx8QaL._AC_SY355_.jpg,,25.96,"120,072","75,561",80.0,"3,230,927.75","1,914,741.55",198,3,US,9.55,11,4.3,"79,297",9,"1,673",Front Row CPG,"Patio, Césped y Jardín",Large Standard-Size,FBA,7.24 x 4.57 x 6.81 in,0.42,,"Oct 19, 2023",,No,31,Front Row CPG
25.0,Faicuk Handheld Electric Fly Swatter Racket,B07VRR5YT8,https://www.amazon.com/dp/B07VRR5YT8?psc=1,https://m.media-amazon.com/images/I/71lsWIj0hnL._AC_SY355_.jpg,Faicuk,13.99,"3,857","2,332",2.0,"61,527.71","31,850.77",43,"1,028",US,9.0,1,4.2,"8,624",6,39,FAICUK,"Patio, Césped y Jardín",Large Standard-Size,FBA,17.36 x 1.65 x 8.76 in,0.73,,"Sep 25, 2019",,No,80,FAICUK
26.0,"YISSVIC Foldable Electric Mosquito Swatter, 2 in 1 Insect Zapper Racket, Mosquito Killer with Purple Attractive Light, Rechargeable, 1800mAh, for Indoor Home Patio Camping",B0DKXNXWSL,https://www.amazon.com/dp/B0DKXNXWSL?psc=1,https://m.media-amazon.com/images/I/81AS-+SiOXL._AC_SY355_.jpg,YISSVIC,16.99,809,577,300.0,"18,019.78","12,112.08",183,"1,417",US,8.27,1,4.4,"1,510",9,501,Fococo,"Patio, Césped y Jardín",Large Standard-Size,FBA,11.14 x 2.09 x 8.90 in,1.1,,"Feb 15, 2025",,No,15,Fococo
27.0,"Buzbug Indoor LED Insect Zapper, 3 Lamps 3800V High Voltage Electric Mosquito Zapper, Mosquito Trap for Fruit Flies Killer Zapper",B0GSDNBXXR,https://www.amazon.com/dp/B0GSDNBXXR?psc=1,https://m.media-amazon.com/images/I/81g8Ga2im+L._AC_SY355_.jpg,Buzbug,39.99,"5,889",627,500.0,"216,036.93","21,444.69",194,"2,976",US,14.39,1,4.5,797,7,,Amazei America,"Patio, Césped y Jardín",Large Standard-Size,FBA,13.58 x 3.98 x 10.51 in,3.42,,"Apr 23, 2026",,No,1,Amazei America
28.0,"DEVOGUE® Electric Fly Swatter - Weight Like Apple - Powered by 2 AA Batteries (Not Included) - 3 Layer Protection Racket for Home, Bedroom, Kitchen, Office, Patio, Indoor and Outdoor",B0FCMPQ7KB,https://www.amazon.com/dp/B0FCMPQ7KB?psc=1,https://m.media-amazon.com/images/I/71m7s7-DA4L._AC_SY355_.jpg,DEVOGUE,10.99,"2,788","2,788",400.0,"35,969.11","35,941.12",194,"16,666",US,7.17,1,4.1,188,8,35,DEVOGUE PRODUCTS LLC,"Patio, Césped y Jardín",Large Standard-Size,FBA,17.63 x 1.22 x 8.54 in,0.4,,"Jun 10, 2025",,No,11,DEVOGUE PRODUCTS LLC
