Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  US$,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  US$,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller,Source Keywords
72.0,"Indoor Fly Trap Plug in, Flying Insect Trap with Blue UV Light, Fruit Fly & Gnat Trap for Indoors, Mess-Free Bug Catcher for Home, 1 Device + 5 Refill Glue Cards",B0GHRLRN7F,Electric Traps,https://www.amazon.com/dp/B0GHRLRN7F?psc=1,https://m.media-amazon.com/images/I/61weKseC4RL._AC_SY355_.jpg,Acoswsi,23.39,"2,354","2,354","1,000","60,852.53","60,829.53",161,"7,825",,6.72,1,4.4,39,8.0,14,FFTAO,"Patio, Lawn & Garden",Large Standard-Size,FBA,5.00 x 2.91 x 3.54 in,0.31,,"Mar 26, 2026",,No,2.0,FFTAO,plug in fly trap
142.0,"AICase Flying Insect Trap for Indoors, Plug-in Fly Bug Zapper, UVA Light Captures Fruit Flies, Fly, Gnats and Houseflies, Mosquitoes, Moth, Flying Insects, (1 Plug-in Bases+1 Cartridge+5 Refills)-White",B0DRJ2N9M3,Electric Traps,https://www.amazon.com/dp/B0DRJ2N9M3?psc=1,https://m.media-amazon.com/images/I/61D5a3STZtL._AC_SY355_.jpg,AICase,8.99,95,61,50,951.76,581.58,201,"212,378",US,4.59,1,4.1,39,7.0,0,oneCase,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.14 x 2.24 x 4.29 in,0.42,,"Feb 16, 2025",,No,15.0,oneCase,plug in fly trap
141.0,"Fly Trap Indoor, 2 in 1 Plug in Fruit Fly Traps for Indoors with Auto Night Light for Home，Fruit Flies, Mosquito, Flies, Moths，Gnat Traps for House Indoor(2 Device + 10 Glue Cards)",B0DXKYB63B,Electric Traps,https://www.amazon.com/dp/B0DXKYB63B?psc=1,https://m.media-amazon.com/images/I/61nuurboQ9L._AC_SX355_.jpg,Alikguu,22.99,1,1,,30.15,30.06,180,"625,534",US,7.6,1,5.0,4,8.0,0,LBJ FANCY YARD LLC,"Patio, Lawn & Garden",Large Standard-Size,FBA,5.16 x 2.91 x 4.65 in,0.64,,"Apr 17, 2025",,No,13.0,LBJ FANCY YARD LLC,plug in fly trap
44.0,"Fly Trap Indoor Plug in – Electric Bug Zapper with Six Light - Silent, Pet Safe & Mess-Free Flying Insect Traps - Gnat Catcher & Fruit Fly Killer for House Home Kitchen Bedroom (1 Device + 1 Refill)",B0GY47HQLS,Electric Traps,https://www.amazon.com/dp/B0GY47HQLS?psc=1,https://m.media-amazon.com/images/I/61lhhllfrxL._AC_SY355_.jpg,Altaz,9.99,406,139,50,"5,115.43","1,587.75",198,"7,085",US,4.74,1,4.3,130,7.0,3,Altaz Store,"Patio, Lawn & Garden",Large Standard-Size,FBA,6.50 x 2.52 x 4.02 in,0.31,,"Apr 23, 2026",,No,1.0,Altaz Store,plug in fly trap
141.0,"Fly Traps Indoor, Fruit Fly Trap for Home, Flying Insect Trap with Suction, Mosquito Traps Indoor & 10 Pcs Sticky Glue Boards, Gnat Traps for House Indoor",B0GDJ7JGSV,Electric Traps,https://www.amazon.com/dp/B0GDJ7JGSV?psc=1,https://m.media-amazon.com/images/I/61Dv70X4kaL._AC_SY355_.jpg,AOKUSOL,31.48,256,256,200,"8,259.34","8,257.28",154,"12,771",AMZ,10.85,1,5.0,20,7.0,10,Amazon,"Patio, Lawn & Garden",Large Standard-Size,AMZ,9.80 x 5.47 x 5.51 in,1.61,,"Jan 13, 2026",,No,4.0,Amazon,fruit fly trap
143.0,"2-in-1 Fly Trap Indoor & Bug Zappers, Plug-in Flying Insect Trap (2 Device + 20 Refills), Gnat Traps for House Indoor, Mosquito Zapper Bug Traps for House Flies, Fruit Flies, Gnats",B0F6LFK4CS,Electric Traps,https://www.amazon.com/dp/B0F6LFK4CS?psc=1,https://m.media-amazon.com/images/I/81HDx5cg90L._AC_SY355_.jpg,Aqua*Sparkle,13.99,12,3,,115.88,38.06,180,"168,334",US,7.14,1,3.7,37,7.0,0,BanffLLC,"Patio, Lawn & Garden",Large Standard-Size,FBA,7.05 x 2.91 x 5.24 in,1.08,,"May 5, 2025",,No,12.0,BanffLLC,plug in fly trap
19.0,"ASPECTEK 20W Bug Zapper, 2800V Electric Insect Killer for Indoor and Covered Outdoor, Mosquito, Fly and Moth Trap with Protective Mesh and Hanging Chain for Versatile Setup at Home, Patio and Garage",B07F3NH96Q,Electric Traps,https://www.amazon.com/dp/B07F3NH96Q?psc=1,https://m.media-amazon.com/images/I/81EYlJBfHuL._AC_SY355_.jpg,ASPECTEK,39.99,"7,194",686,400,"267,911.76","25,908.01",198,"4,121",US,13.89,1,4.4,"4,293",6.0,,Store Extra,"Patio, Lawn & Garden",Large Standard-Size,FBA,16.34 x 4.17 x 11.77 in,3.9,,"Aug 28, 2018",,No,93.0,Store Extra,flying insect trap
47.0,"ASPECTEK Bug Zapper & Electric Insect Kill Mosquito Bug Fly & Other Pests Killer, Powerful 2800V Grid 20W Bulbs, Indoor use only",B09NM4WNJY,Electric Traps,https://www.amazon.com/dp/B09NM4WNJY?psc=1,https://m.media-amazon.com/images/I/71XbmPzi34L._AC_SY355_.jpg,ASPECTEK,39.99,279,123,100,"8,972.83","4,912.36",128,"40,677",US,13.7,1,4.4,574,7.0,3,Store Extra,"Patio, Lawn & Garden",Large Standard-Size,FBA,16.54 x 4.17 x 11.81 in,3.95,,"Dec 15, 2021",,No,53.0,Store Extra,flying insect trap
22.0,"Aunt Fannie's FlyPunch Fruit Fly Trap for Indoor and Kitchen Use, Ready to Use, Made with Plant Based Ingredients, Safe Near Food, Each Bottle Lasts Up to 30 Days, Pack of 2",B07VYPGHFW,Lure,https://www.amazon.com/dp/B07VYPGHFW?psc=1,https://m.media-amazon.com/images/I/91aYrXmLrDL._AC_SY355_.jpg,Aunt Fannie's,14.99,"1,318",880,"2,000","26,462.47","13,188.02",173,450,US,7.65,1,3.9,"8,630",7.0,,Aunt Fannie's,"Patio, Lawn & Garden",Large Standard-Size,FBA,5.51 x 2.01 x 4.29 in,1.01,,"Aug 16, 2019",,No,81.0,Aunt Fannie's,fruit fly trap
65.0,"Blue Light Bug Catcher Indoor Plug in, Gnat Traps for House, Indoor Fly Trap for Fruit Fly, Moth and Mosquito, Flying Insect Catcher, 4 Device+8 Refills",B0D144MQPT,Electric Traps,https://www.amazon.com/dp/B0D144MQPT?psc=1,https://m.media-amazon.com/images/I/61GoSCMblYL._AC_SY355_.jpg,BAIMNOCM,29.99,840,589,300,"19,926.92","17,664.43",152,"19,426",US,9.1,1,3.9,"1,119",9.0,,MTP LIGHTING,"Patio, Lawn & Garden",Large Standard-Size,FBA,4.45 x 3.50 x 3.94 in,0.82,,"Aug 12, 2024",,No,21.0,MTP LIGHTING,plug in fly trap
