"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-14 01:00:00",234.96,464.88857314681513,314.25
"2025-09-15 01:00:00",309.2,,376.2
"2025-09-16 01:00:00",510.49,,436.03
"2025-09-17 01:00:00",440.24,,438.82
"2025-09-18 01:00:00",520.14,,459.23
"2025-09-19 01:00:00",526.7,,469.03
"2025-09-20 01:00:00",530.03,,450.07
"2025-09-21 01:00:00",377.79,,441.48
"2025-09-22 01:00:00",377.79,,393.43
"2025-09-23 01:00:00",377.79,,361.97
"2025-09-24 01:00:00",380.14,,343.46
"2025-09-25 01:00:00",183.79,,353.38
"2025-09-26 01:00:00",306.49,,363.3
"2025-09-27 01:00:00",400.4,,373.22
"2025-09-28 01:00:00",447.24,,389.02
"2025-09-29 01:00:00",447.24,,432.86
"2025-09-30 01:00:00",447.24,,452.97
"2025-10-01 01:00:00",490.72,,459.66
"2025-10-02 01:00:00",490.72,,466.52
"2025-10-03 01:00:00",447.24,,473.38
"2025-10-04 01:00:00",447.24,,480.23
"2025-10-05 01:00:00",495.24,,480.88
"2025-10-06 01:00:00",495.24,,494.56
"2025-10-07 01:00:00",495.24,,514.45
"2025-10-08 01:00:00",495.24,,534.33
"2025-10-09 01:00:00",586.46,,528.18
"2025-10-10 01:00:00",586.46,,522.03
"2025-10-11 01:00:00",586.46,,515.88
"2025-10-12 01:00:00",452.19,,504.54
"2025-10-13 01:00:00",452.19,,485.35
"2025-10-14 01:00:00",452.19,,460.97
"2025-10-15 01:00:00",415.8,,432.17
"2025-10-16 01:00:00",452.19,,430.42
"2025-10-17 01:00:00",415.8,,428.66
"2025-10-18 01:00:00",384.84,,426.91
"2025-10-19 01:00:00",439.91,,430.35
"2025-10-20 01:00:00",439.91,,433.65
"2025-10-21 01:00:00",439.91,,428.95
"2025-10-22 01:00:00",439.91,,425.34
"2025-10-23 01:00:00",475.3,,424.91
"2025-10-24 01:00:00",382.88,,429.93
"2025-10-25 01:00:00",359.58,,434.96
"2025-10-26 01:00:00",436.86,,429.87
"2025-10-27 00:00:00",475.08,,419.73
"2025-10-28 00:00:00",475.08,,418.8
"2025-10-29 00:00:00",404.33,,421.19
"2025-10-30 00:00:00",404.33,,429.05
"2025-10-31 00:00:00",376.31,,431.45
"2025-11-01 00:00:00",376.31,,438.97
"2025-11-02 00:00:00",491.89,,451.48
"2025-11-03 00:00:00",491.89,,463.99
"2025-11-04 00:00:00",527.76,,462.68
