"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-10 01:00:00",62.83,31.18140966167589,68.06
"2023-05-11 01:00:00",56.52,,63.91
"2023-05-12 01:00:00",110.67,,61.89
"2023-05-13 01:00:00",53.19,,68.86
"2023-05-14 01:00:00",40.12,,75.08
"2023-05-15 01:00:00",42.34,,77.89
"2023-05-16 01:00:00",116.37,,69.99
"2023-05-17 01:00:00",106.36,,70
"2023-05-18 01:00:00",76.19,,69.96
"2023-05-19 01:00:00",55.35,,69.95
"2023-05-20 01:00:00",53.26,,69.92
"2023-05-21 01:00:00",39.87,,69.52
"2023-05-22 01:00:00",42.22,,68.9
"2023-05-23 01:00:00",116.19,,69.71
"2023-05-24 01:00:00",103.58,,69
"2023-05-25 01:00:00",71.86,,70.55
"2023-05-26 01:00:00",60.97,,71.76
"2023-05-27 01:00:00",48.31,,63.97
"2023-05-28 01:00:00",50.71,,67.21
"2023-05-29 01:00:00",50.71,,78.51
"2023-05-30 01:00:00",61.63,,86.48
"2023-05-31 01:00:00",126.3,,88.57
"2023-06-01 01:00:00",150.91,,87.86
"2023-06-02 01:00:00",116.78,,89.24
"2023-06-03 01:00:00",62.95,,96.04
"2023-06-04 01:00:00",45.72,,91.61
"2023-06-05 01:00:00",60.36,,85.45
"2023-06-06 01:00:00",109.23,,77.41
"2023-06-07 01:00:00",95.3,,74.29
"2023-06-08 01:00:00",107.82,,78.91
"2023-06-09 01:00:00",60.46,,80.87
"2023-06-10 01:00:00",41.12,,74.64
"2023-06-11 01:00:00",78.05,,68.9
"2023-06-12 01:00:00",74.13,,58.94
"2023-06-13 01:00:00",65.61,,54.48
"2023-06-14 01:00:00",55.11,,53
"2023-06-15 01:00:00",38.12,,47.63
"2023-06-16 01:00:00",29.22,,46.7
"2023-06-17 01:00:00",30.76,,49.2
"2023-06-18 01:00:00",40.46,,47.29
"2023-06-19 01:00:00",67.63,,47.1
"2023-06-20 01:00:00",83.11,,47.17
"2023-06-21 01:00:00",41.74,,46.72
"2023-06-22 01:00:00",36.76,,47.81
"2023-06-23 01:00:00",29.72,,44.93
"2023-06-24 01:00:00",27.59,,42.95
"2023-06-25 01:00:00",48.15,,45.48
"2023-06-26 01:00:00",47.42,,44.78
"2023-06-27 01:00:00",69.25,,44.1
"2023-06-28 01:00:00",59.48,,44
"2023-06-29 01:00:00",31.88,,42.76
"2023-06-30 01:00:00",24.91,,43.12
"2023-07-01 01:00:00",26.91,,46.46
"2023-07-02 01:00:00",39.45,,47.13
"2023-07-03 01:00:00",49.94,,48.68
"2023-07-04 01:00:00",92.65,,50.74
"2023-07-05 01:00:00",64.18,,51.28
"2023-07-06 01:00:00",42.7,,54.34
"2023-07-07 01:00:00",39.33,,58.54
"2023-07-08 01:00:00",30.74,,55.1
"2023-07-09 01:00:00",60.84,,52.31
"2023-07-10 01:00:00",79.37,,52.62
"2023-07-11 01:00:00",68.53,,64.49
"2023-07-12 01:00:00",44.67,,78.86
"2023-07-13 01:00:00",44.84,,76.59
"2023-07-14 01:00:00",122.46,,68.78
"2023-07-15 01:00:00",131.29,,61.66
"2023-07-16 01:00:00",44.97,,59.06
"2023-07-17 01:00:00",24.67,,56.26
"2023-07-18 01:00:00",18.75,,44.04
"2023-07-19 01:00:00",26.41,,32.71
"2023-07-20 01:00:00",25.28,,34.33
"2023-07-21 01:00:00",36.89,,36.04
"2023-07-22 01:00:00",52.02,,38.84
"2023-07-23 01:00:00",56.26,,39.99
"2023-07-24 01:00:00",36.68,,40.99
"2023-07-25 01:00:00",38.31,,39.62
"2023-07-26 01:00:00",34.51,,35.14
"2023-07-27 01:00:00",32.29,,30.18
"2023-07-28 01:00:00",27.3,,29.84
"2023-07-29 01:00:00",20.65,,31.37
"2023-07-30 01:00:00",21.51,,33.89
