"Time","Sales","Trend Line","7-Day Moving Average"
"2023-05-10 01:00:00",37.05,15.189326724786135,39
"2023-05-11 01:00:00",42.21,,38.84
"2023-05-12 01:00:00",58.85,,37.49
"2023-05-13 01:00:00",39.31,,41.56
"2023-05-14 01:00:00",30.78,,41.97
"2023-05-15 01:00:00",32.77,,39.73
"2023-05-16 01:00:00",49.97,,34.18
"2023-05-17 01:00:00",39.87,,31.14
"2023-05-18 01:00:00",26.55,,30.72
"2023-05-19 01:00:00",19.99,,31.27
"2023-05-20 01:00:00",18.04,,28.21
"2023-05-21 01:00:00",27.87,,24.48
"2023-05-22 01:00:00",36.62,,22.9
"2023-05-23 01:00:00",28.55,,23.98
"2023-05-24 01:00:00",13.72,,24.01
"2023-05-25 01:00:00",15.52,,22.7
"2023-05-26 01:00:00",27.54,,20.13
"2023-05-27 01:00:00",18.26,,18.72
"2023-05-28 01:00:00",18.66,,21.13
"2023-05-29 01:00:00",18.66,,28.91
"2023-05-30 01:00:00",18.66,,29.23
"2023-05-31 01:00:00",30.58,,30.2
"2023-06-01 01:00:00",70,,31.09
"2023-06-02 01:00:00",29.78,,31.7
"2023-06-03 01:00:00",25.05,,33.32
"2023-06-04 01:00:00",24.89,,35.58
"2023-06-05 01:00:00",22.97,,27.75
"2023-06-06 01:00:00",29.98,,25.86
"2023-06-07 01:00:00",46.41,,24.98
"2023-06-08 01:00:00",15.16,,23.93
"2023-06-09 01:00:00",16.57,,25.65
"2023-06-10 01:00:00",18.88,,25.47
"2023-06-11 01:00:00",17.55,,23.97
"2023-06-12 01:00:00",34.99,,25.63
"2023-06-13 01:00:00",28.73,,28.56
"2023-06-14 01:00:00",35.92,,31.87
"2023-06-15 01:00:00",26.75,,32.66
"2023-06-16 01:00:00",37.07,,30.15
"2023-06-17 01:00:00",42.1,,29.9
"2023-06-18 01:00:00",23.04,,29.44
"2023-06-19 01:00:00",17.41,,31.62
"2023-06-20 01:00:00",27.02,,31.08
"2023-06-21 01:00:00",32.66,,31.16
"2023-06-22 01:00:00",42.06,,33.26
"2023-06-23 01:00:00",33.27,,35.27
"2023-06-24 01:00:00",42.67,,39.75
"2023-06-25 01:00:00",37.75,,40.26
"2023-06-26 01:00:00",31.45,,37.3
"2023-06-27 01:00:00",58.4,,36
"2023-06-28 01:00:00",36.25,,32.7
"2023-06-29 01:00:00",21.28,,30.03
"2023-06-30 01:00:00",24.22,,29.14
"2023-07-01 01:00:00",19.55,,27.17
"2023-07-02 01:00:00",19.08,,29.71
"2023-07-03 01:00:00",25.18,,31.99
"2023-07-04 01:00:00",44.63,,32.45
"2023-07-05 01:00:00",54.04,,32.74
"2023-07-06 01:00:00",37.24,,34.2
"2023-07-07 01:00:00",27.4,,36.47
"2023-07-08 01:00:00",21.6,,33.06
"2023-07-09 01:00:00",29.28,,28.53
"2023-07-10 01:00:00",41.11,,25.98
"2023-07-11 01:00:00",20.75,,27.11
"2023-07-12 01:00:00",22.32,,32.63
"2023-07-13 01:00:00",19.42,,30.97
"2023-07-14 01:00:00",35.31,,28.6
"2023-07-15 01:00:00",60.19,,31.52
"2023-07-16 01:00:00",17.66,,34.78
"2023-07-17 01:00:00",24.57,,36.06
"2023-07-18 01:00:00",41.18,,34.4
"2023-07-19 01:00:00",45.16,,28.13
"2023-07-20 01:00:00",28.33,,31.2
"2023-07-21 01:00:00",23.73,,30.82
"2023-07-22 01:00:00",16.26,,29.84
"2023-07-23 01:00:00",39.15,,26.17
