"Time","Sales","Trend Line","7-Day Moving Average"
"2025-03-09 00:00:00",11.71,27.95479928248744,11.88
"2025-03-10 00:00:00",6.37,,9.92
"2025-03-11 00:00:00",16.66,,11.91
"2025-03-12 00:00:00",13.32,,11.14
"2025-03-13 00:00:00",8.64,,11
"2025-03-14 00:00:00",10.02,,12.43
"2025-03-15 00:00:00",11.28,,12.21
"2025-03-16 00:00:00",10.73,,12.89
"2025-03-17 00:00:00",16.37,,14.25
"2025-03-18 00:00:00",15.1,,16.89
"2025-03-19 00:00:00",18.12,,18.57
"2025-03-20 00:00:00",18.12,,19.8
"2025-03-21 00:00:00",28.53,,20.43
"2025-03-22 00:00:00",23.04,,21.58
"2025-03-23 00:00:00",19.29,,23.13
"2025-03-24 00:00:00",20.82,,26.29
"2025-03-25 00:00:00",23.12,,30.15
"2025-03-26 00:00:00",29,,34.86
"2025-03-27 00:00:00",40.24,,38.1
"2025-03-28 00:00:00",55.57,,43.98
"2025-03-29 00:00:00",55.95,,47.89
"2025-03-30 00:00:00",42.03,,48.63
"2025-03-31 01:00:00",61.94,,45.88
"2025-04-01 01:00:00",50.48,,40.96
"2025-04-02 01:00:00",34.19,,35.86
"2025-04-03 01:00:00",20.99,,32.91
"2025-04-04 01:00:00",21.11,,28.4
"2025-04-05 01:00:00",20.26,,30.05
"2025-04-06 01:00:00",21.41,,34.08
"2025-04-07 01:00:00",30.35,,34.85
"2025-04-08 01:00:00",62.02,,35.61
"2025-04-09 01:00:00",62.44,,41.63
"2025-04-10 01:00:00",26.39,,35.35
"2025-04-11 01:00:00",26.39,,32.94
"2025-04-12 01:00:00",0,,26.98
"2025-04-13 01:00:00",13.46,,22.72
"2025-04-14 01:00:00",13.46,,21.58
"2025-04-15 01:00:00",46.7,,24.74
"2025-04-16 01:00:00",19.2,,19.86
"2025-04-17 01:00:00",18.41,,22.92
"2025-04-18 01:00:00",15.25,,23.58
"2025-04-19 01:00:00",12.53,,18.65
"2025-04-20 01:00:00",34.88,,18.05
"2025-04-21 01:00:00",18.06,,17.25
"2025-04-22 01:00:00",12.24,,16.89
"2025-04-23 01:00:00",14.96,,16.57
"2025-04-24 01:00:00",12.81,,13.31
"2025-04-25 01:00:00",12.78,,13.13
"2025-04-26 01:00:00",10.28,,14.14
"2025-04-27 01:00:00",12.02,,16.51
"2025-04-28 01:00:00",16.81,,18.26
"2025-04-29 01:00:00",19.35,,20.14
"2025-04-30 01:00:00",31.55,,21.14
"2025-05-01 01:00:00",25.06,,21.38
"2025-05-02 01:00:00",25.89,,22.22
"2025-05-03 01:00:00",17.32,,22.18
"2025-05-04 01:00:00",13.68,,20.05
"2025-05-05 01:00:00",22.72,,19.73
"2025-05-06 01:00:00",19.06,,21.58
"2025-05-07 01:00:00",16.64,,23.29
"2025-05-08 01:00:00",22.79,,23.7
"2025-05-09 01:00:00",38.85,,25.3
"2025-05-10 01:00:00",29.26,,26.54
"2025-05-11 01:00:00",16.57,,26.82
"2025-05-12 01:00:00",33.91,,26.07
"2025-05-13 01:00:00",27.73,,25.21
"2025-05-14 01:00:00",18.62,,22.86
"2025-05-15 01:00:00",17.57,,22.63
"2025-05-16 01:00:00",32.83,,20.54
"2025-05-17 01:00:00",12.76,,19.31
"2025-05-18 01:00:00",15.02,,23.53
"2025-05-19 01:00:00",19.27,,26.33
"2025-05-20 01:00:00",19.11,,25.12
"2025-05-21 01:00:00",48.16,,25.57
"2025-05-22 01:00:00",37.17,,26.77
"2025-05-23 01:00:00",24.35,,26.87
"2025-05-24 01:00:00",15.93,,28.57
"2025-05-25 01:00:00",23.37,,29.8
"2025-05-26 01:00:00",20.01,,30.35
"2025-05-27 01:00:00",30.98,,31.81
"2025-05-28 01:00:00",56.81,,34
"2025-05-29 01:00:00",40.99,,33.96
"2025-05-30 01:00:00",34.57,,34.37
"2025-05-31 01:00:00",31.28,,33.38
"2025-06-01 01:00:00",23.08,,29.57
"2025-06-02 01:00:00",22.88,,27.91
"2025-06-03 01:00:00",24.02,,27.16
"2025-06-04 01:00:00",30.2,,37.14
"2025-06-05 01:00:00",29.33,,38.28
"2025-06-06 01:00:00",29.33,,37.93
"2025-06-07 01:00:00",101.17,,39.71
"2025-06-08 01:00:00",31.04,,40.72
"2025-06-09 01:00:00",20.43,,43.66
"2025-06-10 01:00:00",36.49,,44.78
"2025-06-11 01:00:00",37.26,,36.71
"2025-06-12 01:00:00",49.93,,35.97
"2025-06-13 01:00:00",37.14,,36.11
"2025-06-14 01:00:00",44.7,,34.25
"2025-06-15 01:00:00",25.81,,33.42
"2025-06-16 01:00:00",21.47,,34.9
"2025-06-17 01:00:00",23.46,,37.21
"2025-06-18 01:00:00",31.44,,39
"2025-06-19 01:00:00",60.26,,40
"2025-06-20 01:00:00",53.3,,41.16
"2025-06-21 01:00:00",57.27,,41.81
"2025-06-22 01:00:00",32.79,,41.33
"2025-06-23 01:00:00",29.6,,37.87
"2025-06-24 01:00:00",27.98,,38.53
"2025-06-25 01:00:00",28.12,,46.29
"2025-06-26 01:00:00",36.02,,47.23
"2025-06-27 01:00:00",57.92,,48.36
"2025-06-28 01:00:00",111.58,,49.98
"2025-06-29 01:00:00",39.42,,52.89
"2025-06-30 01:00:00",37.48,,56.62
"2025-07-01 01:00:00",39.3,,60.2
"2025-07-02 01:00:00",48.49,,62.29
"2025-07-03 01:00:00",62.15,,76.31
"2025-07-04 01:00:00",82.99,,86.1
"2025-07-05 01:00:00",126.17,,95.49
"2025-07-06 01:00:00",137.56,,100.63
"2025-07-07 01:00:00",106.04,,98.46
"2025-07-08 01:00:00",105.03,,93.44
"2025-07-09 01:00:00",84.45,,82.71
"2025-07-10 01:00:00",46.95,,67.94
"2025-07-11 01:00:00",47.88,,58.89
"2025-07-12 01:00:00",51.09,,53.34
"2025-07-13 01:00:00",34.17,,52.46
"2025-07-14 01:00:00",42.66,,56.88
"2025-07-15 01:00:00",66.19,,60.46
"2025-07-16 01:00:00",78.28,,64.57
"2025-07-17 01:00:00",77.86,,68.69
"2025-07-18 01:00:00",72.96,,73.32
"2025-07-19 01:00:00",79.87,,74.59
"2025-07-20 01:00:00",62.99,,69.35
"2025-07-21 01:00:00",75.09,,62.27
"2025-07-22 01:00:00",75.09,,55.56
"2025-07-23 01:00:00",41.58,,47.86
"2025-07-24 01:00:00",28.28,,44.63
"2025-07-25 01:00:00",26,,44.73
"2025-07-26 01:00:00",25.97,,39.33
"2025-07-27 01:00:00",40.37,,37.2
"2025-07-28 01:00:00",75.82,,38.1
"2025-07-29 01:00:00",37.26,,42.2
"2025-07-30 01:00:00",26.67,,44.71
"2025-07-31 01:00:00",34.62,,42.8
"2025-08-01 01:00:00",54.68,,35.74
"2025-08-02 01:00:00",43.58,,34.79
"2025-08-03 01:00:00",26.96,,39.17
"2025-08-04 01:00:00",26.44,,44.76
"2025-08-05 01:00:00",30.56,,44.25
"2025-08-06 01:00:00",57.34,,47.86
"2025-08-07 01:00:00",73.74,,48.16
"2025-08-08 01:00:00",51.15,,48.64
"2025-08-09 01:00:00",68.81,,51.73
"2025-08-10 01:00:00",29.05,,49.52
"2025-08-11 01:00:00",29.81,,45.89
"2025-08-12 01:00:00",52.22,,50.32
"2025-08-13 01:00:00",41.83,,49.29
"2025-08-14 01:00:00",48.33,,59.11
"2025-08-15 01:00:00",82.21,,64.35
"2025-08-16 01:00:00",61.56,,62.2
"2025-08-17 01:00:00",97.79,,60.56
"2025-08-18 01:00:00",66.54,,59.74
"2025-08-19 01:00:00",37.13,,54.24
"2025-08-20 01:00:00",30.34,,49.86
"2025-08-21 01:00:00",42.58,,40.81
"2025-08-22 01:00:00",43.71,,35.21
"2025-08-23 01:00:00",30.91,,33.92
"2025-08-24 01:00:00",34.47,,34.54
"2025-08-25 01:00:00",27.36,,38.28
"2025-08-26 01:00:00",28.05,,44.14
"2025-08-27 01:00:00",34.73,,46.86
"2025-08-28 01:00:00",68.75,,47.49
"2025-08-29 01:00:00",84.69,,50.58
"2025-08-30 01:00:00",49.94,,54.03
"2025-08-31 01:00:00",38.94,,57.49
"2025-09-01 01:00:00",48.99,,60.01
"2025-09-02 01:00:00",52.2,,62.9
"2025-09-03 01:00:00",58.93,,67.86
"2025-09-04 01:00:00",86.36,,68.23
"2025-09-05 01:00:00",104.94,,67.71
"2025-09-06 01:00:00",84.65,,67.94
"2025-09-07 01:00:00",41.52,,66.21
"2025-09-08 01:00:00",45.37,,63.99
"2025-09-09 01:00:00",53.78,,68.03
"2025-09-10 01:00:00",46.87,,67.71
"2025-09-11 01:00:00",70.8,,79.91
"2025-09-12 01:00:00",133.24,,81.44
"2025-09-13 01:00:00",82.41,,79.9
"2025-09-14 01:00:00",126.89,,82.44
"2025-09-15 01:00:00",56.09,,81.29
"2025-09-16 01:00:00",43.01,,69.7
"2025-09-17 01:00:00",64.61,,67.86
"2025-09-18 01:00:00",62.78,,60.46
"2025-09-19 01:00:00",52.13,,65.66
"2025-09-20 01:00:00",69.49,,69.77
"2025-09-21 01:00:00",75.11,,70.43
"2025-09-22 01:00:00",92.5,,70.63
"2025-09-23 01:00:00",71.79,,72.97
"2025-09-24 01:00:00",69.21,,68.57
"2025-09-25 01:00:00",64.17,,77.72
"2025-09-26 01:00:00",68.53,,78.62
"2025-09-27 01:00:00",38.7,,78.22
"2025-09-28 01:00:00",139.12,,75.49
"2025-09-29 01:00:00",98.8,,80.43
"2025-09-30 01:00:00",68.98,,76.24
"2025-10-01 01:00:00",50.1,,73.82
"2025-10-02 01:00:00",0,,46
"2025-10-03 01:00:00",0,,39.41
"2025-10-04 01:00:00",59.56,,57.45
"2025-10-05 01:00:00",44.59,,58.16
"2025-10-06 01:00:00",52.63,,63.71
"2025-10-07 01:00:00",76.17,,68.77
"2025-10-08 01:00:00",84.97,,77.43
"2025-10-09 01:00:00",75.41,,77.93
"2025-10-10 01:00:00",88.04,,76.74
"2025-10-11 01:00:00",120.19,,70.73
"2025-10-12 01:00:00",48.1,,71.97
"2025-10-13 01:00:00",44.29,,73.23
"2025-10-14 01:00:00",34.11,,67.87
"2025-10-15 01:00:00",93.64,,55.57
"2025-10-16 01:00:00",84.25,,59.73
"2025-10-17 01:00:00",50.5,,61.79
"2025-10-18 01:00:00",34.11,,64.52
"2025-10-19 01:00:00",77.18,,56.17
"2025-10-20 01:00:00",58.77,,48.9
"2025-10-21 01:00:00",53.16,,45.82
"2025-10-22 01:00:00",35.24,,44.71
"2025-10-23 01:00:00",33.36,,39.86
"2025-10-24 01:00:00",28.94,,35.89
"2025-10-25 01:00:00",26.35,,32.67
"2025-10-26 01:00:00",43.19,,31.55
"2025-10-27 00:00:00",30.98,,34.28
"2025-10-28 00:00:00",30.66,,41.52
"2025-10-29 00:00:00",27.37,,47.57
"2025-10-30 00:00:00",52.5,,53.3
"2025-10-31 00:00:00",79.6,,59.52
"2025-11-01 00:00:00",68.71,,59.81
"2025-11-02 00:00:00",83.26,,60.29
"2025-11-03 00:00:00",74.51,,57.79
"2025-11-04 00:00:00",32.75,,53.42
"2025-11-05 00:00:00",30.71,,55
"2025-11-06 00:00:00",34.97,,49.43
"2025-11-07 00:00:00",49.04,,43.2
"2025-11-08 00:00:00",79.75,,45.12
"2025-11-09 00:00:00",44.26,,52.2
"2025-11-10 00:00:00",30.93,,58.05
"2025-11-11 00:00:00",46.2,,60.83
"2025-11-12 00:00:00",80.25,,54.57
"2025-11-13 00:00:00",75.91,,57.71
"2025-11-14 00:00:00",68.5,,63.07
"2025-11-15 00:00:00",35.96,,66.21
"2025-11-16 00:00:00",66.25,,63.47
"2025-11-17 00:00:00",68.42,,61.18
"2025-11-18 00:00:00",68.18,,58
"2025-11-19 00:00:00",61.08,,57.14
"2025-11-20 00:00:00",59.85,,52.91
"2025-11-21 00:00:00",46.24,,47.41
"2025-11-22 00:00:00",29.98,,42.61
"2025-11-23 00:00:00",36.65,,40.71
"2025-11-24 00:00:00",29.88,,40.31
"2025-11-25 00:00:00",34.56,,45.94
"2025-11-26 00:00:00",47.79,,51.71
"2025-11-27 00:00:00",57.06,,50.26
"2025-11-28 00:00:00",85.66,,49.69
"2025-11-29 00:00:00",70.39,,48.45
"2025-11-30 00:00:00",26.45,,45.8
"2025-12-01 00:00:00",25.94,,45.53
"2025-12-02 00:00:00",25.84,,46.2
"2025-12-03 00:00:00",29.26,,44.57
"2025-12-04 00:00:00",55.2,,45.73
"2025-12-05 00:00:00",90.31,,51.35
"2025-12-06 00:00:00",59,,54.94
"2025-12-07 00:00:00",34.57,,56.57
"2025-12-08 00:00:00",65.26,,56.06
"2025-12-09 00:00:00",50.97,,56.45
"2025-12-10 00:00:00",40.68,,59.86
"2025-12-11 00:00:00",51.6,,70.24
"2025-12-12 00:00:00",93.1,,66.9
"2025-12-13 00:00:00",82.82,,64.42
"2025-12-14 00:00:00",107.22,,64.43
"2025-12-15 00:00:00",41.92,,64.09
"2025-12-16 00:00:00",33.62,,57.92
"2025-12-17 00:00:00",40.7,,50.57
"2025-12-18 00:00:00",49.28,,38.58
"2025-12-19 00:00:00",49.86,,35.69
"2025-12-20 00:00:00",31.4,,35.31
"2025-12-21 00:00:00",23.28,,36.58
"2025-12-22 00:00:00",21.67,,38.14
"2025-12-23 00:00:00",31.01,,38.21
"2025-12-24 00:00:00",49.54,,38.29
"2025-12-25 00:00:00",60.25,,37.88
"2025-12-26 00:00:00",50.3,,44.19
"2025-12-27 00:00:00",31.95,,46.02
"2025-12-28 00:00:00",20.47,,42.64
"2025-12-29 00:00:00",65.83,,38.81
"2025-12-30 00:00:00",43.8,,35.27
"2025-12-31 00:00:00",25.91,,33.71
"2026-01-01 00:00:00",33.42,,34.39
"2026-01-02 00:00:00",25.48,,28.85
"2026-01-03 00:00:00",21.08,,29.12
"2026-01-04 00:00:00",25.18,,30.76
"2026-01-05 00:00:00",27.05,,30.37
"2026-01-06 00:00:00",45.69,,31.95
"2026-01-07 00:00:00",37.42,,40.86
"2026-01-08 00:00:00",30.69,,41.54
"2026-01-09 00:00:00",36.57,,42.24
"2026-01-10 00:00:00",83.4,,42.1
"2026-01-11 00:00:00",29.98,,48.39
"2026-01-12 00:00:00",31.95,,53.36
"2026-01-13 00:00:00",44.68,,55.6
"2026-01-14 00:00:00",81.44,,51.43
"2026-01-15 00:00:00",65.48,,58.01
"2026-01-16 00:00:00",52.29,,58.35
"2026-01-17 00:00:00",54.17,,55.97
"2026-01-18 00:00:00",76.06,,49.1
"2026-01-19 00:00:00",34.3,,45.98
"2026-01-20 00:00:00",28.02,,49
"2026-01-21 00:00:00",33.38,,49.86
"2026-01-22 00:00:00",43.64,,43.79
