"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-07 02:00:00",160.44,98.19797045669138,120.72
"2025-05-08 02:00:00",128.23,,121.18
"2025-05-09 02:00:00",111.61,,110.98
"2025-05-10 02:00:00",97.7,,107.48
"2025-05-11 02:00:00",72.06,,107.36
"2025-05-12 02:00:00",68.27,,109.63
"2025-05-13 02:00:00",114.03,,112.45
"2025-05-14 02:00:00",159.64,,118
"2025-05-15 02:00:00",144.12,,117.25
"2025-05-16 02:00:00",131.35,,123.22
"2025-05-17 02:00:00",136.54,,120.41
"2025-05-18 02:00:00",66.82,,109.51
"2025-05-19 02:00:00",110.04,,108.2
"2025-05-20 02:00:00",94.35,,113.65
"2025-05-21 02:00:00",83.36,,113.43
"2025-05-22 02:00:00",134.95,,111.75
"2025-05-23 02:00:00",169.52,,109.42
"2025-05-24 02:00:00",134.95,,113.81
"2025-05-25 02:00:00",55.05,,119.21
"2025-05-26 02:00:00",93.75,,114.9
"2025-05-27 02:00:00",125.1,,104.52
"2025-05-28 02:00:00",121.18,,96.86
"2025-05-29 02:00:00",104.76,,109.49
"2025-05-30 02:00:00",96.88,,108.7
"2025-05-31 02:00:00",81.27,,105.07
"2025-06-01 02:00:00",143.47,,108.26
"2025-06-02 02:00:00",88.22,,112.87
"2025-06-03 02:00:00",99.73,,118.9
"2025-06-04 02:00:00",143.47,,116.72
"2025-06-05 02:00:00",137.03,,112.57
"2025-06-06 02:00:00",139.11,,115.96
"2025-06-07 02:00:00",65.98,,118.97
"2025-06-08 02:00:00",114.48,,114.93
"2025-06-09 02:00:00",111.89,,109.7
"2025-06-10 02:00:00",120.83,,106.18
"2025-06-11 02:00:00",115.17,,104.71
"2025-06-12 02:00:00",100.44,,103.76
"2025-06-13 02:00:00",114.48,,110.31
"2025-06-14 02:00:00",55.71,,112.26
"2025-06-15 02:00:00",107.8,,108.93
"2025-06-16 02:00:00",157.71,,108.13
"2025-06-17 02:00:00",134.5,,103.42
"2025-06-18 02:00:00",91.84,,104.28
"2025-06-19 02:00:00",94.85,,97.93
"2025-06-20 02:00:00",81.5,,84.07
"2025-06-21 02:00:00",61.79,,76.03
"2025-06-22 02:00:00",63.35,,82.32
