"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-07 02:00:00",32.8,150.12981302881448,43.14
"2025-05-08 02:00:00",52.09,,48.78
"2025-05-09 02:00:00",60.89,,53.47
"2025-05-10 02:00:00",59.9,,55.32
"2025-05-11 02:00:00",63.31,,54.55
"2025-05-12 02:00:00",67.28,,54.31
"2025-05-13 02:00:00",50.98,,51.6
"2025-05-14 02:00:00",27.39,,48.43
"2025-05-15 02:00:00",50.39,,43.77
"2025-05-16 02:00:00",41.98,,39.61
"2025-05-17 02:00:00",37.68,,41.54
"2025-05-18 02:00:00",30.72,,46.37
"2025-05-19 02:00:00",38.1,,47.43
"2025-05-20 02:00:00",64.55,,51.75
"2025-05-21 02:00:00",61.18,,57
"2025-05-22 02:00:00",57.81,,60.37
"2025-05-23 02:00:00",72.23,,61.93
"2025-05-24 02:00:00",74.41,,66.09
"2025-05-25 02:00:00",54.3,,75.33
"2025-05-26 02:00:00",49.03,,80.53
"2025-05-27 02:00:00",93.7,,84.2
"2025-05-28 02:00:00",125.82,,86.71
"2025-05-29 02:00:00",94.23,,93.08
"2025-05-30 02:00:00",97.92,,94.69
"2025-05-31 02:00:00",92,,92.62
"2025-06-01 02:00:00",98.84,,92.13
"2025-06-02 02:00:00",60.33,,98.25
"2025-06-03 02:00:00",79.2,,103.84
"2025-06-04 02:00:00",122.36,,110.29
"2025-06-05 02:00:00",137.09,,104.57
"2025-06-06 02:00:00",137.09,,104.35
"2025-06-07 02:00:00",137.09,,121.23
"2025-06-08 02:00:00",58.82,,121.03
"2025-06-09 02:00:00",58.82,,124.9
"2025-06-10 02:00:00",197.33,,124.36
"2025-06-11 02:00:00",120.96,,117.24
"2025-06-12 02:00:00",164.16,,123.01
"2025-06-13 02:00:00",133.35,,129.12
"2025-06-14 02:00:00",87.21,,116.9
"2025-06-15 02:00:00",99.24,,118.47
"2025-06-16 02:00:00",101.62,,134.99
"2025-06-17 02:00:00",111.78,,151.25
"2025-06-18 02:00:00",131.95,,168.86
"2025-06-19 02:00:00",279.79,,173.9
"2025-06-20 02:00:00",247.19,,178.88
"2025-06-21 02:00:00",210.43,,189.06
