"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-07 02:00:00",233.15,360.45147555806585,262.08
"2025-05-08 02:00:00",224.86,,246.37
"2025-05-09 02:00:00",251.69,,227.59
"2025-05-10 02:00:00",190.94,,238.02
"2025-05-11 02:00:00",189.34,,253.34
"2025-05-12 02:00:00",217.34,,271.13
"2025-05-13 02:00:00",358.85,,287.87
"2025-05-14 02:00:00",340.39,,314.8
"2025-05-15 02:00:00",349.37,,334.78
"2025-05-16 02:00:00",368.87,,360.26
"2025-05-17 02:00:00",379.45,,351.29
"2025-05-18 02:00:00",329.2,,333.93
"2025-05-19 02:00:00",395.67,,316.5
"2025-05-20 02:00:00",296.05,,300.54
"2025-05-21 02:00:00",218.89,,278.81
"2025-05-22 02:00:00",227.35,,258.05
"2025-05-23 02:00:00",257.19,,225.28
"2025-05-24 02:00:00",227.35,,220.01
"2025-05-25 02:00:00",183.84,,232.24
"2025-05-26 02:00:00",166.28,,241.43
"2025-05-27 02:00:00",259.15,,246.37
"2025-05-28 02:00:00",304.49,,252.34
"2025-05-29 02:00:00",291.73,,266.8
"2025-05-30 02:00:00",291.73,,280.9
"2025-05-31 02:00:00",269.17,,284.6
"2025-06-01 02:00:00",285.08,,281.83
"2025-06-02 02:00:00",264.92,,280.88
"2025-06-03 02:00:00",285.08,,279.93
"2025-06-04 02:00:00",285.08,,289.51
"2025-06-05 02:00:00",285.08,,295.41
"2025-06-06 02:00:00",285.08,,301.95
"2025-06-07 02:00:00",336.25,,307.85
"2025-06-08 02:00:00",326.36,,322.04
"2025-06-09 02:00:00",310.71,,348.12
"2025-06-10 02:00:00",326.36,,374.21
"2025-06-11 02:00:00",384.44,,392.98
"2025-06-12 02:00:00",467.66,,387.32
"2025-06-13 02:00:00",467.66,,383.9
"2025-06-14 02:00:00",467.66,,378.25
"2025-06-15 02:00:00",286.77,,376.44
"2025-06-16 02:00:00",286.77,,342.98
"2025-06-17 02:00:00",286.77,,308.31
"2025-06-18 02:00:00",371.82,,270.52
"2025-06-19 02:00:00",233.38,,279.73
"2025-06-20 02:00:00",225,,283.63
"2025-06-21 02:00:00",203.13,,305.17
"2025-06-22 02:00:00",351.25,,334.9
"2025-06-23 02:00:00",314.09,,387.2
"2025-06-24 02:00:00",437.52,,443.68
"2025-06-25 02:00:00",579.95,,503.29
"2025-06-26 02:00:00",599.48,,539.53
"2025-06-27 02:00:00",620.36,,575.74
"2025-06-28 02:00:00",620.36,,585.39
"2025-06-29 02:00:00",604.97,,574.69
"2025-06-30 02:00:00",567.55,,543.29
"2025-07-01 02:00:00",505.07,,526.82
"2025-07-02 02:00:00",505.07,,497.33
"2025-07-03 02:00:00",379.68,,480.19
"2025-07-04 02:00:00",0,,436.03
"2025-07-05 02:00:00",413.93,,514.16
"2025-07-06 02:00:00",610.34,,550.28
"2025-07-07 02:00:00",638.09,,560.78
"2025-07-08 02:00:00",638.09,,523.82
"2025-07-09 02:00:00",561.51,,513.6
"2025-07-10 02:00:00",425.39,,457.22
"2025-07-11 02:00:00",379.4,,405.38
"2025-07-12 02:00:00",342.38,,356.45
"2025-07-13 02:00:00",215.7,,321.84
"2025-07-14 02:00:00",275.21,,312.9
"2025-07-15 02:00:00",295.59,,312.99
"2025-07-16 02:00:00",319.24,,318.37
"2025-07-17 02:00:00",362.77,,326.22
"2025-07-18 02:00:00",380.04,,322.88
"2025-07-19 02:00:00",380.04,,316.63
"2025-07-20 02:00:00",270.62,,312.8
"2025-07-21 02:00:00",251.86,,302.74
"2025-07-22 02:00:00",251.86,,293.88
"2025-07-23 02:00:00",292.39,,281.35
"2025-07-24 02:00:00",292.39,,278.71
"2025-07-25 02:00:00",317.97,,278.75
"2025-07-26 02:00:00",292.39,,278.79
"2025-07-27 02:00:00",252.12,,269.96
"2025-07-28 02:00:00",252.12,,261.13
"2025-07-29 02:00:00",252.12,,251.72
"2025-07-30 02:00:00",230.6,,245.97
"2025-07-31 02:00:00",230.6,,245.06
"2025-08-01 02:00:00",252.12,,242.22
"2025-08-02 02:00:00",252.12,,243.48
"2025-08-03 02:00:00",245.75,,256.33
"2025-08-04 02:00:00",232.2,,269.18
"2025-08-05 02:00:00",260.97,,278.95
"2025-08-06 02:00:00",320.54,,285.49
"2025-08-07 02:00:00",320.54,,291.1
"2025-08-08 02:00:00",320.54,,300.98
"2025-08-09 02:00:00",297.87,,309.37
"2025-08-10 02:00:00",285.01,,302.2
"2025-08-11 02:00:00",301.37,,285.91
"2025-08-12 02:00:00",319.71,,266.52
"2025-08-13 02:00:00",270.34,,250.36
"2025-08-14 02:00:00",206.55,,237.7
"2025-08-15 02:00:00",184.76,,226.21
"2025-08-16 02:00:00",184.76,,213.47
"2025-08-17 02:00:00",196.4,,212.73
"2025-08-18 02:00:00",220.95,,223.1
"2025-08-19 02:00:00",230.56,,238.79
"2025-08-20 02:00:00",265.14,,259.74
"2025-08-21 02:00:00",279.1,,263.32
"2025-08-22 02:00:00",294.6,,263.4
"2025-08-23 02:00:00",331.43,,262.1
"2025-08-24 02:00:00",221.48,,253.16
"2025-08-25 02:00:00",221.48,,242.23
"2025-08-26 02:00:00",221.48,,231.78
"2025-08-27 02:00:00",202.57,,216.08
"2025-08-28 02:00:00",202.57,,231.04
"2025-08-29 02:00:00",221.48,,246
"2025-08-30 02:00:00",221.48,,260.97
"2025-08-31 02:00:00",326.22,,278.63
"2025-09-01 02:00:00",326.22,,296.29
"2025-09-02 02:00:00",326.22,,307.28
"2025-09-03 02:00:00",326.22,,318.26
"2025-09-04 02:00:00",326.22,,305.82
"2025-09-05 02:00:00",298.37,,293.38
"2025-09-06 02:00:00",298.37,,283.75
"2025-09-07 02:00:00",239.12,,274.12
"2025-09-08 02:00:00",239.12,,267.81
"2025-09-09 02:00:00",258.82,,265.48
"2025-09-10 02:00:00",258.82,,263.14
"2025-09-11 02:00:00",282.04,,276.92
"2025-09-12 02:00:00",282.04,,290.71
"2025-09-13 02:00:00",282.04,,306.31
"2025-09-14 02:00:00",335.59,,321.92
"2025-09-15 02:00:00",335.59,,329.57
"2025-09-16 02:00:00",368.06,,341.86
"2025-09-17 02:00:00",368.06,,349.51
"2025-09-18 02:00:00",0,,285.19
"2025-09-19 02:00:00",335.59,,321.39
"2025-09-20 02:00:00",335.59,,305.02
"2025-09-21 02:00:00",253.43,,276.9
"2025-09-22 02:00:00",253.43,,276.9
"2025-09-23 02:00:00",253.43,,265.17
"2025-09-24 02:00:00",253.43,,257
"2025-09-25 02:00:00",253.43,,248.21
