"Time","Sales","Trend Line","7-Day Moving Average"
"2025-07-05 02:00:00",43.52,48.857455831599324,52.73
"2025-07-06 02:00:00",52.39,,65.8
"2025-07-07 02:00:00",42.57,,67.15
"2025-07-08 02:00:00",100.05,,68.44
"2025-07-09 02:00:00",117.26,,69.17
"2025-07-10 02:00:00",71.66,,65.52
"2025-07-11 02:00:00",51.6,,63.91
"2025-07-12 02:00:00",48.65,,55.23
"2025-07-13 02:00:00",26.86,,46.56
"2025-07-14 02:00:00",31.29,,45.63
"2025-07-15 02:00:00",39.32,,47.69
"2025-07-16 02:00:00",56.56,,49.85
"2025-07-17 02:00:00",65.12,,57.04
"2025-07-18 02:00:00",66.06,,56.83
"2025-07-19 02:00:00",63.73,,55.47
"2025-07-20 02:00:00",77.22,,56.39
"2025-07-21 02:00:00",29.8,,53.51
"2025-07-22 02:00:00",29.8,,50.94
"2025-07-23 02:00:00",63.02,,49.75
"2025-07-24 02:00:00",44.94,,47.36
"2025-07-25 02:00:00",48.09,,51.64
"2025-07-26 02:00:00",55.38,,60.19
"2025-07-27 02:00:00",60.51,,59.77
"2025-07-28 02:00:00",59.71,,58.81
"2025-07-29 02:00:00",89.65,,56.56
"2025-07-30 02:00:00",60.11,,53.81
"2025-07-31 02:00:00",38.2,,49.73
"2025-08-01 02:00:00",32.37,,49.89
"2025-08-02 02:00:00",36.09,,49.55
"2025-08-03 02:00:00",32.01,,45.62
"2025-08-04 02:00:00",60.79,,47.81
"2025-08-05 02:00:00",87.26,,55.26
"2025-08-06 02:00:00",32.59,,54.71
"2025-08-07 02:00:00",53.57,,60.53
"2025-08-08 02:00:00",84.53,,59.25
"2025-08-09 02:00:00",32.2,,52.15
"2025-08-10 02:00:00",72.75,,51.32
"2025-08-11 02:00:00",51.87,,48.95
"2025-08-12 02:00:00",37.56,,42.18
"2025-08-13 02:00:00",26.74,,44.19
"2025-08-14 02:00:00",36.99,,37.84
"2025-08-15 02:00:00",37.13,,35.97
"2025-08-16 02:00:00",46.3,,37.75
"2025-08-17 02:00:00",28.32,,39.16
"2025-08-18 02:00:00",38.78,,40.75
"2025-08-19 02:00:00",50.02,,44.76
"2025-08-20 02:00:00",36.6,,48.81
