"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-09 02:00:00",46.79,46.76768630373368,26.67
"2025-05-10 02:00:00",15.2,,29.35
"2025-05-11 02:00:00",16.74,,30.88
"2025-05-12 02:00:00",35.76,,29.5
"2025-05-13 02:00:00",37.26,,25.57
"2025-05-14 02:00:00",27.46,,25.43
"2025-05-15 02:00:00",27.32,,25.34
"2025-05-16 02:00:00",19.22,,22.51
"2025-05-17 02:00:00",14.25,,20.93
"2025-05-18 02:00:00",16.12,,21.63
"2025-05-19 02:00:00",15.96,,23.44
"2025-05-20 02:00:00",26.17,,26.63
"2025-05-21 02:00:00",32.34,,29
"2025-05-22 02:00:00",40.04,,29.02
"2025-05-23 02:00:00",41.54,,30.5
"2025-05-24 02:00:00",30.84,,31.56
"2025-05-25 02:00:00",16.28,,32.82
"2025-05-26 02:00:00",26.27,,31.37
"2025-05-27 02:00:00",33.62,,29.07
"2025-05-28 02:00:00",41.15,,27.86
"2025-05-29 02:00:00",29.92,,28.62
"2025-05-30 02:00:00",25.42,,28.25
"2025-05-31 02:00:00",22.33,,27.36
"2025-06-01 02:00:00",21.65,,26.75
"2025-06-02 02:00:00",23.67,,27.78
"2025-06-03 02:00:00",27.38,,29.42
"2025-06-04 02:00:00",36.9,,35.29
"2025-06-05 02:00:00",37.08,,41.77
"2025-06-06 02:00:00",36.9,,45.88
"2025-06-07 02:00:00",63.42,,46.49
"2025-06-08 02:00:00",67.07,,44.6
"2025-06-09 02:00:00",52.4,,44.17
"2025-06-10 02:00:00",31.64,,43.76
"2025-06-11 02:00:00",23.72,,38.14
"2025-06-12 02:00:00",34.02,,32.75
"2025-06-13 02:00:00",34.02,,29.52
"2025-06-14 02:00:00",24.14,,29.41
"2025-06-15 02:00:00",29.31,,31.21
"2025-06-16 02:00:00",29.81,,40.43
"2025-06-17 02:00:00",30.86,,43.97
"2025-06-18 02:00:00",36.3,,44.86
"2025-06-19 02:00:00",98.54,,45.15
"2025-06-20 02:00:00",58.84,,45.48
"2025-06-21 02:00:00",30.33,,47.11
"2025-06-22 02:00:00",31.4,,50.81
"2025-06-23 02:00:00",32.06,,45.19
"2025-06-24 02:00:00",42.31,,44.84
"2025-06-25 02:00:00",62.2,,52.28
"2025-06-26 02:00:00",59.18,,61.31
"2025-06-27 02:00:00",56.43,,63.34
"2025-06-28 02:00:00",82.41,,63.9
"2025-06-29 02:00:00",94.6,,61.62
"2025-06-30 02:00:00",46.23,,59.23
"2025-07-01 02:00:00",46.23,,57.55
"2025-07-02 02:00:00",46.23,,50.86
"2025-07-03 02:00:00",42.49,,44.23
"2025-07-04 02:00:00",44.65,,47.92
"2025-07-05 02:00:00",35.57,,52.42
"2025-07-06 02:00:00",48.21,,53.87
"2025-07-07 02:00:00",72.07,,53.99
"2025-07-08 02:00:00",77.69,,52.06
"2025-07-09 02:00:00",56.41,,51.29
"2025-07-10 02:00:00",43.32,,48.2
"2025-07-11 02:00:00",31.12,,41.32
"2025-07-12 02:00:00",30.18,,34.22
"2025-07-13 02:00:00",26.61,,31.47
"2025-07-14 02:00:00",23.91,,32.81
"2025-07-15 02:00:00",27.96,,36.89
"2025-07-16 02:00:00",37.22,,41.43
"2025-07-17 02:00:00",52.69,,41.62
"2025-07-18 02:00:00",59.69,,43.31
"2025-07-19 02:00:00",61.93,,44.76
"2025-07-20 02:00:00",27.96,,46.49
"2025-07-21 02:00:00",35.69,,45.27
"2025-07-22 02:00:00",38.12,,43.58
"2025-07-23 02:00:00",49.33,,43
"2025-07-24 02:00:00",44.14,,44.74
"2025-07-25 02:00:00",47.92,,43.4
"2025-07-26 02:00:00",57.84,,42.21
"2025-07-27 02:00:00",40.14,,40.06
"2025-07-28 02:00:00",26.3,,40.93
"2025-07-29 02:00:00",29.83,,43.25
"2025-07-30 02:00:00",34.22,,44.71
"2025-07-31 02:00:00",50.27,,46.18
"2025-08-01 02:00:00",64.16,,49.37
"2025-08-02 02:00:00",68.08,,51.4
"2025-08-03 02:00:00",50.41,,52.26
"2025-08-04 02:00:00",48.65,,51.04
"2025-08-05 02:00:00",44.04,,46.7
"2025-08-06 02:00:00",40.23,,40.14
"2025-08-07 02:00:00",41.68,,40.69
"2025-08-08 02:00:00",33.8,,38.94
"2025-08-09 02:00:00",22.19,,37.08
"2025-08-10 02:00:00",54.24,,35.67
"2025-08-11 02:00:00",36.4,,34.18
"2025-08-12 02:00:00",31,,33.06
"2025-08-13 02:00:00",30.4,,32.71
