"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-09 02:00:00",144.1,176.0916948978789,163.1
"2025-05-10 02:00:00",153.61,,161.82
"2025-05-11 02:00:00",180.84,,158.13
"2025-05-12 02:00:00",168.06,,154.9
"2025-05-13 02:00:00",168.06,,152.06
"2025-05-14 02:00:00",138.65,,151.14
"2025-05-15 02:00:00",131.01,,141.83
"2025-05-16 02:00:00",124.16,,134.34
"2025-05-17 02:00:00",147.23,,129.43
"2025-05-18 02:00:00",115.62,,130.96
"2025-05-19 02:00:00",115.62,,134.9
"2025-05-20 02:00:00",133.74,,143.02
"2025-05-21 02:00:00",149.34,,146.14
"2025-05-22 02:00:00",158.59,,157.17
"2025-05-23 02:00:00",181.02,,169.95
"2025-05-24 02:00:00",169.07,,176.83
"2025-05-25 02:00:00",192.8,,183.04
"2025-05-26 02:00:00",205.07,,189.68
"2025-05-27 02:00:00",181.91,,187.17
"2025-05-28 02:00:00",192.8,,182.43
"2025-05-29 02:00:00",205.07,,175.71
"2025-05-30 02:00:00",163.46,,169.06
"2025-05-31 02:00:00",135.89,,167.86
"2025-06-01 02:00:00",145.79,,172.86
"2025-06-02 02:00:00",158.47,,176.11
"2025-06-03 02:00:00",173.56,,185.3
"2025-06-04 02:00:00",227.8,,198.43
"2025-06-05 02:00:00",227.8,,209.33
"2025-06-06 02:00:00",227.8,,219.85
"2025-06-07 02:00:00",227.8,,225.48
"2025-06-08 02:00:00",222.11,,218.17
"2025-06-09 02:00:00",232.08,,208.51
"2025-06-10 02:00:00",212.97,,200.36
"2025-06-11 02:00:00",176.61,,185.72
"2025-06-12 02:00:00",160.19,,179.59
"2025-06-13 02:00:00",170.78,,175.73
"2025-06-14 02:00:00",125.27,,174.6
"2025-06-15 02:00:00",179.2,,176.69
"2025-06-16 02:00:00",205.06,,179.4
"2025-06-17 02:00:00",205.06,,177.74
"2025-06-18 02:00:00",191.26,,180.29
"2025-06-19 02:00:00",179.2,,189.69
"2025-06-20 02:00:00",159.13,,182.59
"2025-06-21 02:00:00",143.1,,182.07
"2025-06-22 02:00:00",245.02,,187.39
"2025-06-23 02:00:00",155.35,,185.05
"2025-06-24 02:00:00",201.42,,184.51
"2025-06-25 02:00:00",228.53,,185.29
"2025-06-26 02:00:00",162.79,,188.46
"2025-06-27 02:00:00",155.35,,193.17
"2025-06-28 02:00:00",148.55,,186.62
"2025-06-29 02:00:00",267.23,,176.2
"2025-06-30 02:00:00",188.35,,173.72
"2025-07-01 02:00:00",155.56,,179.62
"2025-07-02 02:00:00",155.56,,196.57
"2025-07-03 02:00:00",145.42,,177.95
"2025-07-04 02:00:00",196.65,,177.93
"2025-07-05 02:00:00",267.23,,190.12
"2025-07-06 02:00:00",136.88,,205.31
"2025-07-07 02:00:00",188.21,,218.95
"2025-07-08 02:00:00",240.91,,219.53
"2025-07-09 02:00:00",261.85,,204
"2025-07-10 02:00:00",240.91,,203.01
"2025-07-11 02:00:00",200.75,,196.16
"2025-07-12 02:00:00",158.49,,179.65
"2025-07-13 02:00:00",129.94,,164.99
"2025-07-14 02:00:00",140.27,,161.79
"2025-07-15 02:00:00",125.32,,164.32
"2025-07-16 02:00:00",159.28,,168
"2025-07-17 02:00:00",218.48,,166.68
"2025-07-18 02:00:00",218.48,,165.88
"2025-07-19 02:00:00",184.24,,170.46
"2025-07-20 02:00:00",120.69,,180.04
"2025-07-21 02:00:00",134.65,,178.29
"2025-07-22 02:00:00",157.42,,175.29
"2025-07-23 02:00:00",226.29,,174
"2025-07-24 02:00:00",206.24,,178.8
"2025-07-25 02:00:00",197.49,,182.87
"2025-07-26 02:00:00",175.2,,177.7
"2025-07-27 02:00:00",154.28,,157.03
"2025-07-28 02:00:00",163.19,,142.72
"2025-07-29 02:00:00",121.22,,134.38
"2025-07-30 02:00:00",81.59,,135.14
"2025-07-31 02:00:00",106.07,,138.62
"2025-08-01 02:00:00",139.1,,140.83
"2025-08-02 02:00:00",180.55,,142.73
"2025-08-03 02:00:00",178.64,,148.83
"2025-08-04 02:00:00",178.64,,150.17
"2025-08-05 02:00:00",134.51,,144.75
"2025-08-06 02:00:00",124.27,,132.57
"2025-08-07 02:00:00",115.49,,124.09
"2025-08-08 02:00:00",101.18,,113.29
"2025-08-09 02:00:00",95.27,,106.3
"2025-08-10 02:00:00",119.25,,100.77
"2025-08-11 02:00:00",103.04,,98.99
"2025-08-12 02:00:00",85.59,,98.32
"2025-08-13 02:00:00",85.59,,96.29
"2025-08-14 02:00:00",103.04,,90.53
"2025-08-15 02:00:00",96.48,,90.03
"2025-08-16 02:00:00",81.02,,93.67
"2025-08-17 02:00:00",78.96,,98.82
"2025-08-18 02:00:00",99.51,,104.77
"2025-08-19 02:00:00",111.07,,111.66
"2025-08-20 02:00:00",121.68,,121.57
"2025-08-21 02:00:00",144.69,,128.27
"2025-08-22 02:00:00",144.69,,133.04
"2025-08-23 02:00:00",150.38,,137.29
"2025-08-24 02:00:00",125.87,,140.02
"2025-08-25 02:00:00",132.91,,142.17
"2025-08-26 02:00:00",140.8,,145.97
