"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-09 02:00:00",37.81,40.48201081857108,33.49
"2025-05-10 02:00:00",22.26,,32.24
"2025-05-11 02:00:00",21.11,,32.51
"2025-05-12 02:00:00",28.69,,34.18
"2025-05-13 02:00:00",40,,34.55
"2025-05-14 02:00:00",41.78,,36.8
"2025-05-15 02:00:00",47.61,,36.85
"2025-05-16 02:00:00",40.43,,35.86
"2025-05-17 02:00:00",37.98,,35.74
"2025-05-18 02:00:00",21.46,,36.17
"2025-05-19 02:00:00",21.76,,35.41
"2025-05-20 02:00:00",39.17,,35.86
"2025-05-21 02:00:00",44.76,,35.63
"2025-05-22 02:00:00",42.34,,36.57
"2025-05-23 02:00:00",43.52,,39.03
"2025-05-24 02:00:00",36.43,,38.59
"2025-05-25 02:00:00",28.03,,37.76
"2025-05-26 02:00:00",38.93,,37.5
"2025-05-27 02:00:00",36.12,,35.79
"2025-05-28 02:00:00",38.93,,33.71
"2025-05-29 02:00:00",40.51,,33.66
"2025-05-30 02:00:00",31.57,,31.47
"2025-05-31 02:00:00",21.9,,29.98
"2025-06-01 02:00:00",27.65,,29.78
"2025-06-02 02:00:00",23.63,,30.28
"2025-06-03 02:00:00",25.66,,32.06
"2025-06-04 02:00:00",37.53,,36.76
"2025-06-05 02:00:00",44.01,,40.12
"2025-06-06 02:00:00",44.01,,43.29
"2025-06-07 02:00:00",54.82,,44.73
"2025-06-08 02:00:00",51.17,,43.98
"2025-06-09 02:00:00",45.8,,41.31
"2025-06-10 02:00:00",35.78,,38.96
"2025-06-11 02:00:00",32.25,,34.43
"2025-06-12 02:00:00",25.37,,34.7
"2025-06-13 02:00:00",27.51,,36.59
"2025-06-14 02:00:00",23.13,,39.68
"2025-06-15 02:00:00",53.07,,43.27
"2025-06-16 02:00:00",59.01,,46.69
"2025-06-17 02:00:00",57.4,,48.48
"2025-06-18 02:00:00",57.4,,49.43
"2025-06-19 02:00:00",49.34,,52.33
"2025-06-20 02:00:00",39.98,,49.78
"2025-06-21 02:00:00",29.8,,47.47
"2025-06-22 02:00:00",73.35,,44.62
"2025-06-23 02:00:00",41.21,,43.88
"2025-06-24 02:00:00",41.21,,47.05
"2025-06-25 02:00:00",37.43,,48.14
"2025-06-26 02:00:00",44.19,,46.85
"2025-06-27 02:00:00",62.17,,49.33
"2025-06-28 02:00:00",0,,38.11
"2025-06-29 02:00:00",57.52,,44.36
"2025-06-30 02:00:00",40.59,,39.28
"2025-07-01 02:00:00",24.89,,33.96
"2025-07-02 02:00:00",23.67,,36.88
"2025-07-03 02:00:00",25.55,,33.09
"2025-07-04 02:00:00",40.59,,33.12
"2025-07-05 02:00:00",45.36,,40.13
"2025-07-06 02:00:00",30.99,,47.65
"2025-07-07 02:00:00",40.78,,50.6
"2025-07-08 02:00:00",74,,49.94
"2025-07-09 02:00:00",76.31,,47.83
"2025-07-10 02:00:00",46.15,,54.98
"2025-07-11 02:00:00",35.99,,57.64
"2025-07-12 02:00:00",30.61,,54.98
"2025-07-13 02:00:00",81,,50.54
"2025-07-14 02:00:00",59.42,,49.4
"2025-07-15 02:00:00",55.4,,49.79
"2025-07-16 02:00:00",45.19,,50.2
"2025-07-17 02:00:00",38.16,,42.87
"2025-07-18 02:00:00",38.76,,39.13
"2025-07-19 02:00:00",33.48,,36.22
"2025-07-20 02:00:00",29.68,,35.99
"2025-07-21 02:00:00",33.21,,38.97
"2025-07-22 02:00:00",35.07,,39.88
"2025-07-23 02:00:00",43.6,,38.59
"2025-07-24 02:00:00",58.96,,39.07
"2025-07-25 02:00:00",45.17,,40.73
"2025-07-26 02:00:00",24.47,,40.97
"2025-07-27 02:00:00",33.01,,37.64
"2025-07-28 02:00:00",44.81,,33.88
"2025-07-29 02:00:00",36.8,,33.63
"2025-07-30 02:00:00",20.25,,34.75
"2025-07-31 02:00:00",32.63,,32.79
"2025-08-01 02:00:00",43.46,,28.82
"2025-08-02 02:00:00",32.27,,26.36
"2025-08-03 02:00:00",19.31,,26.3
"2025-08-04 02:00:00",16.99,,25.3
"2025-08-05 02:00:00",19.58,,20.8
"2025-08-06 02:00:00",19.86,,19.99
"2025-08-07 02:00:00",25.64,,18.85
"2025-08-08 02:00:00",11.95,,17.92
"2025-08-09 02:00:00",26.6,,16.84
"2025-08-10 02:00:00",11.34,,15.67
"2025-08-11 02:00:00",10.45,,13.77
