"Time","Sales","Trend Line","7-Day Moving Average"
"2025-08-03 02:00:00",2.56,5.1031831006605115,3.38
"2025-08-04 02:00:00",7.12,,5.34
"2025-08-05 02:00:00",2.75,,4.34
"2025-08-06 02:00:00",3.55,,4.57
"2025-08-07 02:00:00",7.15,,4.75
"2025-08-08 02:00:00",4.47,,4.48
"2025-08-09 02:00:00",4.4,,4.5
"2025-08-10 02:00:00",3.8,,4.6
"2025-08-11 02:00:00",5.22,,4.23
"2025-08-12 02:00:00",2.91,,3.96
"2025-08-13 02:00:00",4.27,,4.43
"2025-08-14 02:00:00",4.52,,4.47
"2025-08-15 02:00:00",2.63,,4.24
"2025-08-16 02:00:00",7.66,,4.28
"2025-08-17 02:00:00",4.05,,4.12
"2025-08-18 02:00:00",3.67,,3.86
"2025-08-19 02:00:00",3.19,,4.03
"2025-08-20 02:00:00",3.1,,4.43
"2025-08-21 02:00:00",2.75,,4.61
"2025-08-22 02:00:00",3.78,,5.33
"2025-08-23 02:00:00",10.46,,6.36
"2025-08-24 02:00:00",5.29,,6.84
"2025-08-25 02:00:00",8.76,,7
"2025-08-26 02:00:00",10.41,,7.08
"2025-08-27 02:00:00",6.42,,6.86
"2025-08-28 02:00:00",3.87,,6.79
"2025-08-29 02:00:00",4.35,,6.67
"2025-08-30 02:00:00",8.91,,6.82
"2025-08-31 02:00:00",4.83,,7.72
"2025-09-01 02:00:00",7.92,,8.65
"2025-09-02 02:00:00",11.43,,9
"2025-09-03 02:00:00",12.75,,8.57
"2025-09-04 02:00:00",10.35,,8.89
"2025-09-05 02:00:00",6.78,,8.4
"2025-09-06 02:00:00",5.93,,7.29
"2025-09-07 02:00:00",7.05,,6.41
"2025-09-08 02:00:00",4.52,,6.1
"2025-09-09 02:00:00",3.64,,6.29
"2025-09-10 02:00:00",6.57,,6.71
"2025-09-11 02:00:00",8.24,,6.91
"2025-09-12 02:00:00",8.07,,7.12
"2025-09-13 02:00:00",8.91,,7.47
"2025-09-14 02:00:00",8.39,,7.61
"2025-09-15 02:00:00",6.04,,8.24
"2025-09-16 02:00:00",6.05,,7.8
"2025-09-17 02:00:00",7.56,,7.14
"2025-09-18 02:00:00",12.64,,6.55
"2025-09-19 02:00:00",5.04,,6.34
"2025-09-20 02:00:00",4.28,,6.25
"2025-09-21 02:00:00",4.27,,6.75
"2025-09-22 02:00:00",4.56,,6.54
"2025-09-23 02:00:00",5.39,,7.27
"2025-09-24 02:00:00",11.09,,8
"2025-09-25 02:00:00",11.12,,8.63
"2025-09-26 02:00:00",10.2,,9.06
"2025-09-27 02:00:00",9.38,,9.08
"2025-09-28 02:00:00",8.67,,8.1
"2025-09-29 02:00:00",7.55,,7.58
"2025-09-30 02:00:00",5.55,,7.09
"2025-10-01 02:00:00",4.21,,7.29
"2025-10-02 02:00:00",7.53,,7.67
"2025-10-03 02:00:00",6.74,,7.94
"2025-10-04 02:00:00",10.76,,8.19
"2025-10-05 02:00:00",11.34,,8.55
"2025-10-06 02:00:00",9.44,,8.23
"2025-10-07 02:00:00",7.32,,7.86
"2025-10-08 02:00:00",6.73,,7.14
"2025-10-09 02:00:00",5.26,,6.65
"2025-10-10 02:00:00",4.19,,6.62
"2025-10-11 02:00:00",5.72,,6.22
"2025-10-12 02:00:00",7.91,,5.92
"2025-10-13 02:00:00",9.18,,6.19
"2025-10-14 02:00:00",4.58,,6.44
"2025-10-15 02:00:00",4.62,,7.57
"2025-10-16 02:00:00",7.1,,7.69
"2025-10-17 02:00:00",5.95,,7.42
"2025-10-18 02:00:00",13.66,,7.76
"2025-10-19 02:00:00",8.72,,7.82
"2025-10-20 02:00:00",7.31,,7.83
"2025-10-21 02:00:00",6.97,,8.21
"2025-10-22 02:00:00",5.05,,8.29
"2025-10-23 02:00:00",7.18,,8.87
"2025-10-24 02:00:00",8.56,,8.81
"2025-10-25 02:00:00",14.22,,8.53
"2025-10-26 02:00:00",12.79,,8.63
"2025-10-27 01:00:00",6.89,,9.46
"2025-10-28 01:00:00",4.99,,9.75
"2025-10-29 01:00:00",5.8,,9
"2025-10-30 01:00:00",12.95,,8.25
"2025-10-31 01:00:00",10.59,,8.47
"2025-11-01 01:00:00",8.98,,8.46
"2025-11-02 01:00:00",7.52,,8.07
"2025-11-03 01:00:00",8.44,,6.72
"2025-11-04 01:00:00",4.94,,5.8
"2025-11-05 01:00:00",3.07,,5.29
"2025-11-06 01:00:00",3.49,,5.5
"2025-11-07 01:00:00",4.16,,5.38
"2025-11-08 01:00:00",5.39,,5.66
"2025-11-09 01:00:00",8.99,,6.46
"2025-11-10 01:00:00",7.61,,6.96
"2025-11-11 01:00:00",6.91,,6.96
"2025-11-12 01:00:00",8.66,,6.71
"2025-11-13 01:00:00",7.03,,6.2
"2025-11-14 01:00:00",4.15,,6.51
"2025-11-15 01:00:00",3.65,,7.42
"2025-11-16 01:00:00",5.4,,7.7
"2025-11-17 01:00:00",9.78,,7.96
"2025-11-18 01:00:00",13.27,,8.78
"2025-11-19 01:00:00",10.6,,9.57
"2025-11-20 01:00:00",8.9,,10.2
"2025-11-21 01:00:00",9.87,,9.77
"2025-11-22 01:00:00",9.18,,8.69
"2025-11-23 01:00:00",9.82,,7.92
"2025-11-24 01:00:00",6.72,,7.11
"2025-11-25 01:00:00",5.72,,6.24
"2025-11-26 01:00:00",5.25,,5.43
"2025-11-27 01:00:00",3.21,,4.63
"2025-11-28 01:00:00",3.76,,4.73
"2025-11-29 01:00:00",3.51,,4.53
"2025-11-30 01:00:00",4.23,,4.2
"2025-12-01 01:00:00",7.43,,4.1
"2025-12-02 01:00:00",4.33,,3.9
"2025-12-03 01:00:00",2.95,,3.99
"2025-12-04 01:00:00",2.46,,4.77
"2025-12-05 01:00:00",2.39,,5.09
"2025-12-06 01:00:00",4.17,,5.78
"2025-12-07 01:00:00",9.67,,6.27
"2025-12-08 01:00:00",9.68,,6.69
"2025-12-09 01:00:00",9.16,,8.36
"2025-12-10 01:00:00",6.37,,9.52
"2025-12-11 01:00:00",5.36,,8.68
"2025-12-12 01:00:00",14.09,,7.69
"2025-12-13 01:00:00",12.33,,6.67
"2025-12-14 01:00:00",3.79,,5.99
"2025-12-15 01:00:00",2.75,,5.46
"2025-12-16 01:00:00",2.03,,3.77
"2025-12-17 01:00:00",1.59,,2.71
"2025-12-18 01:00:00",1.63,,2.6
"2025-12-19 01:00:00",2.28,,2.49
"2025-12-20 01:00:00",4.93,,2.37
"2025-12-21 01:00:00",2.98,,2.29
"2025-12-22 01:00:00",1.97,,2.29
"2025-12-23 01:00:00",1.19,,2.33
"2025-12-24 01:00:00",1.07,,1.86
"2025-12-25 01:00:00",1.63,,1.66
"2025-12-26 01:00:00",2.54,,1.89
"2025-12-27 01:00:00",1.62,,2.32
"2025-12-28 01:00:00",1.57,,2.51
"2025-12-29 01:00:00",3.58,,2.57
"2025-12-30 01:00:00",4.24,,2.53
"2025-12-31 01:00:00",2.39,,2.71
"2026-01-01 01:00:00",2.04,,3
"2026-01-02 01:00:00",2.29,,2.82
"2026-01-03 01:00:00",2.88,,2.81
"2026-01-04 01:00:00",3.58,,2.82
"2026-01-05 01:00:00",2.35,,2.85
"2026-01-06 01:00:00",4.13,,2.86
"2026-01-07 01:00:00",2.48,,3.57
"2026-01-08 01:00:00",2.21,,3.59
"2026-01-09 01:00:00",2.38,,3.85
"2026-01-10 01:00:00",7.86,,4.13
"2026-01-11 01:00:00",3.7,,4.33
"2026-01-12 01:00:00",4.22,,4.34
"2026-01-13 01:00:00",6.06,,4.41
"2026-01-14 01:00:00",3.87,,4.05
"2026-01-15 01:00:00",2.32,,4.51
"2026-01-16 01:00:00",2.81,,4.38
"2026-01-17 01:00:00",5.4,,3.91
"2026-01-18 01:00:00",6.86,,3.9
"2026-01-19 01:00:00",3.32,,4.25
"2026-01-20 01:00:00",2.77,,4.19
"2026-01-21 01:00:00",3.85,,3.86
"2026-01-22 01:00:00",4.77,,3.28
"2026-01-23 01:00:00",2.34,,3.06
"2026-01-24 01:00:00",3.09,,2.92
"2026-01-25 01:00:00",2.83,,2.89
"2026-01-26 01:00:00",1.75,,2.84
"2026-01-27 01:00:00",1.81,,3.12
"2026-01-28 01:00:00",3.65,,3.28
"2026-01-29 01:00:00",4.39,,3.81
"2026-01-30 01:00:00",4.29,,4.19
"2026-01-31 01:00:00",4.27,,4.33
"2026-02-01 01:00:00",6.54,,4.14
"2026-02-02 01:00:00",4.4,,3.81
"2026-02-03 01:00:00",2.78,,3.61
"2026-02-04 01:00:00",2.34,,3.38
"2026-02-05 01:00:00",2.07,,2.89
"2026-02-06 01:00:00",2.9,,2.89
"2026-02-07 01:00:00",2.64,,3.14
"2026-02-08 01:00:00",3.12,,3.59
"2026-02-09 01:00:00",4.35,,4.46
"2026-02-10 01:00:00",4.59,,5.22
"2026-02-11 01:00:00",5.46,,5.48
"2026-02-12 01:00:00",8.15,,5.52
"2026-02-13 01:00:00",8.21,,5.82
"2026-02-14 01:00:00",4.45,,5.79
"2026-02-15 01:00:00",3.46,,5.74
"2026-02-16 01:00:00",6.44,,5.98
"2026-02-17 01:00:00",4.39,,5.57
"2026-02-18 01:00:00",5.05,,5.64
"2026-02-19 01:00:00",9.88,,6.21
