"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-09 02:00:00",6.9,14.911865392390931,11.89
"2025-05-10 02:00:00",6.87,,11.08
"2025-05-11 02:00:00",10.32,,12.59
"2025-05-12 02:00:00",23.44,,13.68
"2025-05-13 02:00:00",11.1,,13.86
"2025-05-14 02:00:00",21.16,,14.29
"2025-05-15 02:00:00",15.94,,14
"2025-05-16 02:00:00",8.22,,13.66
"2025-05-17 02:00:00",9.83,,14.4
"2025-05-18 02:00:00",8.32,,13.57
"2025-05-19 02:00:00",21.05,,12.73
"2025-05-20 02:00:00",16.29,,13.13
"2025-05-21 02:00:00",15.34,,14.86
"2025-05-22 02:00:00",10.07,,16.94
"2025-05-23 02:00:00",10.99,,16.8
"2025-05-24 02:00:00",21.94,,16.81
"2025-05-25 02:00:00",22.92,,15.89
"2025-05-26 02:00:00",20.08,,15.95
"2025-05-27 02:00:00",16.34,,16.25
"2025-05-28 02:00:00",8.91,,14.28
"2025-05-29 02:00:00",10.44,,12.21
"2025-05-30 02:00:00",13.13,,10.89
"2025-05-31 02:00:00",8.17,,10.52
"2025-06-01 02:00:00",8.39,,11.54
"2025-06-02 02:00:00",10.84,,12.98
"2025-06-03 02:00:00",13.78,,14.03
"2025-06-04 02:00:00",16.06,,15.43
"2025-06-05 02:00:00",20.52,,18.47
"2025-06-06 02:00:00",20.45,,19.34
"2025-06-07 02:00:00",17.96,,19.36
"2025-06-08 02:00:00",29.69,,18.97
"2025-06-09 02:00:00",16.91,,17.31
"2025-06-10 02:00:00",13.93,,15.81
"2025-06-11 02:00:00",13.32,,14.57
"2025-06-12 02:00:00",8.88,,12.59
"2025-06-13 02:00:00",10,,13.45
"2025-06-14 02:00:00",9.27,,14.96
"2025-06-15 02:00:00",15.81,,16.07
"2025-06-16 02:00:00",22.97,,16.05
"2025-06-17 02:00:00",24.46,,15.94
"2025-06-18 02:00:00",21.08,,15.86
"2025-06-19 02:00:00",8.73,,15.77
"2025-06-20 02:00:00",9.25,,15.63
"2025-06-21 02:00:00",8.7,,15.27
