"Time","Sales","Trend Line","7-Day Moving Average"
"2026-04-02 02:00:00",93.24,58.49121235521233,97.03
"2026-04-03 02:00:00",93.24,,96.77
"2026-04-04 02:00:00",116.55,,97.73
"2026-04-05 02:00:00",96.45,,89.85
"2026-04-06 02:00:00",91.4,,84.22
"2026-04-07 02:00:00",76.67,,76.47
"2026-04-08 02:00:00",61.39,,65.43
"2026-04-09 02:00:00",53.82,,59.79
"2026-04-10 02:00:00",38.99,,52.3
"2026-04-11 02:00:00",39.28,,47
"2026-04-12 02:00:00",56.98,,58.95
"2026-04-13 02:00:00",0,,53.76
"2026-04-14 02:00:00",0,,59.75
"2026-04-15 02:00:00",109.64,,95.76
"2026-04-16 02:00:00",131.44,,103.75
"2026-04-17 02:00:00",80.89,,85.95
"2026-04-18 02:00:00",72.06,,83.66
"2026-04-19 02:00:00",69.31,,75.55
"2026-04-20 02:00:00",57.42,,64.53
"2026-04-21 02:00:00",64.83,,62.55
"2026-04-22 02:00:00",52.89,,69.14
"2026-04-23 02:00:00",54.32,,72.25
"2026-04-24 02:00:00",66.99,,78.11
"2026-04-25 02:00:00",118.23,,87.4
"2026-04-26 02:00:00",91.08,,101.11
"2026-04-27 02:00:00",98.43,,122.41
"2026-04-28 02:00:00",129.85,,131.39
"2026-04-29 02:00:00",148.85,,142.12
"2026-04-30 02:00:00",203.42,,149
"2026-05-01 02:00:00",0,,118.77
"2026-05-02 02:00:00",174.36,,144.19
"2026-05-03 02:00:00",84.66,,131.41
"2026-05-04 02:00:00",90.26,,123.63
"2026-05-05 02:00:00",133.43,,129.8
"2026-05-06 02:00:00",149.08,,128.42
"2026-05-07 02:00:00",143.35,119.60076190476192,135.17
