"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-09 02:00:00",149.81,236.49067970137,161.43
"2025-05-10 02:00:00",149.81,,165.77
"2025-05-11 02:00:00",183.33,,163.76
"2025-05-12 02:00:00",159.56,,157.06
"2025-05-13 02:00:00",170.62,,155.83
"2025-05-14 02:00:00",159.56,,155.84
"2025-05-15 02:00:00",126.71,,145.67
"2025-05-16 02:00:00",141.25,,139.59
"2025-05-17 02:00:00",149.85,,135.41
"2025-05-18 02:00:00",112.13,,133.94
"2025-05-19 02:00:00",116.98,,139.79
"2025-05-20 02:00:00",141.42,,142.17
"2025-05-21 02:00:00",149.21,,146.3
"2025-05-22 02:00:00",167.7,,151.27
"2025-05-23 02:00:00",157.92,,151.49
"2025-05-24 02:00:00",178.77,,150.73
"2025-05-25 02:00:00",146.87,,148.84
"2025-05-26 02:00:00",118.57,,145.87
"2025-05-27 02:00:00",136.04,,142.74
"2025-05-28 02:00:00",136.04,,133.12
"2025-05-29 02:00:00",146.87,,131.97
"2025-05-30 02:00:00",136.04,,135.8
"2025-05-31 02:00:00",111.42,,138.17
"2025-06-01 02:00:00",138.81,,142.93
"2025-06-02 02:00:00",145.38,,150.95
"2025-06-03 02:00:00",152.6,,160.51
"2025-06-04 02:00:00",169.42,,175.64
"2025-06-05 02:00:00",202.98,,187.44
"2025-06-06 02:00:00",202.98,,198.29
"2025-06-07 02:00:00",217.33,,206.08
"2025-06-08 02:00:00",221.36,,208.1
"2025-06-09 02:00:00",221.36,,203.92
"2025-06-10 02:00:00",207.15,,202.73
"2025-06-11 02:00:00",183.57,,193.04
"2025-06-12 02:00:00",173.68,,191.94
"2025-06-13 02:00:00",194.65,,198.04
"2025-06-14 02:00:00",149.53,,203.42
"2025-06-15 02:00:00",213.64,,207.71
"2025-06-16 02:00:00",264.05,,209.98
"2025-06-17 02:00:00",244.8,,209.24
"2025-06-18 02:00:00",213.64,,213.51
"2025-06-19 02:00:00",189.52,,214.57
"2025-06-20 02:00:00",189.52,,204.96
"2025-06-21 02:00:00",179.39,,201.57
"2025-06-22 02:00:00",221.1,,209.85
"2025-06-23 02:00:00",196.73,,218.82
"2025-06-24 02:00:00",221.1,,227.8
"2025-06-25 02:00:00",271.56,,240.97
"2025-06-26 02:00:00",252.36,,256.79
"2025-06-27 02:00:00",252.36,,270.95
"2025-06-28 02:00:00",271.56,,272.61
"2025-06-29 02:00:00",331.87,,267.06
"2025-06-30 02:00:00",295.85,,259.41
"2025-07-01 02:00:00",232.71,,259.7
"2025-07-02 02:00:00",232.71,,268.32
"2025-07-03 02:00:00",198.78,,255
"2025-07-04 02:00:00",254.44,,252.08
"2025-07-05 02:00:00",331.87,,261.46
"2025-07-06 02:00:00",238.67,,270.83
"2025-07-07 02:00:00",275.39,,281.78
"2025-07-08 02:00:00",298.34,,284.77
"2025-07-09 02:00:00",298.34,,276.7
"2025-07-10 02:00:00",275.39,,273.64
"2025-07-11 02:00:00",275.39,,265.34
"2025-07-12 02:00:00",275.39,,251.72
"2025-07-13 02:00:00",217.25,,236.33
"2025-07-14 02:00:00",217.25,,230.36
"2025-07-15 02:00:00",203.04,,227.1
"2025-07-16 02:00:00",190.57,,223.85
"2025-07-17 02:00:00",233.61,,225.62
"2025-07-18 02:00:00",252.62,,227.39
"2025-07-19 02:00:00",252.62,,231.19
"2025-07-20 02:00:00",229.64,,236.77
"2025-07-21 02:00:00",229.64,,239.04
"2025-07-22 02:00:00",229.64,,238.59
"2025-07-23 02:00:00",229.64,,241.51
"2025-07-24 02:00:00",249.48,,247.85
"2025-07-25 02:00:00",249.48,,250.88
"2025-07-26 02:00:00",273.08,,253.91
"2025-07-27 02:00:00",273.97,,256.94
"2025-07-28 02:00:00",250.86,,254.35
"2025-07-29 02:00:00",250.86,,251.76
"2025-07-30 02:00:00",250.86,,248.59
"2025-07-31 02:00:00",231.35,,248.46
"2025-08-01 02:00:00",231.35,,248.79
