"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-09 02:00:00",18.15,22.024757506503423,19.1
"2025-05-10 02:00:00",19.14,,19.4
"2025-05-11 02:00:00",12.82,,18.5
"2025-05-12 02:00:00",33.63,,17.78
"2025-05-13 02:00:00",17.31,,16.61
"2025-05-14 02:00:00",10.62,,16
"2025-05-15 02:00:00",12.78,,15.9
"2025-05-16 02:00:00",9.95,,13.01
"2025-05-17 02:00:00",14.89,,16.14
"2025-05-18 02:00:00",12.12,,19.42
"2025-05-19 02:00:00",13.4,,20.02
"2025-05-20 02:00:00",39.25,,20.36
"2025-05-21 02:00:00",33.52,,20.14
"2025-05-22 02:00:00",17.02,,20.27
"2025-05-23 02:00:00",12.29,,21.53
"2025-05-24 02:00:00",13.4,,20.36
"2025-05-25 02:00:00",12.98,,17.98
"2025-05-26 02:00:00",22.23,,18.43
"2025-05-27 02:00:00",31.05,,20.97
"2025-05-28 02:00:00",16.87,,23.43
"2025-05-29 02:00:00",20.19,,29.4
"2025-05-30 02:00:00",30.04,,30.66
"2025-05-31 02:00:00",30.64,,28.57
"2025-06-01 02:00:00",54.76,,28.5
"2025-06-02 02:00:00",31.09,,28.12
"2025-06-03 02:00:00",16.37,,26.32
"2025-06-04 02:00:00",16.43,,29.14
"2025-06-05 02:00:00",17.49,,24.9
"2025-06-06 02:00:00",17.49,,23.05
"2025-06-07 02:00:00",50.38,,27.38
"2025-06-08 02:00:00",25.03,,29.53
"2025-06-09 02:00:00",18.13,,29.64
"2025-06-10 02:00:00",46.71,,29.53
"2025-06-11 02:00:00",31.5,,27.71
"2025-06-12 02:00:00",18.23,,30.39
"2025-06-13 02:00:00",16.75,,33.82
"2025-06-14 02:00:00",37.63,,32.99
"2025-06-15 02:00:00",43.81,,34.15
"2025-06-16 02:00:00",42.13,,34.14
"2025-06-17 02:00:00",40.88,,34.19
"2025-06-18 02:00:00",39.63,,31.14
"2025-06-19 02:00:00",18.12,,27.04
"2025-06-20 02:00:00",17.12,,24.04
"2025-06-21 02:00:00",16.3,,21.74
"2025-06-22 02:00:00",15.08,,20.24
"2025-06-23 02:00:00",21.18,,22.45
"2025-06-24 02:00:00",24.77,,24.99
"2025-06-25 02:00:00",29.12,,27.86
"2025-06-26 02:00:00",33.58,,33.2
"2025-06-27 02:00:00",34.93,,33.63
"2025-06-28 02:00:00",36.34,,33.96
"2025-06-29 02:00:00",52.5,,34.49
"2025-06-30 02:00:00",24.18,,35.7
"2025-07-01 02:00:00",27.1,,36.93
"2025-07-02 02:00:00",32.8,,34.71
"2025-07-03 02:00:00",42.04,,31.18
"2025-07-04 02:00:00",43.57,,31.84
"2025-07-05 02:00:00",20.81,,35.2
"2025-07-06 02:00:00",27.74,,37.41
"2025-07-07 02:00:00",28.8,,37.72
"2025-07-08 02:00:00",50.62,,35.97
"2025-07-09 02:00:00",48.26,,35.86
"2025-07-10 02:00:00",44.27,,40.07
"2025-07-11 02:00:00",31.3,,40.62
"2025-07-12 02:00:00",20.01,,36.58
"2025-07-13 02:00:00",57.2,,32.11
"2025-07-14 02:00:00",32.7,,28.01
"2025-07-15 02:00:00",22.34,,25.82
"2025-07-16 02:00:00",16.95,,25.71
"2025-07-17 02:00:00",15.54,,21.18
"2025-07-18 02:00:00",15.98,,20.19
"2025-07-19 02:00:00",19.29,,20.41
"2025-07-20 02:00:00",25.43,,21.02
"2025-07-21 02:00:00",25.78,,21.3
"2025-07-22 02:00:00",23.91,,20.83
"2025-07-23 02:00:00",21.2,,19.57
"2025-07-24 02:00:00",17.5,,18.24
"2025-07-25 02:00:00",12.7,,16.59
"2025-07-26 02:00:00",10.49,,16.86
"2025-07-27 02:00:00",16.07,,15.69
"2025-07-28 02:00:00",14.25,,14.55
"2025-07-29 02:00:00",25.8,,14.76
"2025-07-30 02:00:00",13,,16.72
