"Time","Sales","Trend Line","7-Day Moving Average"
"2025-08-03 02:00:00",0,0,0
"2025-08-04 02:00:00",0,,0
"2025-08-05 02:00:00",0,,0
"2025-08-06 02:00:00",0,,0
"2025-08-07 02:00:00",0,,0
"2025-08-08 02:00:00",0,,0
"2025-08-09 02:00:00",0,,0
"2025-08-10 02:00:00",0,,0
"2025-08-11 02:00:00",0,,0
"2025-08-12 02:00:00",0,,0
"2025-08-13 02:00:00",0,,0
"2025-08-14 02:00:00",0,,0
"2025-08-15 02:00:00",0,,0
"2025-08-16 02:00:00",0,,0
"2025-08-17 02:00:00",0,,0
"2025-08-18 02:00:00",0,,0
"2025-08-19 02:00:00",0,,0
"2025-08-20 02:00:00",0,,0
"2025-08-21 02:00:00",0,,0
"2025-08-22 02:00:00",0,,0
"2025-08-23 02:00:00",0,,0
"2025-08-24 02:00:00",0,,0
"2025-08-25 02:00:00",0,,0
"2025-08-26 02:00:00",0,,0
"2025-08-27 02:00:00",0,,0
"2025-08-28 02:00:00",0,,0
"2025-08-29 02:00:00",0,,0
"2025-08-30 02:00:00",0,,0
"2025-08-31 02:00:00",0,,0
"2025-09-01 02:00:00",0,,0
"2025-09-02 02:00:00",0,,0
"2025-09-03 02:00:00",0,,0
"2025-09-04 02:00:00",0,,0
"2025-09-05 02:00:00",0,,0
"2025-09-06 02:00:00",0,,0
"2025-09-07 02:00:00",0,,0
"2025-09-08 02:00:00",0,,0
"2025-09-09 02:00:00",0,,0
"2025-09-10 02:00:00",0,,0
"2025-09-11 02:00:00",0,,0
"2025-09-12 02:00:00",0,,0
"2025-09-13 02:00:00",0,,0
"2025-09-14 02:00:00",0,,0
"2025-09-15 02:00:00",0,,0
"2025-09-16 02:00:00",0,,0
"2025-09-17 02:00:00",0,,0
"2025-09-18 02:00:00",0,,0
"2025-09-19 02:00:00",0,,0
"2025-09-20 02:00:00",0,,0
"2025-09-21 02:00:00",0,,0
"2025-09-22 02:00:00",0,,0
"2025-09-23 02:00:00",0,,0
"2025-09-24 02:00:00",0,,0
"2025-09-25 02:00:00",0,,0
"2025-09-26 02:00:00",0,,0
"2025-09-27 02:00:00",0,,0
"2025-09-28 02:00:00",0,,0
"2025-09-29 02:00:00",0,,0
"2025-09-30 02:00:00",0,,0
"2025-10-01 02:00:00",0,,0
"2025-10-02 02:00:00",0,,0
"2025-10-03 02:00:00",0,,0
"2025-10-04 02:00:00",0,,0
"2025-10-05 02:00:00",0,,0
"2025-10-06 02:00:00",0,,0
"2025-10-07 02:00:00",0,,0
"2025-10-08 02:00:00",0,,0
"2025-10-09 02:00:00",0,,0
"2025-10-10 02:00:00",0,,0
"2025-10-11 02:00:00",0,,0
"2025-10-12 02:00:00",0,,0
"2025-10-13 02:00:00",0,,0
"2025-10-14 02:00:00",0,,0
"2025-10-15 02:00:00",0,,0
"2025-10-16 02:00:00",0,,0
"2025-10-17 02:00:00",0,,0
"2025-10-18 02:00:00",0,,0
"2025-10-19 02:00:00",0,,0
"2025-10-20 02:00:00",0,,0
"2025-10-21 02:00:00",0,,0
"2025-10-22 02:00:00",0,,0
"2025-10-23 02:00:00",0,,0
"2025-10-24 02:00:00",0,,0
"2025-10-25 02:00:00",0,,0
"2025-10-26 02:00:00",0,,0
"2025-10-27 01:00:00",0,,0
"2025-10-28 01:00:00",0,,0
"2025-10-29 01:00:00",0,,0
"2025-10-30 01:00:00",0,,0
"2025-10-31 01:00:00",0,,0
"2025-11-01 01:00:00",0,,0
"2025-11-02 01:00:00",0,,0
"2025-11-03 01:00:00",0,,0
"2025-11-04 01:00:00",0,,0
"2025-11-05 01:00:00",0,,0
"2025-11-06 01:00:00",0,,0
"2025-11-07 01:00:00",0,,0
"2025-11-08 01:00:00",0,,0
"2025-11-09 01:00:00",0,,0
"2025-11-10 01:00:00",0,,0
"2025-11-11 01:00:00",0,,0
"2025-11-12 01:00:00",0,,0
"2025-11-13 01:00:00",0,,0
"2025-11-14 01:00:00",0,,0
"2025-11-15 01:00:00",0,,0
"2025-11-16 01:00:00",0,,0
"2025-11-17 01:00:00",0,,0
"2025-11-18 01:00:00",0,,0
"2025-11-19 01:00:00",0,,0
"2025-11-20 01:00:00",0,,0
"2025-11-21 01:00:00",0,,0
"2025-11-22 01:00:00",0,,0
"2025-11-23 01:00:00",0,,0
"2025-11-24 01:00:00",0,,0
"2025-11-25 01:00:00",0,,0
"2025-11-26 01:00:00",0,,0
"2025-11-27 01:00:00",0,,0.02
"2025-11-28 01:00:00",0,,0.09
"2025-11-29 01:00:00",0,,0.13
"2025-11-30 01:00:00",0.17,,0.2
"2025-12-01 01:00:00",0.46,,0.28
"2025-12-02 01:00:00",0.26,,0.22
"2025-12-03 01:00:00",0.15,,0.21
"2025-12-04 01:00:00",0,,0.12
"2025-12-05 01:00:00",0,,0.06
"2025-12-06 01:00:00",0,,0.02
"2025-12-07 01:00:00",0,,0
"2025-12-08 01:00:00",0,,0
"2025-12-09 01:00:00",0,,0.35
"2025-12-10 01:00:00",0,,0.48
"2025-12-11 01:00:00",0,,0.61
"2025-12-12 01:00:00",2.45,,1.76
"2025-12-13 01:00:00",0.88,,1.03
"2025-12-14 01:00:00",0.97,,0.98
"2025-12-15 01:00:00",0.67,,0.92
"2025-12-16 01:00:00",0.51,,0.66
"2025-12-17 01:00:00",0.42,,0.71
"2025-12-18 01:00:00",0.52,,0.64
"2025-12-19 01:00:00",0.65,,0.59
"2025-12-20 01:00:00",1.26,,0.55
"2025-12-21 01:00:00",0.44,,0.51
"2025-12-22 01:00:00",0.35,,0.47
"2025-12-23 01:00:00",0.22,,0.43
"2025-12-24 01:00:00",0.16,,0.29
"2025-12-25 01:00:00",0.2,,0.29
"2025-12-26 01:00:00",0.38,,0.4
"2025-12-27 01:00:00",0.25,,0.56
"2025-12-28 01:00:00",0.5,,0.65
"2025-12-29 01:00:00",1.12,,0.72
"2025-12-30 01:00:00",1.33,,0.76
"2025-12-31 01:00:00",0.75,,0.86
"2026-01-01 01:00:00",0.69,,0.92
"2026-01-02 01:00:00",0.71,,0.86
"2026-01-03 01:00:00",0.9,,0.82
"2026-01-04 01:00:00",0.95,,0.83
"2026-01-05 01:00:00",0.7,,0.82
"2026-01-06 01:00:00",1.04,,0.82
"2026-01-07 01:00:00",0.82,,1
"2026-01-08 01:00:00",0.62,,1.03
"2026-01-09 01:00:00",0.71,,1.21
"2026-01-10 01:00:00",2.16,,1.47
"2026-01-11 01:00:00",1.19,,1.61
"2026-01-12 01:00:00",1.94,,1.67
"2026-01-13 01:00:00",2.88,,1.75
"2026-01-14 01:00:00",1.77,,1.8
"2026-01-15 01:00:00",1.04,,1.95
"2026-01-16 01:00:00",1.26,,1.84
"2026-01-17 01:00:00",2.53,,1.56
"2026-01-18 01:00:00",2.25,,1.49
"2026-01-19 01:00:00",1.12,,1.57
"2026-01-20 01:00:00",0.93,,1.54
"2026-01-21 01:00:00",1.29,,1.29
"2026-01-22 01:00:00",1.58,,1.43
"2026-01-23 01:00:00",1.06,,1.43
"2026-01-24 01:00:00",0.78,,1.47
"2026-01-25 01:00:00",3.24,,1.56
"2026-01-26 01:00:00",1.16,,1.65
"2026-01-27 01:00:00",1.16,,1.81
"2026-01-28 01:00:00",1.96,,2
"2026-01-29 01:00:00",2.21,,2.11
"2026-01-30 01:00:00",2.17,,2.21
"2026-01-31 01:00:00",2.11,,2.25
"2026-02-01 01:00:00",4.02,,2.13
"2026-02-02 01:00:00",1.86,,1.99
"2026-02-03 01:00:00",1.41,,1.88
"2026-02-04 01:00:00",1.12,,1.76
"2026-02-05 01:00:00",1.23,,1.42
"2026-02-06 01:00:00",1.39,,1.44
"2026-02-07 01:00:00",1.32,,1.54
"2026-02-08 01:00:00",1.61,,1.75
"2026-02-09 01:00:00",1.97,,2.19
"2026-02-10 01:00:00",2.12,,2.62
"2026-02-11 01:00:00",2.6,,2.81
"2026-02-12 01:00:00",4.34,,2.75
"2026-02-13 01:00:00",4.36,,2.77
"2026-02-14 01:00:00",2.65,,2.74
"2026-02-15 01:00:00",1.18,,2.54
"2026-02-16 01:00:00",2.15,,2.42
"2026-02-17 01:00:00",1.87,,2.08
"2026-02-18 01:00:00",1.2,,1.93
"2026-02-19 01:00:00",3.53,,2.17
"2026-02-20 01:00:00",1.99,,2.2
"2026-02-21 01:00:00",1.61,,2.28
"2026-02-22 01:00:00",2.82,,2.38
"2026-02-23 01:00:00",2.41,,2.04
"2026-02-24 01:00:00",2.4,,1.9
"2026-02-25 01:00:00",1.88,,1.82
"2026-02-26 01:00:00",1.18,,1.72
"2026-02-27 01:00:00",1.01,,1.62
"2026-02-28 01:00:00",1.04,,1.65
"2026-03-01 01:00:00",2.09,,2.15
"2026-03-02 01:00:00",1.75,,2.27
"2026-03-03 01:00:00",2.63,,2.5
"2026-03-04 01:00:00",5.32,,2.96
"2026-03-05 01:00:00",2.05,,3.38
"2026-03-06 01:00:00",2.64,,3.53
"2026-03-07 01:00:00",4.26,,3.49
"2026-03-08 01:00:00",4.98,,3.04
"2026-03-09 01:00:00",2.86,,2.98
"2026-03-10 01:00:00",2.29,,2.88
"2026-03-11 01:00:00",2.2,,2.61
"2026-03-12 01:00:00",1.63,,2.55
"2026-03-13 01:00:00",1.97,,2.41
"2026-03-14 01:00:00",2.33,,2.47
"2026-03-15 01:00:00",4.59,,2.57
"2026-03-16 01:00:00",1.89,,2.66
"2026-03-17 01:00:00",2.67,,2.61
"2026-03-18 01:00:00",2.93,,2.65
"2026-03-19 01:00:00",2.26,,2.15
"2026-03-20 01:00:00",1.63,,2.03
"2026-03-21 01:00:00",2.58,,1.94
"2026-03-22 01:00:00",1.12,,1.85
"2026-03-23 01:00:00",1.02,,1.78
"2026-03-24 01:00:00",2.06,,1.88
"2026-03-25 01:00:00",2.26,,1.86
"2026-03-26 01:00:00",1.8,,1.93
"2026-03-27 01:00:00",2.29,,2.02
"2026-03-28 01:00:00",2.46,,2.05
"2026-03-29 01:00:00",1.65,,2.16
"2026-03-30 02:00:00",1.65,,2.37
"2026-03-31 02:00:00",2.23,,2.52
"2026-04-01 02:00:00",3.01,,2.36
"2026-04-02 02:00:00",3.29,,2.38
"2026-04-03 02:00:00",3.36,,2.34
"2026-04-04 02:00:00",1.32,,2.23
"2026-04-05 02:00:00",1.79,,2.05
"2026-04-06 02:00:00",1.41,,1.86
"2026-04-07 02:00:00",1.43,,1.9
"2026-04-08 02:00:00",1.78,,2.38
"2026-04-09 02:00:00",1.92,,2.67
"2026-04-10 02:00:00",3.67,,2.98
"2026-04-11 02:00:00",4.68,,3.4
"2026-04-12 02:00:00",3.82,,3.87
"2026-04-13 02:00:00",3.55,,4.1
"2026-04-14 02:00:00",4.36,,5.54
"2026-04-15 02:00:00",5.07,,5.7
"2026-04-16 02:00:00",0,,4.59
"2026-04-17 02:00:00",12.96,,8.24
"2026-04-18 02:00:00",0,,4.88
"2026-04-19 02:00:00",6.22,,6.73
"2026-04-20 02:00:00",3.12,,5.85
"2026-04-21 02:00:00",6.82,,5.64
"2026-04-22 02:00:00",5.56,,4.87
"2026-04-23 02:00:00",0,,4.18
"2026-04-24 02:00:00",4.15,,5.35
"2026-04-25 02:00:00",2.65,,5.39
"2026-04-26 02:00:00",6.96,,6.12
"2026-04-27 02:00:00",7.17,,6.04
"2026-04-28 02:00:00",8.57,,6.07
"2026-04-29 02:00:00",6.4,,6.18
"2026-04-30 02:00:00",6.39,,5.3
"2026-05-01 02:00:00",4.33,,4.7
"2026-05-02 02:00:00",3.44,,3.98
"2026-05-03 02:00:00",0.79,,3.6
"2026-05-04 02:00:00",2.98,,3.23
"2026-05-05 02:00:00",3.56,,3.12
"2026-05-06 02:00:00",3.7,,3.18
"2026-05-07 02:00:00",3.83,3.45407059190193,3.65
