"Time","Sales","Trend Line","7-Day Moving Average"
"2025-09-22 02:00:00",5,8.459723929651762,5
"2025-09-23 02:00:00",5,,5
"2025-09-24 02:00:00",5,,5
"2025-09-25 02:00:00",5,,4.75
"2025-09-26 02:00:00",0,,2.98
"2025-09-27 02:00:00",0,,2.53
"2025-09-28 02:00:00",3.22,,2.9
"2025-09-29 02:00:00",2.66,,2.21
"2025-09-30 02:00:00",1.8,,2.07
"2025-10-01 02:00:00",1.2,,2.14
"2025-10-02 02:00:00",1.28,,2.54
"2025-10-03 02:00:00",2.54,,2.7
"2025-10-04 02:00:00",2.31,,3.09
"2025-10-05 02:00:00",6,,3.94
"2025-10-06 02:00:00",3.78,,4.73
"2025-10-07 02:00:00",4.51,,4.82
"2025-10-08 02:00:00",7.13,,6.03
"2025-10-09 02:00:00",6.86,,5.71
"2025-10-10 02:00:00",3.18,,5.7
"2025-10-11 02:00:00",10.72,,5.89
"2025-10-12 02:00:00",3.8,,5.95
"2025-10-13 02:00:00",3.71,,6.42
"2025-10-14 02:00:00",5.86,,7.21
"2025-10-15 02:00:00",7.5,,6.57
"2025-10-16 02:00:00",10.14,,6.87
"2025-10-17 02:00:00",8.72,,7
"2025-10-18 02:00:00",6.26,,6.8
"2025-10-19 02:00:00",5.89,,6.33
"2025-10-20 02:00:00",4.6,,5.64
"2025-10-21 02:00:00",4.47,,5.92
"2025-10-22 02:00:00",4.21,,7.14
"2025-10-23 02:00:00",5.34,,7.7
"2025-10-24 02:00:00",10.66,,8.15
"2025-10-25 02:00:00",14.83,,9.07
"2025-10-26 02:00:00",9.77,,11.05
"2025-10-27 01:00:00",7.75,,11.29
"2025-10-28 01:00:00",10.94,,10.66
"2025-10-29 01:00:00",18.09,,10.43
"2025-10-30 01:00:00",7,,10.04
"2025-10-31 01:00:00",6.26,,10.86
"2025-11-01 01:00:00",13.19,,12.08
"2025-11-02 01:00:00",7.08,,11.16
"2025-11-03 01:00:00",13.47,,11.09
"2025-11-04 01:00:00",19.49,,11.34
"2025-11-05 01:00:00",11.66,,10.71
"2025-11-06 01:00:00",6.47,,10.88
"2025-11-07 01:00:00",8.04,,12.61
"2025-11-08 01:00:00",8.79,,11.92
"2025-11-09 01:00:00",8.27,,11.66
"2025-11-10 01:00:00",25.57,,11.79
"2025-11-11 01:00:00",14.66,,11.71
"2025-11-12 01:00:00",9.8,,11.57
