"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-08 02:00:00",86.47,66.32575043511929,62.77
"2025-05-09 02:00:00",0,,48.25
"2025-05-10 02:00:00",52.09,,57.54
"2025-05-11 02:00:00",30.33,,53.55
"2025-05-12 02:00:00",44.67,,51.14
"2025-05-13 02:00:00",72.83,,52.92
"2025-05-14 02:00:00",58.16,,52.64
"2025-05-15 02:00:00",55.22,,53.13
"2025-05-16 02:00:00",57.15,,51.78
"2025-05-17 02:00:00",50.15,,47.19
"2025-05-18 02:00:00",33.76,,44.87
"2025-05-19 02:00:00",35.19,,45.58
"2025-05-20 02:00:00",40.71,,45.22
"2025-05-21 02:00:00",41.94,,51.86
"2025-05-22 02:00:00",60.18,,51.44
"2025-05-23 02:00:00",54.64,,51.18
"2025-05-24 02:00:00",96.57,,52.36
"2025-05-25 02:00:00",30.84,,57.61
"2025-05-26 02:00:00",33.41,,55.93
"2025-05-27 02:00:00",48.97,,56.52
"2025-05-28 02:00:00",78.64,,49.64
"2025-05-29 02:00:00",48.44,,54.81
"2025-05-30 02:00:00",58.75,,59.31
"2025-05-31 02:00:00",48.44,,62.11
"2025-06-01 02:00:00",67.04,,63.11
"2025-06-02 02:00:00",64.92,,74.55
"2025-06-03 02:00:00",68.53,,83.78
"2025-06-04 02:00:00",85.66,,101.33
"2025-06-05 02:00:00",128.49,,108.61
"2025-06-06 02:00:00",123.35,,112.52
"2025-06-07 02:00:00",171.33,,112.95
"2025-06-08 02:00:00",117.99,,119.29
"2025-06-09 02:00:00",92.31,,117.79
"2025-06-10 02:00:00",71.55,,112.07
"2025-06-11 02:00:00",130.04,,101.81
"2025-06-12 02:00:00",117.99,,103.89
"2025-06-13 02:00:00",83.25,,108.73
"2025-06-14 02:00:00",99.53,,115.07
"2025-06-15 02:00:00",132.59,,112.49
"2025-06-16 02:00:00",126.14,,106.6
"2025-06-17 02:00:00",115.97,,103.8
"2025-06-18 02:00:00",111.96,,97.43
"2025-06-19 02:00:00",76.79,,86.53
"2025-06-20 02:00:00",63.6,,76.68
