"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-08 02:00:00",162.79,117.71458178309848,162.15
"2025-05-09 02:00:00",103.37,,161.9
"2025-05-10 02:00:00",169.75,,163.53
"2025-05-11 02:00:00",124.4,,172.03
"2025-05-12 02:00:00",175.63,,185.36
"2025-05-13 02:00:00",227.36,,194.15
"2025-05-14 02:00:00",240.88,,185.41
"2025-05-15 02:00:00",256.1,,184.93
"2025-05-16 02:00:00",164.9,,180.32
"2025-05-17 02:00:00",108.58,,175.96
"2025-05-18 02:00:00",121.09,,173.72
"2025-05-19 02:00:00",143.34,,174.48
"2025-05-20 02:00:00",196.8,,189.56
"2025-05-21 02:00:00",225.21,,215.88
"2025-05-22 02:00:00",261.42,,249.7
"2025-05-23 02:00:00",270.48,,267.77
"2025-05-24 02:00:00",292.8,,263.52
"2025-05-25 02:00:00",357.88,,248.86
"2025-05-26 02:00:00",269.8,,233.49
"2025-05-27 02:00:00",167.02,,215.9
"2025-05-28 02:00:00",122.63,,192.91
"2025-05-29 02:00:00",153.83,,173.14
"2025-05-30 02:00:00",147.36,,161.8
"2025-05-31 02:00:00",131.86,,162.86
"2025-06-01 02:00:00",219.5,,165.19
"2025-06-02 02:00:00",190.39,,161.48
"2025-06-03 02:00:00",174.44,,158.8
"2025-06-04 02:00:00",138.96,,152.47
"2025-06-05 02:00:00",127.84,,130.58
"2025-06-06 02:00:00",128.63,,111.78
"2025-06-07 02:00:00",87.53,,94.24
"2025-06-08 02:00:00",66.25,,83.64
"2025-06-09 02:00:00",58.79,,79.19
"2025-06-10 02:00:00",51.69,,76.49
"2025-06-11 02:00:00",64.76,,86.06
"2025-06-12 02:00:00",96.7,,91.35
"2025-06-13 02:00:00",109.69,,98.32
"2025-06-14 02:00:00",154.52,,107.94
"2025-06-15 02:00:00",103.33,,120.26
"2025-06-16 02:00:00",107.57,,132.53
"2025-06-17 02:00:00",118.98,,131.43
"2025-06-18 02:00:00",151.02,,120.25
"2025-06-19 02:00:00",182.62,,116.4
"2025-06-20 02:00:00",101.98,,112.72
"2025-06-21 02:00:00",76.24,,116.87
"2025-06-22 02:00:00",76.42,,117.98
"2025-06-23 02:00:00",81.8,,115.44
"2025-06-24 02:00:00",148,,126.1
"2025-06-25 02:00:00",158.81,,139.44
"2025-06-26 02:00:00",164.84,,155.42
"2025-06-27 02:00:00",176.57,,159.74
"2025-06-28 02:00:00",169.67,,149.76
"2025-06-29 02:00:00",188.25,,138
"2025-06-30 02:00:00",112.06,,129.56
"2025-07-01 02:00:00",78.11,,124.22
"2025-07-02 02:00:00",76.51,,120.63
"2025-07-03 02:00:00",105.72,,118.25
"2025-07-04 02:00:00",139.19,,126.75
"2025-07-05 02:00:00",144.57,,139.97
"2025-07-06 02:00:00",171.57,,147.06
"2025-07-07 02:00:00",171.57,,146.52
"2025-07-08 02:00:00",170.65,,139
"2025-07-09 02:00:00",126.13,,128.38
"2025-07-10 02:00:00",101.97,,114.12
"2025-07-11 02:00:00",86.54,,101.56
"2025-07-12 02:00:00",70.26,,91.67
"2025-07-13 02:00:00",71.69,,92.99
"2025-07-14 02:00:00",83.66,,103.62
"2025-07-15 02:00:00",101.41,,116.01
"2025-07-16 02:00:00",135.38,,130.72
"2025-07-17 02:00:00",176.43,,128.53
"2025-07-18 02:00:00",173.25,,128.02
"2025-07-19 02:00:00",173.25,,124.97
"2025-07-20 02:00:00",56.35,,123.31
"2025-07-21 02:00:00",80.05,,115.34
"2025-07-22 02:00:00",80.05,,107
"2025-07-23 02:00:00",123.8,,92.04
"2025-07-24 02:00:00",120.66,,94.79
"2025-07-25 02:00:00",114.84,,91.99
"2025-07-26 02:00:00",68.52,,90.66
"2025-07-27 02:00:00",75.62,,86.2
"2025-07-28 02:00:00",60.42,,84.85
"2025-07-29 02:00:00",70.76,,86.12
"2025-07-30 02:00:00",92.55,,92.78
"2025-07-31 02:00:00",111.24,,90.52
"2025-08-01 02:00:00",123.74,,90.61
"2025-08-02 02:00:00",115.12,,92.72
"2025-08-03 02:00:00",59.84,,94.14
"2025-08-04 02:00:00",61.02,,94.82
"2025-08-05 02:00:00",85.5,,97.08
"2025-08-06 02:00:00",102.52,,98.92
"2025-08-07 02:00:00",115.99,,112.4
"2025-08-08 02:00:00",139.55,,118.02
"2025-08-09 02:00:00",128,,121.17
"2025-08-10 02:00:00",154.21,,121.67
