"Time","Sales","Trend Line","7-Day Moving Average"
"2026-02-19 01:00:00",21.11,0,21.28
"2026-02-20 01:00:00",20.91,,21.16
"2026-02-21 01:00:00",22.36,,22.21
"2026-02-22 01:00:00",21.22,,22.05
"2026-02-23 01:00:00",20.67,,21.52
"2026-02-24 01:00:00",26.87,,22.29
"2026-02-25 01:00:00",0,,23.49
"2026-02-26 01:00:00",17.91,,25.69
"2026-02-27 01:00:00",20.15,,25.97
"2026-02-28 01:00:00",57.59,,29.58
"2026-03-01 01:00:00",18.76,,22.76
"2026-03-02 01:00:00",20.39,,21.39
"2026-03-03 01:00:00",14.64,,20.6
"2026-03-04 01:00:00",9.89,,13.11
"2026-03-05 01:00:00",8.31,,11.17
"2026-03-06 01:00:00",0,,4.69
"2026-03-07 01:00:00",0,,2.6
"2026-03-08 01:00:00",0,,4.03
"2026-03-09 01:00:00",0,,5.54
"2026-03-10 01:00:00",0,,8.54
"2026-03-11 01:00:00",19.9,,24.41
"2026-03-12 01:00:00",18.9,,23.98
"2026-03-13 01:00:00",20.98,,24.62
"2026-03-14 01:00:00",51.4,,28.42
"2026-03-15 01:00:00",0,,20.82
"2026-03-16 01:00:00",19.18,,25.86
"2026-03-17 01:00:00",17.18,,28.04
"2026-03-18 01:00:00",18.07,,28.05
"2026-03-19 01:00:00",35.04,,30.48
"2026-03-20 01:00:00",38.24,,33.66
"2026-03-21 01:00:00",50.58,,36.6
"2026-03-22 01:00:00",0,,22.11
"2026-03-23 01:00:00",0,,22.33
"2026-03-24 01:00:00",13.13,,23.62
"2026-03-25 01:00:00",17.75,,20.64
"2026-03-26 01:00:00",36.61,,23.25
"2026-03-27 01:00:00",21,,20.47
"2026-03-28 01:00:00",20.48,,21.6
"2026-03-29 01:00:00",17.16,,23.23
"2026-03-30 02:00:00",17.16,,22.12
"2026-03-31 02:00:00",21.03,,24.41
"2026-04-01 02:00:00",29.15,,28.86
"2026-04-02 02:00:00",28.89,,36.27
"2026-04-03 02:00:00",36.99,,44.25
"2026-04-04 02:00:00",51.67,,48.89
"2026-04-05 02:00:00",68.99,,49.6
"2026-04-06 02:00:00",73.05,,50.06
"2026-04-07 02:00:00",53.5,,52.42
"2026-04-08 02:00:00",34.08,,53.49
"2026-04-09 02:00:00",32.14,,49.53
"2026-04-10 02:00:00",0,,41.42
"2026-04-11 02:00:00",78.61,,55.77
"2026-04-12 02:00:00",43.17,,58.19
"2026-04-13 02:00:00",48.46,,69.05
"2026-04-14 02:00:00",75.29,,76.17
"2026-04-15 02:00:00",86.51,,75.42
"2026-04-16 02:00:00",102.88,,78.56
"2026-04-17 02:00:00",98.24,,81.83
"2026-04-18 02:00:00",73.38,,80.53
"2026-04-19 02:00:00",65.15,,77.63
"2026-04-20 02:00:00",71.39,,70.75
"2026-04-21 02:00:00",66.19,,63.56
"2026-04-22 02:00:00",66.19,,57.64
"2026-04-23 02:00:00",54.69,,56.94
"2026-04-24 02:00:00",47.96,,55.36
"2026-04-25 02:00:00",31.89,,55.71
"2026-04-26 02:00:00",60.3,,58.54
"2026-04-27 02:00:00",60.3,,59.34
"2026-04-28 02:00:00",68.65,,78.87
"2026-04-29 02:00:00",85.97,,100.82
"2026-04-30 02:00:00",0,,90.07
"2026-05-01 02:00:00",176.34,,117.64
"2026-05-02 02:00:00",168.19,,120.72
"2026-05-03 02:00:00",71.04,,109.69
"2026-05-04 02:00:00",76.94,,110.53
"2026-05-05 02:00:00",98.39,,102.46
"2026-05-06 02:00:00",105.88,83.97306220095697,95.7
