"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-25 02:00:00",6.36,40.508686454527144,8.07
"2025-05-26 02:00:00",8.12,,9.64
"2025-05-27 02:00:00",8.48,,10.8
"2025-05-28 02:00:00",14.48,,11.86
"2025-05-29 02:00:00",13.77,,13.26
"2025-05-30 02:00:00",15.89,,15.17
"2025-05-31 02:00:00",15.89,,17.77
"2025-06-01 02:00:00",16.22,,20.18
"2025-06-02 02:00:00",21.46,,24.12
"2025-06-03 02:00:00",26.67,,27.69
"2025-06-04 02:00:00",31.36,,28.86
"2025-06-05 02:00:00",41.37,,28.51
"2025-06-06 02:00:00",40.85,,28.44
"2025-06-07 02:00:00",24.07,,29.71
"2025-06-08 02:00:00",13.79,,30.47
"2025-06-09 02:00:00",20.99,,28.48
"2025-06-10 02:00:00",35.54,,25.91
"2025-06-11 02:00:00",36.65,,24.66
"2025-06-12 02:00:00",27.49,,26.44
"2025-06-13 02:00:00",22.84,,26.99
"2025-06-14 02:00:00",15.3,,26.21
"2025-06-15 02:00:00",26.25,,28.55
"2025-06-16 02:00:00",24.89,,34.58
"2025-06-17 02:00:00",30.02,,39.44
"2025-06-18 02:00:00",53.04,,44.43
"2025-06-19 02:00:00",69.7,,54.64
"2025-06-20 02:00:00",56.9,,55.26
"2025-06-21 02:00:00",50.2,,57.07
"2025-06-22 02:00:00",97.75,,56.01
"2025-06-23 02:00:00",29.18,,52.21
"2025-06-24 02:00:00",42.74,,48.92
"2025-06-25 02:00:00",45.58,,46.57
"2025-06-26 02:00:00",43.15,,47.13
"2025-06-27 02:00:00",33.82,,51.97
"2025-06-28 02:00:00",33.77,,50.69
"2025-06-29 02:00:00",101.69,,61.06
"2025-06-30 02:00:00",63.03,,56.77
"2025-07-01 02:00:00",0,,49.07
"2025-07-02 02:00:00",50.29,,56.33
"2025-07-03 02:00:00",51.76,,52.3
"2025-07-04 02:00:00",42.96,,52.82
"2025-07-05 02:00:00",34.27,,57.29
"2025-07-06 02:00:00",72,,56.8
"2025-07-07 02:00:00",75.5,,54.14
"2025-07-08 02:00:00",74.25,,52.25
"2025-07-09 02:00:00",46.88,,51.29
"2025-07-10 02:00:00",33.13,,43.84
"2025-07-11 02:00:00",29.75,,36.24
"2025-07-12 02:00:00",27.5,,29.65
"2025-07-13 02:00:00",19.89,,28.05
"2025-07-14 02:00:00",22.3,,29.99
"2025-07-15 02:00:00",28.12,,33.18
"2025-07-16 02:00:00",35.65,,36.71
"2025-07-17 02:00:00",46.7,,36.33
"2025-07-18 02:00:00",52.12,,36.57
"2025-07-19 02:00:00",52.22,,35.68
"2025-07-20 02:00:00",17.17,,34.38
"2025-07-21 02:00:00",24.03,,31.32
"2025-07-22 02:00:00",21.88,,31.37
"2025-07-23 02:00:00",26.54,,27.28
"2025-07-24 02:00:00",25.31,,29.16
"2025-07-25 02:00:00",52.44,,28.59
"2025-07-26 02:00:00",23.62,,30.26
"2025-07-27 02:00:00",30.32,,33.05
"2025-07-28 02:00:00",20.05,,36.58
"2025-07-29 02:00:00",33.54,,34.54
"2025-07-30 02:00:00",46.1,,35.71
"2025-07-31 02:00:00",50.02,,38.56
"2025-08-01 02:00:00",38.12,,42.15
"2025-08-02 02:00:00",31.85,,40.32
"2025-08-03 02:00:00",50.25,,37.54
"2025-08-04 02:00:00",45.19,,35.28
"2025-08-05 02:00:00",20.7,,36.09
"2025-08-06 02:00:00",26.64,,38.43
"2025-08-07 02:00:00",34.23,,34.72
"2025-08-08 02:00:00",43.77,,33.27
"2025-08-09 02:00:00",48.22,,38.57
"2025-08-10 02:00:00",24.32,,42.5
"2025-08-11 02:00:00",34.98,,44.6
"2025-08-12 02:00:00",57.82,,45.47
"2025-08-13 02:00:00",54.17,,43.86
"2025-08-14 02:00:00",48.94,,44.41
"2025-08-15 02:00:00",49.81,,43.05
"2025-08-16 02:00:00",36.96,,40.35
"2025-08-17 02:00:00",28.17,,40.63
"2025-08-18 02:00:00",25.47,,43.19
"2025-08-19 02:00:00",38.9,,44
"2025-08-20 02:00:00",56.13,,44.86
"2025-08-21 02:00:00",66.87,,44.84
"2025-08-22 02:00:00",55.53,,45.67
"2025-08-23 02:00:00",42.94,,45.08
"2025-08-24 02:00:00",28.02,,47.33
"2025-08-25 02:00:00",31.27,,46.47
"2025-08-26 02:00:00",34.82,,46.38
"2025-08-27 02:00:00",71.85,,48.29
"2025-08-28 02:00:00",60.85,,52.86
"2025-08-29 02:00:00",54.91,,55.69
"2025-08-30 02:00:00",56.28,,59.55
"2025-08-31 02:00:00",60.01,,59.25
"2025-09-01 02:00:00",51.09,,56.08
"2025-09-02 02:00:00",61.85,,52.09
"2025-09-03 02:00:00",69.75,,48.14
"2025-09-04 02:00:00",38.64,,43.72
"2025-09-05 02:00:00",27.01,,39.8
"2025-09-06 02:00:00",28.62,,35
"2025-09-07 02:00:00",29.06,,32.18
"2025-09-08 02:00:00",23.66,,35.49
"2025-09-09 02:00:00",28.27,,38.83
"2025-09-10 02:00:00",49.98,,40.29
"2025-09-11 02:00:00",61.85,,42.74
"2025-09-12 02:00:00",50.38,,46.63
"2025-09-13 02:00:00",38.8,,51.75
"2025-09-14 02:00:00",46.24,,50.26
"2025-09-15 02:00:00",50.9,,47.62
"2025-09-16 02:00:00",64.1,,44.74
"2025-09-17 02:00:00",39.58,,42.72
"2025-09-18 02:00:00",43.33,,39.98
"2025-09-19 02:00:00",30.26,,39.36
"2025-09-20 02:00:00",24.6,,35.88
"2025-09-21 02:00:00",27.09,,34.71
"2025-09-22 02:00:00",46.58,,31.86
"2025-09-23 02:00:00",39.75,,31.75
"2025-09-24 02:00:00",31.39,,38
"2025-09-25 02:00:00",23.37,,37.17
"2025-09-26 02:00:00",29.49,,33.75
"2025-09-27 02:00:00",68.35,,32.75
"2025-09-28 02:00:00",21.23,,34.87
"2025-09-29 02:00:00",22.7,,35.97
"2025-09-30 02:00:00",32.73,,38.06
"2025-10-01 02:00:00",46.22,,36.43
"2025-10-02 02:00:00",31.05,,41.82
"2025-10-03 02:00:00",44.14,,47.14
"2025-10-04 02:00:00",56.95,,50.54
"2025-10-05 02:00:00",58.94,,49.4
"2025-10-06 02:00:00",59.97,,49.45
"2025-10-07 02:00:00",56.5,,46.59
"2025-10-08 02:00:00",38.23,,41.72
"2025-10-09 02:00:00",31.4,,37.38
"2025-10-10 02:00:00",24.11,,34.9
"2025-10-11 02:00:00",22.86,,33.53
"2025-10-12 02:00:00",28.57,,35.5
"2025-10-13 02:00:00",42.64,,33.89
"2025-10-14 02:00:00",46.87,,33.78
"2025-10-15 02:00:00",52.02,,34.86
"2025-10-16 02:00:00",20.14,,35.55
"2025-10-17 02:00:00",23.36,,33.58
"2025-10-18 02:00:00",30.41,,30.99
"2025-10-19 02:00:00",33.44,,27.96
"2025-10-20 02:00:00",28.83,,32.71
"2025-10-21 02:00:00",28.73,,36
"2025-10-22 02:00:00",30.84,,34.57
"2025-10-23 02:00:00",53.33,,32.76
"2025-10-24 02:00:00",46.42,,32.43
"2025-10-25 02:00:00",20.4,,31.95
"2025-10-26 02:00:00",20.76,,31.68
"2025-10-27 01:00:00",26.5,,30.91
"2025-10-28 01:00:00",25.42,,30.61
"2025-10-29 01:00:00",28.96,,35.86
"2025-10-30 01:00:00",47.9,,36.16
"2025-10-31 01:00:00",44.32,,34.96
"2025-11-01 01:00:00",57.14,,34.46
"2025-11-02 01:00:00",22.85,,37.15
"2025-11-03 01:00:00",18.15,,37.04
"2025-11-04 01:00:00",21.87,,36.15
"2025-11-05 01:00:00",47.8,,31.86
"2025-11-06 01:00:00",47.12,,35.41
"2025-11-07 01:00:00",38.15,,38.48
"2025-11-08 01:00:00",27.06,,40.12
"2025-11-09 01:00:00",47.7,,37.69
"2025-11-10 01:00:00",39.66,,33.91
"2025-11-11 01:00:00",33.37,,30.94
"2025-11-12 01:00:00",30.75,,29.71
"2025-11-13 01:00:00",20.7,,27.9
"2025-11-14 01:00:00",17.34,,26.8
"2025-11-15 01:00:00",18.48,,26.17
"2025-11-16 01:00:00",34.98,,25.24
"2025-11-17 01:00:00",31.97,,25.2
"2025-11-18 01:00:00",28.94,,26.04
"2025-11-19 01:00:00",24.3,,33
"2025-11-20 01:00:00",20.36,,35.01
"2025-11-21 01:00:00",23.26,,37.1
"2025-11-22 01:00:00",67.18,,39.13
"2025-11-23 01:00:00",49.08,,40.75
"2025-11-24 01:00:00",46.55,,42.05
"2025-11-25 01:00:00",43.18,,42.25
"2025-11-26 01:00:00",35.65,,35.43
"2025-11-27 01:00:00",29.45,,30.96
"2025-11-28 01:00:00",24.69,,26.61
"2025-11-29 01:00:00",19.39,,22.99
"2025-11-30 01:00:00",17.8,,21.06
"2025-12-01 01:00:00",16.08,,20.14
"2025-12-02 01:00:00",17.85,,20.1
"2025-12-03 01:00:00",22.16,,25.86
"2025-12-04 01:00:00",23.03,,27.55
"2025-12-05 01:00:00",24.37,,27.71
"2025-12-06 01:00:00",59.72,,27.82
"2025-12-07 01:00:00",29.66,,28.09
"2025-12-08 01:00:00",17.16,,27.92
"2025-12-09 01:00:00",18.62,,26.89
"2025-12-10 01:00:00",24.07,,20
"2025-12-11 01:00:00",21.83,,17.21
"2025-12-12 01:00:00",17.19,,16.03
"2025-12-13 01:00:00",11.47,,14.83
"2025-12-14 01:00:00",10.16,,12.06
"2025-12-15 01:00:00",8.87,,9.48
"2025-12-16 01:00:00",10.22,,7.57
"2025-12-17 01:00:00",4.65,,7.14
"2025-12-18 01:00:00",3.8,,6.25
"2025-12-19 01:00:00",3.84,,5.4
"2025-12-20 01:00:00",8.45,,4.41
"2025-12-21 01:00:00",3.91,,4.13
"2025-12-22 01:00:00",2.95,,4.09
"2025-12-23 01:00:00",3.26,,3.97
"2025-12-24 01:00:00",2.72,,3
"2025-12-25 01:00:00",3.47,,2.7
"2025-12-26 01:00:00",3.06,,2.76
"2025-12-27 01:00:00",1.64,,2.88
"2025-12-28 01:00:00",1.77,,2.98
"2025-12-29 01:00:00",3.42,,3.01
"2025-12-30 01:00:00",4.11,,3.07
"2025-12-31 01:00:00",3.36,,3.29
"2026-01-01 01:00:00",3.69,,3.37
"2026-01-02 01:00:00",3.48,,3.22
"2026-01-03 01:00:00",3.17,,3.61
"2026-01-04 01:00:00",2.38,,3.64
"2026-01-05 01:00:00",2.37,,3.56
"2026-01-06 01:00:00",6.85,,3.49
"2026-01-07 01:00:00",3.57,,4.14
"2026-01-08 01:00:00",3.11,,4.13
"2026-01-09 01:00:00",2.99,,4.4
"2026-01-10 01:00:00",7.73,,4.09
"2026-01-11 01:00:00",2.29,,4.55
"2026-01-12 01:00:00",4.26,,4.6
"2026-01-13 01:00:00",4.65,,4.56
"2026-01-14 01:00:00",6.85,,3.77
"2026-01-15 01:00:00",3.42,,4.14
"2026-01-16 01:00:00",2.71,,4.25
"2026-01-17 01:00:00",2.22,,4.39
"2026-01-18 01:00:00",4.85,,3.88
"2026-01-19 01:00:00",5.02,,3.91
"2026-01-20 01:00:00",5.63,,4.86
"2026-01-21 01:00:00",3.29,,5.71
"2026-01-22 01:00:00",3.67,,5.85
"2026-01-23 01:00:00",9.36,,5.76
"2026-01-24 01:00:00",8.17,,5.79
"2026-01-25 01:00:00",5.81,,6.19
"2026-01-26 01:00:00",4.41,,6.59
"2026-01-27 01:00:00",5.81,,7.16
"2026-01-28 01:00:00",6.08,,7.38
"2026-01-29 01:00:00",6.47,,7.23
"2026-01-30 01:00:00",13.36,,7.45
"2026-01-31 01:00:00",9.72,,8
"2026-02-01 01:00:00",4.74,,8.63
"2026-02-02 01:00:00",5.99,,9.51
"2026-02-03 01:00:00",9.63,,8.71
"2026-02-04 01:00:00",10.5,,8.29
"2026-02-05 01:00:00",12.65,,9.1
"2026-02-06 01:00:00",7.74,,9.97
"2026-02-07 01:00:00",6.75,,10.51
"2026-02-08 01:00:00",10.44,,10.18
"2026-02-09 01:00:00",12.11,,9.3
"2026-02-10 01:00:00",13.4,,8.91
"2026-02-11 01:00:00",8.14,,8.86
"2026-02-12 01:00:00",6.52,,8.25
"2026-02-13 01:00:00",5,,7.25
"2026-02-14 01:00:00",6.39,,6.54
"2026-02-15 01:00:00",6.2,,7.01
"2026-02-16 01:00:00",5.08,,7.16
"2026-02-17 01:00:00",8.47,,7.33
"2026-02-18 01:00:00",11.42,,7
"2026-02-19 01:00:00",7.55,,7.14
"2026-02-20 01:00:00",6.18,,7.41
"2026-02-21 01:00:00",4.09,,7.73
"2026-02-22 01:00:00",7.19,,8.48
"2026-02-23 01:00:00",6.98,,10.14
"2026-02-24 01:00:00",10.67,,11.3
"2026-02-25 01:00:00",16.69,,12.43
"2026-02-26 01:00:00",19.19,,14.04
"2026-02-27 01:00:00",14.27,,16.11
"2026-02-28 01:00:00",12.01,,19.28
"2026-03-01 01:00:00",18.46,,22.3
"2026-03-02 01:00:00",21.46,,24.35
"2026-03-03 01:00:00",32.87,,26.88
"2026-03-04 01:00:00",37.84,,32.18
"2026-03-05 01:00:00",33.56,,38.16
"2026-03-06 01:00:00",31.94,,42.65
"2026-03-07 01:00:00",49.12,,43.87
"2026-03-08 01:00:00",60.36,,42.77
"2026-03-09 01:00:00",52.88,,41.25
"2026-03-10 01:00:00",41.39,,39.73
"2026-03-11 01:00:00",30.11,,37.02
"2026-03-12 01:00:00",22.92,,30.12
"2026-03-13 01:00:00",21.34,,25.18
"2026-03-14 01:00:00",0,,19.54
"2026-03-15 01:00:00",19.25,,20.97
"2026-03-16 01:00:00",19.9,,19.5
"2026-03-17 01:00:00",23.25,,18.46
"2026-03-18 01:00:00",20.86,,16.43
"2026-03-19 01:00:00",12.01,,15.74
"2026-03-20 01:00:00",10.72,,15
"2026-03-21 01:00:00",9,,12.96
"2026-03-22 01:00:00",14.43,,13.06
"2026-03-23 01:00:00",14.73,,15.02
"2026-03-24 01:00:00",0,,17.07
"2026-03-25 01:00:00",16.13,,24.59
"2026-03-26 01:00:00",25.37,,27.47
"2026-03-27 01:00:00",39.84,,34.52
"2026-03-28 01:00:00",45.5,,33.36
"2026-03-29 01:00:00",0,,27.39
"2026-03-30 02:00:00",35.12,,31.39
"2026-03-31 02:00:00",26.07,,26.48
"2026-04-01 02:00:00",19.84,,20.83
"2026-04-02 02:00:00",18.23,,19.3
"2026-04-03 02:00:00",14.56,,17.09
"2026-04-04 02:00:00",12.18,,15.27
"2026-04-05 02:00:00",9.09,,14.41
"2026-04-06 02:00:00",19.67,,13.66
"2026-04-07 02:00:00",13.32,,14.94
"2026-04-08 02:00:00",13.82,,16.14
"2026-04-09 02:00:00",12.98,,17.45
"2026-04-10 02:00:00",23.54,,17.74
"2026-04-11 02:00:00",20.59,,20.53
"2026-04-12 02:00:00",18.23,,24.11
"2026-04-13 02:00:00",21.73,,28.94
"2026-04-14 02:00:00",32.81,,30.86
"2026-04-15 02:00:00",38.86,,32.57
"2026-04-16 02:00:00",46.85,,34.39
"2026-04-17 02:00:00",36.93,,34.92
"2026-04-18 02:00:00",32.59,,34.74
"2026-04-19 02:00:00",30.96,,36.61
"2026-04-20 02:00:00",25.46,,40
"2026-04-21 02:00:00",31.53,,43.66
"2026-04-22 02:00:00",51.96,,46.42
"2026-04-23 02:00:00",70.55,,54.74
"2026-04-24 02:00:00",62.55,,52.33
"2026-04-25 02:00:00",0,,34.97
"2026-04-26 02:00:00",0,,33.79
"2026-04-27 02:00:00",24.65,,39.24
"2026-04-28 02:00:00",35.05,,41.71
"2026-04-29 02:00:00",43.75,,45.25
"2026-04-30 02:00:00",59.39,,42.94
"2026-05-01 02:00:00",59.04,,42.94
"2026-05-02 02:00:00",51.13,,42.25
"2026-05-03 02:00:00",27.57,,41.19
"2026-05-04 02:00:00",24.68,,36.24
"2026-05-05 02:00:00",30.22,,32.91
"2026-05-06 02:00:00",36.33,15.697869600706344,32.54
