"Time","Sales","Trend Line","7-Day Moving Average"
"2025-05-08 02:00:00",106.1,74.78366573152879,98.18
"2025-05-09 02:00:00",112.64,,103.25
"2025-05-10 02:00:00",125.53,,106.56
"2025-05-11 02:00:00",91.87,,98.75
"2025-05-12 02:00:00",98.49,,97.67
"2025-05-13 02:00:00",110.9,,99.19
"2025-05-14 02:00:00",45.74,,69.17
"2025-05-15 02:00:00",0,,36.45
"2025-05-16 02:00:00",0,,22.38
"2025-05-17 02:00:00",0,,6.53
"2025-05-18 02:00:00",0,,15.8
"2025-05-19 02:00:00",0,,51.45
"2025-05-20 02:00:00",0,,88.73
"2025-05-21 02:00:00",110.6,,173.4
"2025-05-22 02:00:00",249.57,,244.36
"2025-05-23 02:00:00",260.91,,245.4
"2025-05-24 02:00:00",260.91,,233.01
"2025-05-25 02:00:00",329.39,,237.76
"2025-05-26 02:00:00",245.54,,219.61
"2025-05-27 02:00:00",174.14,,198.68
"2025-05-28 02:00:00",143.84,,181.14
"2025-05-29 02:00:00",122.52,,154.82
"2025-05-30 02:00:00",114.44,,141.82
"2025-05-31 02:00:00",138.13,,142.07
"2025-06-01 02:00:00",145.15,,148.11
"2025-06-02 02:00:00",154.54,,161.75
"2025-06-03 02:00:00",175.86,,176.54
"2025-06-04 02:00:00",186.14,,219.29
"2025-06-05 02:00:00",217.98,,235.35
"2025-06-06 02:00:00",217.98,,242.79
"2025-06-07 02:00:00",437.35,,237.85
"2025-06-08 02:00:00",257.62,,231.26
"2025-06-09 02:00:00",206.58,,219.77
"2025-06-10 02:00:00",141.28,,207.45
"2025-06-11 02:00:00",140.01,,159.14
"2025-06-12 02:00:00",137.55,,164.06
"2025-06-13 02:00:00",131.77,,161.2
"2025-06-14 02:00:00",99.19,,168.06
"2025-06-15 02:00:00",292.02,,193.37
"2025-06-16 02:00:00",186.55,,200.37
"2025-06-17 02:00:00",189.31,,201.91
"2025-06-18 02:00:00",317.17,,251.31
"2025-06-19 02:00:00",0,,118.98
"2025-06-20 02:00:00",139.81,,172.22
"2025-06-21 02:00:00",0,,65.28
"2025-06-22 02:00:00",0,,19.97
"2025-06-23 02:00:00",0,,19.97
"2025-06-24 02:00:00",0,,0
"2025-06-25 02:00:00",0,,145.29
"2025-06-26 02:00:00",0,,159.66
"2025-06-27 02:00:00",0,,178.93
"2025-06-28 02:00:00",1017,,643.93
"2025-06-29 02:00:00",100.61,,266.92
"2025-06-30 02:00:00",134.89,,290.01
"2025-07-01 02:00:00",204.01,,303.99
"2025-07-02 02:00:00",210.7,,192.14
"2025-07-03 02:00:00",227.98,,201.57
"2025-07-04 02:00:00",232.71,,209.66
"2025-07-05 02:00:00",234.11,,209.31
"2025-07-06 02:00:00",166.59,,199.74
"2025-07-07 02:00:00",191.51,,183.78
"2025-07-08 02:00:00",201.55,,164.28
"2025-07-09 02:00:00",143.75,,142.29
