Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
41.1.,"Hey Nature Moth Trap Clothes Moths Pack of 10, Clothes Moth Trap, Insecticide-free Glue Trap Against Moths, High Attraction for Infestation Detection, Monitoring Trap as Moth Protection for Wardrobe",B0FP5DLRRY,Physical Trap,https://www.amazon.de/dp/B0FP5DLRRY?psc=1,https://m.media-amazon.com/images/I/81NU-pFm1DL._AC_SY355_.jpg,Hey Nature,12.95,665,440,100,"6,220.44","4,650.85",198,"6,780",N/A,3.13,1,4,46,6,5,Hey Nature,Garden,Standard Envelope,FBA,30.00 x 1.00 x 10.00 cm,0.07,N/A,"Sep 25, 2025",,No,8,Hey Nature
18.1.,Patronus Clothes Moth Trap [Pack of 6] - Effective Moth Protection for Wardrobe - Moth Trap Clothes Moths with Maximum Attraction - Fight Clothes Moths - Alternative to Moth Paper,B0DXFK22FC,Physical Trap,https://www.amazon.de/dp/B0DXFK22FC?psc=1,https://m.media-amazon.com/images/I/81daxw0as0L._AC_SY355_.jpg,Patronus,6.95,"2,060","1,557",800,"17,876.76","11,925.54",179,386,N/A,2.65,1,4,305,9,4,Patronus Webshop,Garden,Standard Envelope,FBA,26.00 x 1.70 x 11.00 cm,0.08,N/A,"Feb 17, 2025",,No,15,Patronus Webshop
53.3.,"anwerk® Ichneumon wasps against clothes moths - 3 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHXMKMT,Physical Trap,https://www.amazon.de/dp/B0CRHXMKMT?psc=1,https://m.media-amazon.com/images/I/81a6zsht-dL._AC_SY355_.jpg,anwerk,16.99,"3,357",80,50,"105,344.38","1,472.99",157,147,N/A,N/A,1,4.6,"1,125",7,21,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.4.,"anwerk® Ichneumon wasps against clothes moths - 4 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHW66L7,Physical Trap,https://www.amazon.de/dp/B0CRHW66L7?psc=1,https://m.media-amazon.com/images/I/81U90L3vusL._AC_SY355_.jpg,anwerk,18.69,"3,357",477,300,"105,344.38","9,649.49",157,147,N/A,N/A,1,4.6,"1,125",7,20,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.5.,"anwerk® Ichneumon wasps against clothes moths - 5 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHWZ2D1,Physical Trap,https://www.amazon.de/dp/B0CRHWZ2D1?psc=1,https://m.media-amazon.com/images/I/81ro4L6uqQL._AC_SY355_.jpg,anwerk,21.24,"3,357",478,300,"105,344.38","10,943.43",157,147,N/A,N/A,1,4.6,"1,125",7,20,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.6.,"anwerk Ichneumon wasps against clothes moths - 6 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRJDYWF1,Physical Trap,https://www.amazon.de/dp/B0CRJDYWF1?psc=1,https://m.media-amazon.com/images/I/81n8IY0emhL._AC_SY355_.jpg,anwerk,23.79,"3,357",244,200,"105,344.38","6,240.71",156,147,N/A,N/A,1,4.6,"1,125",7,20,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.7.,"anwerk® Ichneumon wasps against clothes moths - 7 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHXNSSG,Physical Trap,https://www.amazon.de/dp/B0CRHXNSSG?psc=1,https://m.media-amazon.com/images/I/81NxdaviBXL._AC_SY355_.jpg,anwerk,25.49,"3,357",45,N/A,"105,344.38","1,239.29",157,147,N/A,N/A,1,4.6,"1,125",7,21,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.8.,"anwerk Ichneumon wasps against clothes moths - 8 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHXLLZB,Physical Trap,https://www.amazon.de/dp/B0CRHXLLZB?psc=1,https://m.media-amazon.com/images/I/81ovYO-1TcL._AC_SY355_.jpg,anwerk,27.19,"3,357",469,300,"105,344.38","13,964.45",156,147,N/A,N/A,1,4.6,"1,125",7,21,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.9.,"anwerk Ichneumon wasps against clothes moths - 9 x cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHWJM2X,Physical Trap,https://www.amazon.de/dp/B0CRHWJM2X?psc=1,https://m.media-amazon.com/images/I/81P+hlSLvYL._AC_SY355_.jpg,anwerk,28.89,"3,357",61,N/A,"105,344.38","1,902.71",158,147,N/A,N/A,1,4.6,"1,125",7,19,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
53.10.,"anwerk® Ichneumon wasps against clothes moths - 10 cards of 1 delivery - effective clothes moth control - alternative to moth trap, moth spray, pheromone trap",B0CRHY4B3K,Physical Trap,https://www.amazon.de/dp/B0CRHY4B3K?psc=1,https://m.media-amazon.com/images/I/81Rxpkfos6L._AC_SY355_.jpg,anwerk,30.59,"3,357",105,50,"105,344.38","3,489.1",158,147,N/A,N/A,1,4.6,"1,125",7,20,ANWerke,Garden,N/A,MFN,N/A,N/A,N/A,"Jan 4, 2024",,No,28,ANWerke
49.4.,Legona® – Wasps Against Clothing Moths / Biological & Sustainable Control of Textile Moths / 1x Trigram Card/3 x Trigram card of 5 Deliveries/Alternative to Moth Spray and Moth Balls,B07VK887FR,Repellent,https://www.amazon.de/dp/B07VK887FR?psc=1,https://m.media-amazon.com/images/I/71ku3PRzb1L._AC_SY355_.jpg,Legona,69.99,324,62,N/A,"30,725.93","4,328.54",182,"5,080",N/A,N/A,1,4.4,693,8,3,Legona-DE,Garden,N/A,MFN,N/A,N/A,N/A,"Jun 30, 2019",,No,83,Legona-DE
