Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
9.,"PIC Textile Moth Trap - Anti Moth Textiles for Wardrobe and Closet, Pheromone Trap, Non-Toxic, Anti-Moth Protection for Clothes 3 Months, Pack of 8",B07MSG8VPN,Physical Trap,https://www.amazon.fr/dp/B07MSG8VPN?psc=1,https://m.media-amazon.com/images/I/81jnoyETSiL._AC_SY355_.jpg,PIC,12.99,"3,585","3,585","2,000","44,821.41","44,785.41",147,32,DE,5.35,1,4.1,"4,655",8,57,UE-SHOP,Garden,Extra Large Envelope,FBA,13.30 x 4.90 x 10.10 cm,0.12,N/A,"Jan 10, 2019",,No,88,UE-SHOP
22.,"PIC Food Moth Traps - 12 Food Moth Traps with Pheromones - Food Moth Trap for Kitchen, Cupboard and Pantry - Infestation Detection - 8 Week Protection",B0DD43PYQ6,Physical Trap,https://www.amazon.fr/dp/B0DD43PYQ6?psc=1,https://m.media-amazon.com/images/I/81OBAIcNQ5L._AC_SY355_.jpg,PIC,10.95,"3,918","3,918","2,000","39,406.89","39,388.91",150,22,DE,3.73,1,4.4,"3,272",7,54,UE-SHOP,Garden,Standard Envelope,FBA,16.79 x 1.40 x 9.60 cm,0.09,N/A,"Aug 23, 2024",,No,21,UE-SHOP
34.,"Kapo Anti-Moth Tablets – Effective 4 Months – Protection of Coats, Wool and Textiles – Pleasant Scent – Effectively Protect – Individual Bag, See Photo",B07KZKCZFG,Repellent,https://www.amazon.fr/dp/B07KZKCZFG?psc=1,https://m.media-amazon.com/images/I/71U2YfV5QUL._AC_SY355_.jpg,K.PRO,5.99,"5,029","5,029","3,000","30,125.57","30,075.14",151,43,AMZ,4.88,7,4.3,932,7,35,Amazon,Grocery,Extra Large Envelope,AMZ,22.20 x 4.60 x 16.50 cm,0.19,N/A,"Dec 3, 2018",,No,89,Amazon
27.,GEROBUG XXL Pack of 10 Food Moth Trap - Odourless Pheromone Traps for Food Moths with Maximum Attraction Effect - Long Lasting Action Trap,B0B5XTQ6M9,Physical Trap,https://www.amazon.fr/dp/B0B5XTQ6M9?psc=1,https://m.media-amazon.com/images/I/81fsRKh5l3L._AC_SY355_.jpg,Gerobug,12.95,"2,514","2,514","1,000","27,785.84","27,773.99",138,21,DE,3.33,1,4.5,"2,766",8,86,RGO Expert GmbH,Garden,Small Envelope,FBA,13.80 x 0.90 x 10.30 cm,0.04,N/A,"May 27, 2024",,No,24,RGO Expert GmbH
40.,K.PRO - Anti-mite & Larvae Cassettes - Clothing Antimitis - Immediate Action - Effective 6 Months - Protects Against New Infestations - Pack of 2 Cassettes,B07KZHV875,Repellent,https://www.amazon.fr/dp/B07KZHV875?psc=1,https://m.media-amazon.com/images/I/717GMqqW5FL._AC_SY355_.jpg,K.PRO,12.5,"1,633","1,633","1,000","20,519.45","20,519.13",155,82,AMZ,5.12,7,4.2,720,7,21,Amazon,Garden,Large Envelope,AMZ,17.60 x 3.20 x 8.60 cm,0.05,N/A,"Dec 3, 2018",,No,89,Amazon
41.,9 x Textile Moth Repellent | Up to 3 Months Protection per Hook | Moth Repellent Clothes | Powerful Clothes Repellent | Lavender Fragrance,B0G6F64LY4,Repellent,https://www.amazon.fr/dp/B0G6F64LY4?psc=1,"https://m.media-amazon.com/images/I/81ZeUpM8VHL._AC_SY355_PIbundle-9,TopRight,0,0_SH20_.jpg",READY STEADY DEFEND,19.99,755,656,300,"14,023.47","13,097.71",138,550,GB,6.01,1,4.4,95,7,10,Ready Steady Defend,Garden,Small Parcel,FBA,22.40 x 7.50 x 15.40 cm,0.09,N/A,"Dec 11, 2025",,No,5,Ready Steady Defend
61.,Anti Mites Textiles - Pack of 50 Clothes Rings with Mini Bottle of Cedarwood Oil Included 5 ml Natural and Effective Against Moths for Wardrobes,B07JYFJPVT,Repellent,https://www.amazon.fr/dp/B07JYFJPVT?psc=1,https://m.media-amazon.com/images/I/91yPtdUEmYL._AC_SY355_.jpg,Zidina,18.99,535,535,200,"10,163.57","10,158.12",144,424,GB,4.88,1,4.3,"2,204",6,295,Raimarket,Garden,Standard Envelope,FBA,26.80 x 2.30 x 20.10 cm,0.36,N/A,"Nov 5, 2018",,No,90,Raimarket
52.,Food Moth Trap [10 Pieces Advantageous Pack] - Against Food Moths with Maximum Attraction Effect - Pheromone Trap with High Performance Glue to Detect Infestation,B0BZPSW5PY,Physical Trap,https://www.amazon.fr/dp/B0BZPSW5PY?psc=1,https://m.media-amazon.com/images/I/81Q9+PoVSHL._AC_SY355_.jpg,Patronus,11.95,820,820,400,"9,796.61","9,788.28",162,269,DE,3.77,1,4.4,"4,008",8,48,Patronus Webshop,Garden,Standard Envelope,FBA,19.30 x 2.10 x 10.80 cm,0.09,N/A,"Oct 26, 2023",,No,31,Patronus Webshop
10.,Gerobug Clothes Moth Trap 10 Pieces - Clothes Moth Trap - Mite Trap with Pheromone Attractive 3 Months Protection,B0B5Y2W4KJ,Physical Trap,https://www.amazon.fr/dp/B0B5Y2W4KJ?psc=1,https://m.media-amazon.com/images/I/71dYqJ2voFL._AC_SY355_.jpg,Gerobug,12.99,728,728,400,"9,205.42","9,201.86",113,158,DE,3.87,1,4.1,451,8,7,RGO Expert GmbH,Garden,Standard Envelope,FBA,25.00 x 1.90 x 9.50 cm,0.08,N/A,"Apr 21, 2023",,No,37,RGO Expert GmbH
72.,"RepellShield Lavender Anti-Moth Textile Spray – 250 ml – Non-Staining – Natural Essential Oils – Repellent Barrier Anti Moth Clothes for Wardrobes, Bedding, Curtains, Rugs",B08DDDCX4S,Repellent,https://www.amazon.fr/dp/B08DDDCX4S?psc=1,https://m.media-amazon.com/images/I/71UiimlMqqL._AC_SY355_.jpg,RepellShield,17.99,486,359,200,"9,413.27","6,398.57",171,847,DE,5.81,1,4,"1,105",9,15,Vivere GmbH,Garden,Extra Large Envelope,FBA,16.60 x 5.90 x 7.80 cm,0.28,N/A,"Aug 24, 2020",,No,69,Vivere GmbH
