Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
32.1.,"Orphea Food Moth Repellent, Adhesive Traps Against Food Moths, Butterflies, Insecticide Free and Odourless, 12 Traps",B0F9L68FZ7,Repellent,https://www.amazon.it/dp/B0F9L68FZ7?psc=1,https://m.media-amazon.com/images/I/716U54vK9oL._AC_SY355_.jpg,Orphea,14.99,"2,572",389,300,"13,153.74","4,580.08",116,7,IT,4.05,2,4.5,"4,876",5,36,LIEMI EU ✅,Garden,Standard Envelope,FBA,29.10 x 2.00 x 21.50 cm,0.1,N/A,"May 22, 2025",,No,12,LIEMI EU ✅
71.7.,Nuncas Moth Killer Strong Delicate Flowery 12 Sheets,B00FKRFZVW,Repellent,https://www.amazon.it/dp/B00FKRFZVW?psc=1,https://m.media-amazon.com/images/I/61++yNfr4bL._AC_SY355_.jpg,nuncas,4.99,"2,163",397,400,"12,493","2,173.97",52,33,N/A,3.18,8,4.5,"1,478",4,10,Amazon,Garden,Standard Envelope,AMZ,20.00 x 1.00 x 15.50 cm,0.01,N/A,"Jun 19, 2014",,No,143,Amazon
36.1.,PIC Food Moth Trap - 12 Food Moth Traps - Moth Trap with Pheromone for Ideal Effect - Moth Trap Food - Effective Adhesive Traps for Determining Infestation of Food Moths,B0DD43PYQ6,Physical Trap,https://www.amazon.it/dp/B0DD43PYQ6?psc=1,https://m.media-amazon.com/images/I/816dUfgLX6L._AC_SY355_.jpg,PIC,11.49,"1,564","1,064","1,000","14,357.54","11,194.16",169,16,DE,3.77,1,4.5,"18,396",7,"15,203",UE-SHOP,Garden,Standard Envelope,FBA,16.79 x 1.40 x 9.60 cm,0.09,N/A,"Aug 26, 2024",,No,21,UE-SHOP
56.1.,Vape Bait Cockroaches Insecticidal Bait Disinfestation Cockroaches Bedbugs and Cockroaches Effectiveness 3 Months - 6 Baits,B0CJVL8M41,Killer Spray,https://www.amazon.it/dp/B0CJVL8M41?psc=1,https://m.media-amazon.com/images/I/71se1ExrnkL._AC_SY355_.jpg,VAPE,13.78,"1,482","1,356","1,000","20,966.5","19,032.59",123,44,N/A,4.05,13,4.5,476,3,17,Super risparmio,Garden,Standard Envelope,MFN,22.70 x 2.40 x 14.80 cm,0.14,N/A,"Sep 26, 2023",,No,32,Super risparmio
57.,"100% Lavender Scented Bags (25X), Insect Repellent and Moth Repellent for Clothes, Drawers, Closets, Shoes, Travel, Sleeping, Car",B08R7NKGW7,Repellent,https://www.amazon.it/dp/B08R7NKGW7?psc=1,https://m.media-amazon.com/images/I/81hNpQIhcQL._AC_SX355_.jpg,LEIKAIHUA,11.99,484,484,300,"5,805.84","5,800.87",129,842,CN,6.14,1,4,"1,727",5,36,NICE2020,Home & Kitchen,Large Envelope,FBA,24.90 x 3.10 x 18.60 cm,0.22,N/A,"Dec 23, 2020",,No,65,NICE2020
18.,"Tarmacid Professional Anti-Mite Spray for Fabrics – Environment-Wardrobe-Drawers, Fresh Laundry Fragrance, 400 ml Plus 5 Pieces Sweaters Cases with Zipper.",B07W8B3ZDB,Killer Spray,https://www.amazon.it/dp/B07W8B3ZDB?psc=1,https://m.media-amazon.com/images/I/61atFLxPZBL._AC_SY355_.jpg,HygienFresh,16.9,329,329,100,"5,563.09","5,560.3",155,"1,359",IT,N/A,1,4.4,124,9,0,FEI FAN SRL,Garden,N/A,MFN,N/A,N/A,N/A,"Aug 10, 2019",,No,81,FEI FAN SRL
10.,"Strong Moth Repellent, Clothes Moth Spray, Tarmacid, Immediate Effectiveness, Clothes Saver, Non-Stain, Medical Surgical Control, 300 ml Bottle (2 Sprays)",B0D37FLG26,Killer Spray,https://www.amazon.it/dp/B0D37FLG26?psc=1,https://m.media-amazon.com/images/I/711GSJ4+VOL._AC_SY355_.jpg,FEI FAN,16.93,313,268,100,"5,895.47","4,513.89",154,799,IT,N/A,1,4.7,7,3,2,PEGASUS EXPRESS,Garden,N/A,MFN,N/A,N/A,N/A,"May 3, 2024",,No,24,PEGASUS EXPRESS
9.,"RepellShield Spray Antitarme Alimentari – 250ml – Multi-Uso Efficace contro Tarme Vestiti e Farfalline Dispensa – Non Macchia – Anti Tarme, Larve e Uova – Sicuro per Bambini e Animali",B08DDDCX4S,Repellent,https://www.amazon.it/dp/B08DDDCX4S?psc=1,https://m.media-amazon.com/images/I/71-sLsb-LeL._AC_SY355_.jpg,RepellShield,16.14,236,236,N/A,"3,940.96","3,938.46",183,507,N/A,4.93,1,4.3,"1,095",9,20,,Garden,Extra Large Envelope,FBA,16.60 x 5.90 x 7.80 cm,0.28,N/A,"Jul 21, 2020",,No,70,
11.,Tarmacid Perfume Deodorant Spray Moth Repellent Professional Anti-Dust Mite for Textiles Rooms Wardrobe Drawers Laundry Insecticide Medical Surgical,B018CNOG9C,Killer Spray,https://www.amazon.it/dp/B018CNOG9C?psc=1,https://m.media-amazon.com/images/I/61L64knyaSL._AC_SY395_.jpg,HygienFresh,13.49,217,217,100,"2,994.96","2,993.04",148,"1,166",N/A,6.09,5,4.6,334,6,5,Home Professional,Garden,Small Parcel,MFN,19.00 x 6.50 x 6.50 cm,0.32,N/A,"Nov 18, 2015",,No,126,Home Professional
67.,"Moth Balls 30 Pack – 100% Natural Cedar Balls, Chemical-Free Cedarwood Moth Repellent for Wardrobes and Drawers | Long-Lasting Moth Balls for Clothes Storage, Drawers & Closets",B0DT75W8XM,Repellent,https://www.amazon.it/dp/B0DT75W8XM?psc=1,"https://m.media-amazon.com/images/I/81PrUMn+FBL._AC_SY355_PIbundle-34,TopRight,0,0_SH20_.jpg",Zidina,13.99,252,213,100,"3,775.96","2,977",176,"1,395",GB,5.51,1,4.2,242,7,19,Raimarket.shop,Garden,Large Envelope,FBA,14.60 x 2.60 x 11.60 cm,0.1,N/A,"Jun 3, 2025",,No,11,Raimarket.shop
