Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  £,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  £,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
52.1.,"Acana Hanging Moth Killer & Freshener, 8 Pack - Lavender Fragrance, Natural Oils - for Wardrobes - Protects Clothing & Bedding - Each Lasts Up to 3 Months",B01H2S2I8O,Repellent,https://www.amazon.co.uk/dp/B01H2S2I8O?psc=1,https://m.media-amazon.com/images/I/71oajEX3omL._AC_SY355_.jpg,Acana,16.19,"20,329",155,300,"251,601.46","2,961.82",154,24,N/A,3.96,1,4.3,"2,072",6,49,Acana,Garden,Standard Envelope,FBA,25.00 x 2.50 x 22.70 cm,0.13,N/A,"Apr 29, 2015",,No,133,Acana
27.1.,Entopest Moth Peds | 10 Refill Pads & 10 Reusable Hangers | Clothes Moth Detection | Sticky Monitoring Pads for Wardrobes | Pheromone-Based Monitoring Only,B073S5M458,Physical Trap,https://www.amazon.co.uk/dp/B073S5M458?psc=1,https://m.media-amazon.com/images/I/71iAIAlvX3L._AC_SY355_.jpg,Entopest,21.97,"3,546","1,280","1,000","55,898.21","22,023.28",155,264,GB,4.2,2,3.9,"5,809",8,13,Fort Products,Garden,Small Parcel,FBA,21.30 x 12.00 x 15.80 cm,0.32,N/A,"Aug 9, 2017",,No,105,Fort Products
30.1.,"5 Pheromone Clothes Moth Traps – Wardrobe & Drawer Sticky Monitoring Moth Traps, Carpet Moth Trap + Lavender Freshener + 10 Glowing Pads, Premium, Insecticide-Free Fabric Moth Catcher for Home",B0BDMBBMLM,Physical Trap,https://www.amazon.co.uk/dp/B0BDMBBMLM?psc=1,https://m.media-amazon.com/images/I/81O9xScAw5L._AC_SY355_.jpg,MothOut,17.34,"1,841",322,300,"32,135.74","4,818.82",192,346,GB,5.09,1,4.3,"1,576",8,15,ATON.AMZ,Garden,Standard Envelope,FBA,20.00 x 2.20 x 12.10 cm,0.13,N/A,"Sep 8, 2022",,No,44,ATON.AMZ
35.1.,Entopest Monitoring Moth Traps | 10 Refill Pads & 5 Reusable Hangers | Clothes Moth Detection | Sticky Monitoring Pads for Wardrobes | Pheromone-Based Monitoring Only,B00KVGC5F6,Physical Trap,https://www.amazon.co.uk/dp/B00KVGC5F6?psc=1,https://m.media-amazon.com/images/I/81CFUgNF9vL._AC_SY355_.jpg,Entopest,17.92,"3,546","2,267","2,000","55,898.21","33,850.6",166,264,GB,3.98,2,3.9,"5,809",7,14,Fort Products,Garden,Small Parcel,FBA,23.30 x 9.10 x 15.80 cm,0.22,N/A,"Jul 24, 2016",,No,118,Fort Products
61.1.,"NOPE! CP Moth Killer Spray - Fast acting, Odourless, Long-lasting Moth Repellent for Clothes, Home, Wardrobe, Room & Carpets. (5 Litres & Sprayer)",B0DDTXHJLB,Killer Spray,https://www.amazon.co.uk/dp/B0DDTXHJLB?psc=1,https://m.media-amazon.com/images/I/71BU5dUfYrL._SX342_.jpg,NOPE!,42.99,"1,534",90,N/A,"26,334.9","3,847.96",146,528,N/A,13.52,1,4.3,"1,427",5,10,,Garden,Standard-Oversize,FBA,46.50 x 23.50 x 45.40 cm,6.98,N/A,"Aug 21, 2024",,No,21,
61.2.,"NOPE! CP Moth Killer Spray - Fast acting, Odourless, Long-lasting Moth Repellent for Clothes, Home, Wardrobe, Room & Carpets. (5L)",B0DDQC11DN,Killer Spray,https://www.amazon.co.uk/dp/B0DDQC11DN?psc=1,https://m.media-amazon.com/images/I/71-5qDATd8L._SX342_.jpg,NOPE!,32.39,"1,534",163,100,"26,334.9","4,563.61",130,528,GB,9.53,1,4.3,"1,427",5,9,Safeguard Europe Ltd,Garden,Standard Parcel,FBA,26.40 x 14.40 x 20.20 cm,5.3,N/A,"Aug 20, 2024",,No,21,Safeguard Europe Ltd
144.1.,3-Pack Moth Killer Hangers for Wardrobes: Lavender-Scented Clothes Moth Repellent | Anti-Moth Protection for Wardrobes and Drawers | Up to 3 Months Protection per Hanger |,B0FGCZK5R3,Repellent,https://www.amazon.co.uk/dp/B0FGCZK5R3?psc=1,"https://m.media-amazon.com/images/I/810CflQWOLL._AC_SY355_PIbundle-3,TopRight,0,0_SH20_.jpg",READY STEADY DEFEND,11.56,"1,320",177,100,"18,847.55","1,702.49",171,596,N/A,3.17,1,4,132,7,16,Ready Steady Defend UK,Garden,Standard Envelope,FBA,20.70 x 1.90 x 12.60 cm,0.03,N/A,"Feb 1, 2022",,No,51,Ready Steady Defend UK
58.1.,"Quebec Zero In Clothes Moth Killer - Ready-To-Use - Kills Moths, Eggs & Larvae - Indoor Uses - Long-lasting treatment of Wardrobes, Cupboards and Drawers Before Clothes storage - 300ml (Pack of 1)",B0GTMDX86B,Killer Spray,https://www.amazon.co.uk/dp/B0GTMDX86B?psc=1,https://m.media-amazon.com/images/I/51tuS3aNiwL._SX342_.jpg,Quebec,6.93,"1,410",227,100,"15,358.98","1,358.15",196,"1,066",N/A,3.55,1,4.4,395,7,13,QCL Online,Garden,Extra Large Envelope,MFN,25.00 x 5.60 x 11.10 cm,0,N/A,"Mar 23, 2026",,No,2,QCL Online
71.1.,"Dr. Killigan's Premium Pantry Moth Traps with Pheromones Prime | Safe, Non-Toxic with No Insecticides | Sticky Glue Trap for Food and Cupboard Moths in Your Kitchen | Organic (20, Black)",B075R5JSL2,Physical Trap,https://www.amazon.co.uk/dp/B075R5JSL2?psc=1,https://m.media-amazon.com/images/I/81h3vwNeCEL._AC_SY355_.jpg,Dr. Killigan's,34.68,852,110,N/A,"15,945.35","3,297.87",186,"1,592",N/A,2.97,1,4,"15,334",9,54,Dr. Killigan's International,Garden,Small Parcel,FBA,15.29 x 6.71 x 12.60 cm,0.46,N/A,"Mar 2, 2018",,No,98,Dr. Killigan's International
71.2.,"Dr. Killigan's Premium Pantry Moth Traps with Pheromones Prime | Safe, Non-Toxic with No Insecticides | Sticky Glue Trap for Food and Cupboard Moths in Your Kitchen | Organic (20, Blue)",B013HEG1IU,Physical Trap,https://www.amazon.co.uk/dp/B013HEG1IU?psc=1,https://m.media-amazon.com/images/I/71vM91HLe7L._AC_SY355_.jpg,Dr. Killigan's,34.68,852,103,50,"15,945.35","3,088.19",185,"1,591",N/A,7.47,2,4,"15,334",8,54,Dr. Killigan's International,Garden,Small Parcel,FBA,15.40 x 6.90 x 12.40 cm,0.46,N/A,"Mar 2, 2018",,No,98,Dr. Killigan's International
