Product Details,ASIN,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
ARDAP Repell Pest Spray 750 ml - Insect Spray for Acute Vermin Infestation - Repels Insect Infestation - Insect Spray Home - Pest-Free - Works Quickly and Effectively (PT19),B0DG5ZJHRV,https://www.amazon.de/dp/B0DG5ZJHRV?psc=1,https://m.media-amazon.com/images/I/61meiLH1f+L._AC_SY355_.jpg,ARDAP,17.99,"50,315.05",52,4.4,"2,508","Sep 5, 2024",18
ARDAP Repell Pest Spray 3 x 750 ml - Insect Spray for Acute Vermin Infestation - Repels Insect Infestation - Insect Spray Home - Works Quickly and Effectively (PT19),B0DG94TQKH,https://www.amazon.de/dp/B0DG94TQKH?psc=1,https://m.media-amazon.com/images/I/71928iPHiiL._AC_SY355_.jpg,ARDAP,42.2,"23,264.47",52,4.4,"2,508","Sep 6, 2024",18
ARDAP Repell Pest Spray 200 ml - Insect Spray for Acute Vermin Infestation - Repels Insect Infestation - Insect Spray Home - Pest-Free - Works Quickly and Effectively (PT19),B0DG61TT5H,https://www.amazon.de/dp/B0DG61TT5H?psc=1,https://m.media-amazon.com/images/I/61Ww4QSgmYL._AC_SY355_.jpg,ARDAP,8.19,"2,856.64",52,4.4,"2,508","Sep 5, 2024",18
ARDAP Repell Vermin Spray 400 ml - Insect Spray for Acute Vermin Infestation - Repels Insect Infestation - Insect Spray Home - Pest-Free - Works Quickly and Effectively (PT19),B0DG5XN1ZL,https://www.amazon.de/dp/B0DG5XN1ZL?psc=1,https://m.media-amazon.com/images/I/61tNlrU7QVL._AC_SY355_.jpg,ARDAP,12.99,"11,964.76",52,4.4,"2,508","Sep 5, 2024",18
BIODELTA LTK-008 Insect Spray for Flying & Crawling Insects Repel - Anti-Insects with Instant Effect - Vermin Spray - Insect Protection Spray with Long-Term Protection,B0DBVJ6P3F,https://www.amazon.de/dp/B0DBVJ6P3F?psc=1,https://m.media-amazon.com/images/I/51HVeP5wPRL._AC_SY355_.jpg,LTK-008,24.99,"1,716.31","2,995",3.8,421,"Aug 1, 2024",19
BIOFORMEL LTK-008 Insect Spray for Flying & Crawling Insects - Insect Repellent - Anti-Insect Spray with Instant Effect - Insect Protection Spray with Long-Term Protection (5 L),B0DBVH5KS3,https://www.amazon.de/dp/B0DBVH5KS3?psc=1,https://m.media-amazon.com/images/I/710perhNcDL._AC_SY355_.jpg,LTK-008,39.99,"5,288.57","2,995",3.8,421,"Aug 1, 2024",19
BIOFORMEL LTK-008 Insect Spray for Flying & Crawling Insects - Insect Repellent - Anti-Insect Spray with Instant Effect - Insect Protection Spray with Long-Term Protection (500 ml),B0DBVHXLQQ,https://www.amazon.de/dp/B0DBVHXLQQ?psc=1,https://m.media-amazon.com/images/I/61be8wI4m4L._AC_SY355_.jpg,LTK-008,14.99,"6,459.05","2,995",3.8,421,"Aug 1, 2024",19
"Insect Spray 500 ml – Ready to Use, Quick Action Against Flying and Crawling Insects, Vermin Spray for Indoor and Outdoor Use, Fine Spray for Corners and Cracks",B0FBK3ZX9Q,https://www.amazon.de/dp/B0FBK3ZX9Q?psc=1,https://m.media-amazon.com/images/I/7112uQ4wKHL._AC_SY355_.jpg,KRAFTKÖNIG,18.99,443.74,"34,061",4.1,35,"Jun 21, 2025",9
"Premium vermin spray, immediate and effective formula, 500 ml insect spray against flying and crawling insects for indoor and outdoor use, can also be used as a fly spray",B0FV91LKRF,https://www.amazon.de/dp/B0FV91LKRF?psc=1,https://m.media-amazon.com/images/I/81XyUrHe2fL._AC_SY355_.jpg,KRAFTKÖNIG,34.99,132.69,"34,061",4.1,35,"Oct 8, 2025",5
"Premium vermin spray, immediate and effective formula, 500 ml insect spray against flying and crawling insects for indoor and outdoor use, can also be used as a fly spray",B0FV93Y9GY,https://www.amazon.de/dp/B0FV93Y9GY?psc=1,https://m.media-amazon.com/images/I/81vCG1KTweL._AC_SY355_.jpg,KRAFTKÖNIG,48.99,95.64,"34,061",4.1,35,"Oct 8, 2025",5
