Product Details,ASIN,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
Catchmaster 100i – Cockroach Traps 30 Pieces – Highest Quality Adhesive Roach Traps – No Poison or Biocides – Safe for Children and Pets – Natural Adhesive,B08D246QL2,https://www.amazon.es/dp/B08D246QL2?psc=1,https://m.media-amazon.com/images/I/71krquFNMmL._AC_SY355_.jpg,Catchmaster,17.99,"37,617.06",11,4.4,"3,964","Aug 12, 2020",67
"Ultrasonic Indoor Pest Repeller - Pack of 2 - Covers 140m2 per Device - 3 Modes - Repels Mice, Rats, Spiders, Mosquitos, Ants, Insects & Flies",B0FN11ZG3X,https://www.amazon.es/dp/B0FN11ZG3X?psc=1,https://m.media-amazon.com/images/I/71n+ft6fvbL._AC_SY355_.jpg,REPELIX ARMOUR,36.99,"14,001.48",180,4.2,694,"Sep 18, 2025",6
Catchmaster 100i – Roach Traps 300 Pieces – Adhesives Without Poison or Biocides – Safe for Children and Pets – Natural Adhesive,B08F7JHXJX,https://www.amazon.es/dp/B08F7JHXJX?psc=1,https://m.media-amazon.com/images/I/81fsy5qbpHL._AC_SY355_.jpg,Catchmaster,139,"12,590.65",11,4.4,"3,964","Sep 8, 2020",66
"Remi Hogar Insecticide Concentrate CYP 10 PLUS | 9.3% Cypermethrin | Cockroaches, Ants, Mosquitos, Spiders, Fleas, Ticks | Red Mite | Flying and Crawling Insects | Outdoor Use | 250 ml",B0FG3492FM,https://www.amazon.es/dp/B0FG3492FM?psc=1,https://m.media-amazon.com/images/I/511zcxMYDzL._SX342_.jpg,Remi Hogar,20.88,"5,964.53",472,4.1,53,"Jun 30, 2025",9
Roach Gel PRO 2x10g – Cockroach Killer Gel with Syringe – Cockroach Killer for Pest Elimination – Prolonged Action up to 4 Weeks,B0F7RVDH9C,https://www.amazon.es/dp/B0F7RVDH9C?psc=1,https://m.media-amazon.com/images/I/71dbcAJr1pL._SX342_.jpg,Novokill,17.99,"5,949.84",137,4.5,62,"May 7, 2025",10
"BACTERISAN Cucanor B 750 ml | Insecticide spray with fulminant action against all types of creeping and flying insects (ants, bed bugs, fleas, wasps and especially cockroaches).",B083BRZ3K9,https://www.amazon.es/dp/B083BRZ3K9?psc=1,https://m.media-amazon.com/images/I/616Faf31ImL._AC_SY355_.jpg,BACTERISAN,13.5,"5,046.83",168,4.4,441,"Dec 31, 2019",75
"Cucal Insecticide Double Bait Cockroach Trap, 6 Units",B00IW8YY8G,https://www.amazon.es/dp/B00IW8YY8G?psc=1,"https://m.media-amazon.com/images/I/71cy9vcPE6L._AC_SX355_PIbundle-6,TopRight,0,0_SH20_.jpg",Cucal,5.25,"4,916.69",45,4.3,"1,085","Sep 28, 2015",126
"Protect Home - Insecticide Total Discharge, Automatic, Old Solfac, 150 ml (Pack of 6)",B07T324X7Q,https://www.amazon.es/dp/B07T324X7Q?psc=1,https://m.media-amazon.com/images/I/71T0LimLUgL._AC_SX355_.jpg,PROTECT HOME,39.99,"3,885.26",194,4,"1,631","Feb 28, 2019",85
120 Pieces – Professional Extra Strong Adhesive Cockroach Traps with Food Attractant for Home – No Poison or Biocides – Made in Europe (120 Units),B0CWMYX6NY,https://www.amazon.es/dp/B0CWMYX6NY?psc=1,https://m.media-amazon.com/images/I/61vD4ZCqruL._AC_SY355_.jpg,DECEVI,49.99,"3,102.79",294,4.3,500,"Mar 16, 2024",24
"SWISSINNO Anti-Form Tape for Crawling Insects 5 cm x 5 m – Tree Protection | Ant Tape | Easy Use, Duration 3 Months",B075Y2N7WX,https://www.amazon.es/dp/B075Y2N7WX?psc=1,https://m.media-amazon.com/images/I/71Cg2ndfxnL._AC_SY355_.jpg,SWISSINNO,9.78,"2,517.66",154,3.8,"1,177","May 19, 2021",58
