Product Details,ASIN,URL,Image URL,Brand,Price  €,ASIN Revenue,BSR,Ratings,Review Count,Creation Date,Seller Age (mo)
"Beaphar – Spray & Automatic Diffuser Insecticide Habitat – Kills Flying Insects, Crawling Insects, Eggs and Larvae – Treats 80 m² – Long-lasting Action for up to 6 Months – 250 ml Bottle",B01JYS4W2K,https://www.amazon.fr/dp/B01JYS4W2K?psc=1,https://m.media-amazon.com/images/I/61qkvQ6zfOL._AC_SY355_.jpg,Beaphar,13.49,"17,977.65",47,4.3,"9,334","Aug 1, 2016",115
"Beaphar – Mini Automatic Insecticide Diffuser for Habitat – Kills Flying Insects, Crawling Insects, Eggs and Larvae – Treats 25 m² – Long-Lasting Action for up to 6 Months – 75 ml Bottle",B00BH1O3HM,https://www.amazon.fr/dp/B00BH1O3HM?psc=1,https://m.media-amazon.com/images/I/71A6Sy1NHdL._AC_SY355_.jpg,Beaphar,8.79,"9,878.91",56,4.3,"9,334","Aug 31, 2013",151
"BARSEC1000N Insect Barrier Spray for Crawling Insects, Flyers, Mite, Ready to Use, 1 L",B073QPX26L,https://www.amazon.fr/dp/B073QPX26L?psc=1,https://m.media-amazon.com/images/I/61UZtTO7qjL._AC_SY355_.jpg,Barrière à Insectes,7.89,"9,517.02",21,,0,"Jul 5, 2017",104
"BARFOPRET Special Insect Barrier for Ants and Other Crawlers, Ready to Use, 750 ml",B06XPL7S67,https://www.amazon.fr/dp/B06XPL7S67?psc=1,https://m.media-amazon.com/images/I/615f8wAjV0L._AC_SY355_.jpg,Barrière à Insectes,8.9,"8,909.94",49,4.4,"1,397","Mar 16, 2017",108
K.PRO - Insecticide Fumigator for flying and crawling - Special Infestation - Radical & Long-lasting Action - Leaves No Deposits - Professional Technique - 10g - Between 25 and 50 m²,B07KZG6Y6C,https://www.amazon.fr/dp/B07KZG6Y6C?psc=1,https://m.media-amazon.com/images/I/81pDAJR8O7L._AC_SY355_.jpg,K.PRO,30.68,"7,763",501,3.8,"1,420","Dec 2, 2018",87
"K.PRO - Diatomaceous Earth 100g - Eliminates crawling insects (cockroaches, flea ants) by contact - Measuring cap - Effective against red lice in poultry - Up to 100 m linear treatment",B07FR64ZPR,https://www.amazon.fr/dp/B07FR64ZPR?psc=1,https://m.media-amazon.com/images/I/71JC883+g1L._AC_SY355_.jpg,K.PRO,10.9,"7,474.68",116,4.2,949,"Jul 20, 2018",92
"PROTECT EXPERT Total Smoke - Removes All Flying & Crawling Insects - 130 m² - Removes Bed Bugs, Mites, Cockroaches, Fleas, Moths etc. - No Persistent Odors - Action Choc PUMIG10",B08NF85D2W,https://www.amazon.fr/dp/B08NF85D2W?psc=1,https://m.media-amazon.com/images/I/71O7Ux5UeGL._AC_SX355_.jpg,PROTECT EXPERT,15.65,"6,905.71",322,3.8,"1,062","Nov 13, 2020",64
K.PRO - Barrier for All Insects - Flying and Crawling - Preventive and Healing Effect - Up to 3 Months Protection - Immediate Action - Professional Technique - 1 l,B07KZKCFJX,https://www.amazon.fr/dp/B07KZKCFJX?psc=1,https://m.media-amazon.com/images/I/718NNYFKGjL._AC_SY355_.jpg,KAPO,17.5,"6,607.87",524,4.9,20,"Dec 2, 2018",87
K-OCIDE – Versatile Flying Insecticide – Crawling – Mini-Jet Valve – 400 ml,B00ENIOK38,https://www.amazon.fr/dp/B00ENIOK38?psc=1,https://m.media-amazon.com/images/I/61HeJGXErBL._AC_SY355_.jpg,K-O CIDE,6.49,"6,236.06",147,4.3,567,"Aug 7, 2013",151
"BEAPHAR – Spray & Automatic Home Insecticide Diffuser – Kills Flying Insects, Crawling Insects, Eggs and Larvae – Treats 160 m² – Long-Lasting Action Up to 6 Months – 500 ml Bottle",B01LYW1MFE,https://www.amazon.fr/dp/B01LYW1MFE?psc=1,https://m.media-amazon.com/images/I/61DkbNbZtsL._AC_SY355_.jpg,Beaphar,22.99,"6,108.17",56,4.3,"9,334","Sep 5, 2016",114
"SoluGuard Treatment for Larvae, Woodworms and Termites – 500 ml – Spray for Xylophagous Insects Destroying Wood – Ready to Use and Very Powerful",B07TXR59Y3,https://www.amazon.fr/dp/B07TXR59Y3?psc=1,https://m.media-amazon.com/images/I/71SdrmGCs4L._SX342_.jpg,Soluguard,24.99,"6,080.58","1,955",4.3,"7,101","Aug 8, 2023",31
"ALGOFLASH Naturasol Tree Glu with Integrated Applicator Brush, Traps Crawling Insects, 400 g Pot, BIOGLU400A, Green",B072M2V3Q3,https://www.amazon.fr/dp/B072M2V3Q3?psc=1,https://m.media-amazon.com/images/I/71YymcXaQfL._AC_SY355_.jpg,Algoflash,19.85,"6,008.60",387,3.8,881,"Jan 26, 2018",98
"BARRIERE A INSECTES Crawling Insects, Flying Mites Ready to Use Refill 1 L, Nicht Zutreffend",B084DVR1H7,https://www.amazon.fr/dp/B084DVR1H7?psc=1,https://m.media-amazon.com/images/I/71spk65CmEL._AC_SY355_.jpg,Barrière à Insectes,15.49,"5,991.70",21,,0,"Jan 31, 2020",74
"Insect Barrier Hydro Reactive Fumigen Against Flying and Crawling Insects, 10 g, BARSMOKE10, Yellow",B06XPGJYKJ,https://www.amazon.fr/dp/B06XPGJYKJ?psc=1,https://m.media-amazon.com/images/I/61DxbJ6kCOL._AC_SY355_.jpg,Barrière à Insectes,16.99,"5,756.94",,,0,"Mar 16, 2017",108
"Ultrasonic Rodent Insect Repellent, 6pcs Ultrasonic Anti Mosquito Ultrasonic Mice and Rats, Indoor Electronic Insect Repellent for Mice, Rats Ants, Spiders, Mosquitoes",B0G4LDDR6W,https://www.amazon.fr/dp/B0G4LDDR6W?psc=1,https://m.media-amazon.com/images/I/61BguG1M1FL._AC_SY355_.jpg,PEHTIY,21.88,"5,729.26","7,533",3,14,"Dec 18, 2025",3
"Toutpratique Anti Cockroach Shock Spray 500 ml Digrain Pal Choc Cockroaches, Mosquitoes, Flies, Cockroaches, Ants, Fleas, Bed Bugs.",B09L14QZS1,https://www.amazon.fr/dp/B09L14QZS1?psc=1,https://m.media-amazon.com/images/I/31H7cO1qVxL._AC_SY355_.jpg,DIGRAIN,17.27,"5,723.59","1,340",4.3,562,"Jan 5, 2022",50
PROTECT EXPERT PUMIG10X4 Set of 4 Anti-Bed Bug Fumigens - 4 x 10g - Removes Larvae & Bed Bugs & Mites Without Visible Deposits or Persistent Odours - Healing & Shock Action,B0BLWKVXMJ,https://www.amazon.fr/dp/B0BLWKVXMJ?psc=1,https://m.media-amazon.com/images/I/81hPg64WIqL._AC_SY355_.jpg,PROTECT EXPERT,57.9,"5,442.24",322,3.8,"1,062","Nov 9, 2022",40
"Beaphar – Home insecticide spray – Kills flying insects, crawling insects, eggs and larvae – For treating targeted areas – Long-lasting action up to 3 months – 500 ml bottle",B00BH1O3NG,https://www.amazon.fr/dp/B00BH1O3NG?psc=1,https://m.media-amazon.com/images/I/61cEN99enWL._AC_SY355_.jpg,Beaphar,12.49,"5,372.10",47,4.3,"9,334","Sep 1, 2013",150
"BEAPHAR - Automatic Home Insecticide Diffuser - Kills flying insects, crawling insects, eggs and larvae - Treats 65 m² - Long-lasting action up to 6 months - 200 ml bottle",B0072LOC5Y,https://www.amazon.fr/dp/B0072LOC5Y?psc=1,https://m.media-amazon.com/images/I/71PkYWzlBuL._AC_SY355_.jpg,Beaphar,19.22,"4,842.45",56,4.3,"9,334","Jan 27, 2012",170
K.PRO – Aerosol Spray for Cockroaches and Spiders – Radical Action – Long-Lasting Effect – Easy to Use – Professional Technique – 1 L,B08794TPQ6,https://www.amazon.fr/dp/B08794TPQ6?psc=1,https://m.media-amazon.com/images/I/71vYuHxQlNL._AC_SY355_.jpg,KAPO,13.5,"4,727.67","4,631",4,74,"Sep 7, 2020",66
K.PRO Total Fumigator - Removes All Flying & Crawling Insects - Special Infestation - Radical Action - Professional Technique - For 260 m3-20 g,B00BBJX8FS,https://www.amazon.fr/dp/B00BBJX8FS?psc=1,https://m.media-amazon.com/images/I/81Ng0WLv2DL._AC_SY355_.jpg,K.PRO,42.8,"4,595.36",501,3.8,"1,420","Feb 5, 2013",157
"Barrière à Insectes, Spider Special, Ready to Use - 750 mL",B01LWNFA5V,https://www.amazon.fr/dp/B01LWNFA5V?psc=1,https://m.media-amazon.com/images/I/61mZIW5CDJL._AC_SY355_.jpg,Barrière à Insectes,9.7,"4,427.54",342,4.3,994,"Sep 23, 2016",114
STONE GUARD Bloq Insectes Set of 4 x 1L with 4 Caps + 4 Sprayers,B01DFI1DO0,https://www.amazon.fr/dp/B01DFI1DO0?psc=1,https://m.media-amazon.com/images/I/61V3wdrZyFL._AC_SY355_.jpg,STONE GUARD,33.5,"3,786.89","3,351",4.3,"2,170","Mar 25, 2016",120
"K.PRO - Fumigen Insecticide Insecticide Flying and Crawling Insects - Special Infestation - Integral, Radical & Long-Lasting - Vegetable Pyrethrum - Professional Technique - 50 g - Approximately 40 m²",B09TWRCH4F,https://www.amazon.fr/dp/B09TWRCH4F?psc=1,https://m.media-amazon.com/images/I/71k9NiRyXdL._AC_SY355_.jpg,KAPO,16.5,"3,702.23","4,550",2.8,283,"Mar 4, 2022",48
"K.PRO – Aerosol Spray for Crawling Insects – Immediately Eliminates Cockroaches, Ants, Spiders, Fleas, Bed Bugs – Long-Lasting Effect – Ergonomic – Professional Technique – 400 ml",B00C61L3J8,https://www.amazon.fr/dp/B00C61L3J8?psc=1,https://m.media-amazon.com/images/I/71VM92BQBRL._AC_SY355_.jpg,KAPO,12.5,"3,638.07","1,621",4.3,204,"Apr 3, 2013",155
"BEAPHAR – Insecticide Spray Home + Geraniol – Kills Flying Insects, Crawling Insects, Eggs and Larvae – For Treating Targeted Areas – Long-Lasting Action for up to 3 Months – 250 ml Bottle",B0DKG5J6XS,https://www.amazon.fr/dp/B0DKG5J6XS?psc=1,https://m.media-amazon.com/images/I/61G0R1rH8zL._AC_SY355_.jpg,Beaphar,12.79,"3,558.17",47,4.3,"9,330","Oct 21, 2024",17
RepellShield Spider Repellent Spray for Home & Garden 250 ml - Concentrated Peppermint & Geraniol Spider Repellent - Non-Staining - Indoor & Outdoor Use - Spider Barrier Ready to Use,B08DDGKGPN,https://www.amazon.fr/dp/B08DDGKGPN?psc=1,https://m.media-amazon.com/images/I/71OG7NTWCRL._AC_SY355_.jpg,RepellShield,17.99,"3,381.04","2,403",4,"2,376","Aug 12, 2020",67
"DETOX ORGANICA Diatomaceous Earth Food - Ant, Outdoor Cat Repellent, Anti Slug and Snails, Anti Flea for Cats and Dogs, Dewormer - 1.5 kg White Diatomaceous Powder Uncalcined",B0DT7131LL,https://www.amazon.fr/dp/B0DT7131LL?psc=1,https://m.media-amazon.com/images/I/71k+IPtt1mL._SX342_.jpg,Detox Organica,17.99,"3,245.93","2,483",4.3,84,"Nov 7, 2023",28
PROTECT EXPERT PUMIG10X2 Set of 2 Anti-Bed Bug Fumigens - 2 x 10g - Removes Larvae & Bed Bugs & Mites Without Visible Deposits or Persistent Odours - Healing & Shock Action,B0BLWHXYTN,https://www.amazon.fr/dp/B0BLWHXYTN?psc=1,https://m.media-amazon.com/images/I/71YAuM-D2uL._AC_SY355_.jpg,PROTECT EXPERT,36.9,"3,197.77",322,3.8,"1,062","Nov 9, 2022",40
"Raid Max Ants, Spiders and Cockroaches - 2 in 1 Quick Action and Long Lasting - Up to 1 Month Effective - 1 Aerosol Spray",B0CS6VRMJ2,https://www.amazon.fr/dp/B0CS6VRMJ2?psc=1,https://m.media-amazon.com/images/I/716FdI0QL3L._AC_SY355_.jpg,Raid,7.3,"3,025.22",215,4.6,399,"Jan 12, 2024",26
