marketplace,asin,title,date,rating,review
DE,B00GD752XO,Nichts passiert,Reviewed in Germany on 16 May 2026,1,Die Ameisen haben nur gelacht  sonst nichts passiert
DE,B00GD752XO,Gelumpe gekauft,Reviewed in Germany on 24 February 2026,1,das Zeug taugt doch garnichts
DE,B00GD752XO,Schrott,Reviewed in Germany on 25 May 2025,1,Das einzigste was verschwand war meine Laune Ich meine auch gesehen zu haben wie die Ameisen mich ausgelacht haben 😔
DE,B00GD752XO,Keine Kaufempfehlung,Reviewed in Germany on 24 June 2023,1,Es war keine Wirkung bei den Ameisen zu erkennen und der Pumpmechanismus war drei Sprühstößen defekt! Finger weg von diesem Produkt!!
DE,B00GD752XO,Fehlkauff,Reviewed in Germany on 1 May 2022,1,"Leider fehlkauff, es stinkt, deswegen kommt Benutzung für uns nicht in Frage und sprühenwird nach zwei drücken nicht mehr möglich- billig system!?.  Wirksamkeit,  naja, nicht wirklich!"
DE,B00GD752XO,wirkt leider nur extrem kurz,Reviewed in Germany on 5 July 2021,1,"Das Mittel funktioniert wenn man es auf die aktive Straße sprüht. sobald es getrocknet ist, laufen die Ameisen wieder fleißig drüber. Die beschriebene 4 wöchige Langzeitwirkung gibt es nicht.Ich werde etwas anderes ausprobieren, dieses Mittel war ein Fehlkauf."
DE,B00GD752XO,Taugt nix.,Reviewed in Germany on 5 May 2022,1,Ich wollte damit Ameisen loswerden. Denke die haben sich darüber köstlich Amüsiert. Hat überhaupt nichts gebracht.
DE,B00GD752XO,Lo sconsiglio 100%,Reviewed in Italy on 19 March 2025,1,"Darei anche 0 stelle ma non si può. Non vale la pena, lo sconsiglierei 100%. Non ho avuto mai formiche in due giorni li trovo dappertutto ho pensato di prendere questo prodotto che non costa nemmeno poco. E rivelato una nullità. Alle formiche non li fa niente e ha un brutto odore insopportabile. Soldi buttati"
DE,B00GD752XO,Nada efectivo,Reviewed in Spain on 12 August 2021,1,"No hace nada, huele muy fuerte y al aplicarlo te pones perdida. No lo volveré a comprar."
DE,B00GD752XO,Does not work,Reviewed in the United States on 22 June 2026,1,"I had the ant problem about 98% under control and the fact that this product is natural/ non toxic & says it’s also a repellent up to 4 weeks is why I bought it.But in one day I found that it just does not work.I followed the instructions exactly, sprayed wherever the ants were seen and coming from.I’ve been making sure not to leave any traces of food out + wiping down surfaces and the ants keep coming back."
DE,B00GD752XO,Horrible outdoor smell,Reviewed in the United Kingdom on 6 February 2026,1,Didn't work and left me with a horrible  smell until it had worn off
DE,B00GD752XO,残留忌避効果なし,Reviewed in Japan on 16 May 2021,1,地域猫の餌場に大量の蟻が発生した為、ペットに無害ということで、購入。永続的残留忌避効果を期待したが、広範囲に散布するも全く効果はなく、すぐに餌の上には大量の蟻が来た。（一般的な小さい蟻）餌に集った蟻には直接散布出来ないので、直接散布した場合の効果は判らないが、購入の目的からしたら期待はずれ。
DE,B00GD752XO,"El espray dejó de funcionar, Excesivamente caro para el resultado.",Reviewed in Spain on 16 August 2021,1,"El espray dejó de funcionar, y su eficacia para eliminar las hormigas es exactamente igual que otro de marca blanca que cuesta entre 2 ó 3 €. Excesivamente caro para el resultado."
DE,B00GD752XO,Does Not Kill Spiders…. They Seem To Like It,Reviewed in the United States on 16 June 2026,1,False Advertising!  False Advertising. I sprayed directly on 2 different medium size spiders in the corner of windows and kept spraying for 45-60 seconds. They never died. I had to squash them. DOES NOT KILL ON CONTACT. Can not find an option for return. Bought only 18 days ago. Waste of money I don’t have to waste.
DE,B00GD752XO,Waste Of Money,Reviewed in the United States on 16 June 2026,1,Don't buy this. It's useless. Needed something to kill ants outside by my patio but also to be safe for my dog and cat. It doesn't work at all. If I could give zero stars I would.
DE,B00GD752XO,Just didn't work,Reviewed in the United States on 6 April 2026,1,"I was so surprised that this just didn't work. When I sprayed it on ants on my floor  upstairs, around the cat food bowls, those ants did die, but others came back. I sprayed the whole floor and surrounding baseboards and on their trails many days, and each time the ants returned. I read that others found this effective, but my ants must be resistant. I was very disappointed because this is safe for my cats. Not sure what to use next."
DE,B00GD752XO,Is it Safe for cats to walk on an area that's sprayed and air dried?,Reviewed in the United Kingdom on 24 August 2025,1,"Unsure how to rate this product as yet. The Instructions aren't particularly clear on how safe it is to use around my cat. When it's sprayed do you simply leave to air dry? It is safe for my cat to walk on a sprayed/dried area? I'm having huge problem with ants, I'm spraying but once it's dried I'm cleaning and removing any residue as I'm not sure if my cat can walk on it."
DE,B00GD752XO,Ants must be killed one at a time.,Reviewed in the United States on 20 May 2026,1,It must be sprayed on every ant does not kill the nest. Use talcum powder they drag it to the nest and kill it.  I don’t think it’s good for you or the environment.
DE,B00GD752XO,Does not work,Reviewed in the United States on 21 May 2026,1,Does not work. We have an ant problem. I’ve sprayed this no less than 10 times over the past two weeks and there are still ants everywhere.
DE,B00GD752XO,Dont waste your money,Reviewed in the United States on 8 March 2026,1,Dont waste your money. I purchased 2 bottles and the only time it works is when i spray it directly on the ants. I can spray it  and an hour later ants are crawling over the exact area
DE,B00GD752XO,Le formiche tornano,Reviewed in Italy on 16 November 2025,1,Repellente di brevissima durata: le formiche dopo poche ore tornano
DE,B00GD752XO,No lo compren,Reviewed in the United States on 16 April 2026,1,Olvidenlo las hormigas se lo bebían como agua y seguían vivas 🤪 no compren este producto
