marketplace,asin,title,date,rating,review
ES,B01G5BLS5I,No es efectivo ni duradero,Reviewed in Spain on 27 June 2026,1,"Compré el producto por la descripción y valoraciones, puedo afirmar que el efecto dura como un mes, solo un mes. Nones efectivo para hormigas mi es resistente al agua. Ha llovido dos días en este mes y creo que esto puede ser la causa, aún así, otros años he usado otro diferente que sí ha tenido gran efecto duradero."
ES,B01G5BLS5I,Malisimo,Reviewed in Spain on 5 July 2026,1,No vale para nada. Le echas por encima y tarda un buen rato en hacer efecto tanto en cucarachas como en arañas. Pero mucho tiempo. Y para colmo la supuesta barrera es falso. Las cucas pasan por encima como pedro por su casa. El peor insecticida que he probado
ES,B01G5BLS5I,Roto,Reviewed in Spain on 14 June 2026,1,Llegó totalmente roto y con fugas de producto por la boquilla. Lo he devuelto y me ha tocado pagar los portes. Un despropósito
ES,B01G5BLS5I,Muy malo,Reviewed in Spain on 1 June 2026,1,"No mata ninguna cucaracha,te asfixias tu por el holor pero ellas sigue huiendo sin morir! Mal producto!"
ES,B01G5BLS5I,Pésimo y caro,Reviewed in Spain on 4 July 2026,1,"No funciona,"
ES,B01G5BLS5I,Cero efectivo,Reviewed in Spain on 27 May 2026,1,"Nada efectivo,  las arañas se ríen en tu cara."
ES,B01G5BLS5I,Roto,Reviewed in Spain on 17 June 2026,1,Tapón roto
ES,B01G5BLS5I,Inútil.,Reviewed in Spain on 28 July 2025,1,"Es inservible a mas no poder. Lo compré guiado por la opinión positiva de muchos clientes, pero ha sido una decepción total. Ya he leí otras opiniones que decían que había cambiado de formato y no era tan eficaz como antes, pero no hice caso. Grave error. Este producto no sirve para nada. He llegado a pulverizarlo directamente sobre la maldita cucaracha (variedad alemana) y no muere a no ser que la sigas pulverizando durante unos 20 segundos o mas. Lo dicho, no merece la pena por el precio que tiene."
ES,B01G5BLS5I,Desconforme,Reviewed in Spain on 4 June 2026,1,La tapa está rota
ES,B01G5BLS5I,Mal producto peor vendedor !!,Reviewed in Spain on 27 July 2025,1,"Mal producto!!! Puesto que despues de gastar dos botes en una cocina de 10 metros cuadrados siguieron saliendo bichos tras reclamacion al vendedor su respuesta fue que no lo habia aplicado bien !!! Y que los bichos venian del exterior, si fuera asi señor vendedor repeleria incluso los del exterior , por mi parte muy mala experiencia con el PRODUCTO Y CON EL VENDEDOR!!!!"
