marketplace,asin,title,date,rating,review
FR,B01JYS4W2K,"N’a Pas fonctionné , 29 m2 contre puces",Reviewed in France on 30 September 2023,1,"J’espère que vous allez bien, je fais ce commentaire pour les gens qui souhaitent acheter ce produit pour contrer les PUCES .- J’ai un appartement de 29m2 avec une pièce regroupant salon/cuisine et une autre avec chambre/ toilette . Donc assez facile pour le Gaz de se répandre partout dans la maison, le produit devrait donc accéder à chaque partie de la maison .- Le produit étant sensé traiter 70m2 , j’en ai acheté 2 qui sont sensé donc traiter 140m2 soit 110m2 de plus que ma maison . J’ai fais cela car rien ne vaut la tranquillité, les puces ne piquent pas tout le monde mais malheureusement je suis le seul qui me fait piquer dans la famille (Elles sont sélectives) sachant que leur piqûre n’est pas adaptée pour l’homme, Elles grattent énormément, meme si on ne touche/gratte pas l’endroit, restes des semaines et la marque de la piqure donne une couleur foncé à votre peau quand elle sèche. Donc bon je me disais que ce n’est pas grave je préfère risquer ma santé pour ne pas être piquer et m’en débarrasser .- J’avais un chat qui n’était plus à la maison lors de l’utilisation et qui ne l’est plus actuellement (ne vous inquiétez pas il est chez ma belle mère) . En effet j’ai attendu de partir en vacances pour laisser la maison au maximum possible sous l’effet du produit .- j’avais tout nettoyé chaque recoin de la maison sachant que je nettoie tout les jours, tout enlevé du sol ( cables etc… ) tout ouvert histoire que le produit se pose partout . Le jour où je devais partir j’ai actionné les 2 produits chacun dans un pièce , les fenêtres fermées . Et j’ai quitté la maison renfermée sur elle-même pendant 4 jours en pensant bien étouffer ces nuisibles au maximum sous l’effet du produit .- En revenant bien évidemment je ne nettoie pas histoire de continuer l’action du produit en cas de présence des nuisibles. J’ai nettoyé uniquement table,bar,cuisine pour faire à manger sans s’intoxiquer .- Malheureusement je me suis fait piquer , je me suis dis bon c’est peut être un moustique par déni , le lendemain rebelote je sais que c’est des puces car franchement les piqûres de moustiques ne grattent pas autant ( meme pas du tout , si vous ne les grattez pas ils partent rapidement ) .- J’ai continué a me faire piquer, il faut par contre savoir que les insectes qui rentraient dans la maison malgré moustiquaires ( petit ) mourraient directement , et meme le jour où je suis revenu quand j’ai aéré et ouvert la fenêtre ne comportant pas de moustiquaire , une mouche est rentrée , je l’ai retrouvé inanimé sur le sol . Donc le produit est bien un insecticide cependant pas contre les puces . ( Il faut savoir que j’ai tenté de rester au maximum sur l’aspirateur uniquement en espérant que ca marche , j’ai même ouvert la fenêtre sans moustiquaire pour faire rentrer des insectes histoire de voir si cela était toujours actif et bien évidemment après 1 semaine les insectes que j’ai fais rentré persistaient donc cela contrarie la longévité proposée dans la description )- Ce commentaire est également là ( sans haine ) je pose mon expérience histoire d’aider également le créateur de ce produit à renforcer sa puissance contre les puces , c’est des organismes qui se reproduisent énormément et rapidement donc capable de muter et s’adapter rapidement aux insecticides ( voilà pourquoi la formule est réadaptée à chaque fois ) le mieux est de prendre un spécialiste .Je remercie Amazon de bien m’avoir aidé !"
FR,B01JYS4W2K,Déception,Reviewed in France on 1 November 2025,1,"Acheté en plusieurs exemplaires pour couvrir la surface totale et même plus que ma maison, c’était pour une découverte de punaise de lit très récente, limitée qu’à ma chambre parentale suite à un déplacement professionnel. Ce n’était pas du tout une invasion vu la vitesse à laquelle ces sales bêtes se reproduisent donc j’avais espoir que ça se règle vite puisqu’en plus j’ai été radicale j’ai viré matelas sommier linge de lit dans les 5mn qui ont suivies la découverte (très portée sur la propreté, imaginez l’état dans lequel je me suis mise)J’ai donc utilisée cette bombe dès le lendemain, je ne peux pas dire zéro effet mais en tout cas je n’en ai retrouvé aucune morte et ensuite j’en ai revu sur les murs une par une ou deux par deux. Pour rappel ce n’était pas une infestation donc logique que je n’en vois pas 50. Pour moi il n’y a pas eu l’effet radical/choc que laisse imaginer cette bombe et les autres fumigènes et spray que j’ai pu acheter de la marque k-pro.Bon courage à ceux qui comme moi ont vécu cette fâcheuse découverte, patience et investissement est le maître mot. J’ai acheté un vaporeto je l’ai passé les murs les plinthes les fissures le parquet les meubles tout tout tout et ce plusieurs fois. J’en retrouvais entre les actions de ménage, toujours des toutes petites plus aucune grosses. Aujourd’hui après 3 semaines cela fait 2 jrs que je n’en vois pas mais je ne suis pas sortie d’affaire je le sais et je m’y prépare encore psychologiquement.Bcp de stress et d’anxiété sont nés de cette mésaventure j’ai racheté toute ma literie matelas sommier couette oreiller et j’ai investi dans des housses intégrales pour matelas et oreillers.Si quelqu’un a un produit vraiment miraculeux je suis preneuse pour avoir en cas de retour. J’ai tout essayé même les huiles essentielles… quelle horreur j’imagine ceux qui n’ont pas de moyens financiers permettant ce que j’ai pu me permettre de faire et ceux qui vivent une vraie infestation."
FR,B01JYS4W2K,Ne devrait pas être autorisé à la vente!,Reviewed in France on 10 September 2025,1,"Whouaouh!produit d'une innefficacité incroyablement absolue!Pire même puisqu'après à peine 2 jours d'un semblant de diminution .... probablement juste le temps pour les puces de s'ébrouer un peu, sècher et retrouver leur souffle en revoilà encore + nombreuses qu'avant malgré un fumigène pour 160 m2 dans un garage de 20 m2 à peu près pour compenser le manque d'étanchéïté absolue de ce type de pièce.... et un 2ème pour 160 m2  aussi dans la maison de 62 m2 sans étage, pour être sure que toutes les pièces en bénéficient ... en laissant agir plus de 5h.... en aspirant dans les moindres recoins juste les 3 jours suivant avant de laver.... quitte à se croire sur une patinoire dans un rayon d'1m, 1m50 autour de l'endroit où était posé la bombe.... car plus loin pas ou peu de trace du produit .... ni au sol, ni sur les poignées et encore moins...enfin si c'était possible.... en hauteur... sur les étagères où pour les 2 ou 3 araignées présentes en haut des murs qui n'ont pas eu l'airperturbées le moins du monde .... malgré la dose le produit ne doit pas se répandre bien loin ni bien haut autour de la bombe ....De plus de par la conception, en mode spray, on en prend plein les doigts, ça pique, ça dégouline et la pression fait très mal!Je n'ai pas les moyens de jeter l'argent par les fenêtres et pourtant là ça a été le cas.... et pour 2 bombes pour 160 m2, il ne s'agit pas que de quelques euros!Ce produit ne devrait même pas être autorisé à la vente!Dommage qu'il ne soit pas possible d'être remboursé en cas d'inefficacité.....Sans être radical, des seaux d'eau très chaude additionnés d'huile de neem jetés dans le garage ont été plus efficaces pour réduire significativement le nombre d'envahisseuses plusieurs jours, sans revenir à autant qu'avant, toujours avec lavages et aspirateur garage et maison tous les jours le temps de recevoir cette fois un autre produit, concentré à diluer et à pulvériser... qui je l'espère sera + efficace...."
FR,B01JYS4W2K,Produits non efficace pour un appartement de 46m2,Reviewed in France on 23 June 2026,1,J’ai acheté 2 petites bombes fumigènes plus une grande de la même marque et avoir fait scrupuleusement toutes les indications à savoir que mon appartement ne fait que 46m2 et les petites bombes sont pour 20m2 chacune plus la grande à elle toute seul elle couvre .80m2 et bien ZÉRO JE ME GRATTE TOUJOURS DONC JE SUIS OBLIGÉE DE RECOMMENCER LES FUMIGÈNES AVEC F’AUTRES PRODUITSEN ESPÉRANT AVOIR PLUS DE CHANCE AVEC LE SÉRIEUX DES AUTRES PRODUITS
FR,B01JYS4W2K,Zero,Reviewed in France on 26 June 2026,1,"J'ai appuyé sur le bouton comme demander ça a commencé à sortir le produit est d'un coup ça s'est arrêté j'ai dû les respirer le produit pour pouvoir appuyer car le système ne fonctionnait pas ,vraiment déçuAucune efficacité ne sert a rien, argent jeté par la fenêtre"
FR,B01JYS4W2K,Produit INEFFICACE,Reviewed in France on 29 June 2026,1,Totalement inefficace !Acheté pour la seconde fois.Utilisé dans une caravane de 6m2.En respectant le mode d’utilisation.Résultat 24h après utilisation et local resté fermé :Des puces partout qui continuent de vous attaquer….Donc …. Produit complètement INEFFICACE !!!!
FR,B01JYS4W2K,Ne fonctionne pas,Reviewed in France on 12 June 2026,1,"Ne marche pas, j ai m y 2 diffuseure de 25 pour un placar de 4 par 2m salle de bain tour metoyé lavais a 70 c sarviette et tous le lendemain a nouveau des puce .... j ai meme 2 crique échapé du viva qui chanté ........ euuuuu il ce foute de ma gueul ......"
FR,B01JYS4W2K,Nul,Reviewed in France on 29 June 2026,1,"Inefficace au possible. Des puces dans mon sous sol, j’ai mis l’aérosol et il y en a toujours autant."
FR,B01JYS4W2K,Produit inutilisable,Reviewed in France on 24 June 2026,1,Le diffuseur ne se vide pas automatiquement après enclenchement de la languette jusqu'au clic. Dès relachement la languette revient en position et la diffusion s'arrête. Bref inutilisable
FR,B01JYS4W2K,Inefficace,Reviewed in France on 29 June 2026,1,"Complètement inefficace.Après avoir suivi toutes les instructions et laissé agir la journée , aucun changement."
