asin,brand,revenue,is_shampoo,segment,confidence,product_type,evidence,title
B00WN2BY7G,VICHY,54377,Y,Irritated / Atopic,H,shampooing,Anti-Pelliculaire; Pellicules & Démangeaisons; haute tolérance dermatologique; hypoallergénique; cuirs chevelus sensibles,"Vichy, DERCOS, DS Anti-Dandruff Shampoo, Dandruff & Itching, Normal to Oily Hair"
B01HYOB0LC,KÉRASTASE,34396,Y,Irritated / Atopic,H,shampooing,Shampoing Hydra-Apaisant pour cuirs chevelus sensibles; apaise les irritations et démangeaisons,"Kérastase, Specific, Hydra-Soothing Shampoo, For Sensitive Scalp, Bain Vital Der"
B01BPHAD1W,VICHY,19241,Y,Irritated / Atopic,H,shampooing,Shampooing anti-pelliculaire et anti-démangeaisons; rééquilibrer et améliorer la barrière cutanée; cheveux secs,"Vichy, Dercos, Shampooing Anti-Pelliculaire DS, Pellicules & Démangeaisons, Chev"
B003TZZSD2,Neutrogena,18073,Y,Irritated / Atopic,H,shampooing,Shampooing apaisant contre les démangeaisons; formule sans alcool et non irritante; testé sous contrôle dermatologique,Neutrogena – Anti-dandruff T/Gel Shampoo Strong Itching Severe (250 ml bottle) –
B09GRM5X73,VICHY,17621,Y,Irritated / Atopic,H,shampooing,Cuir chevelu à tendance psoriasique; anti-squames; anti-démangeaisons; formule hypoallergénique,"VICHY DERCOS PSOlution Kerator-Reductive Treatment Shampoo, Scalp with Psoriatic"
B01D5AP786,VICHY,10523,Y,Irritated / Atopic,H,shampooing,Shampooing Anti-Démangeaisons; Cheveux Secs; cuir chevelu sensible,"Vichy, Dercos, Ultra-Soothing, Anti-Itching Shampoo, Dry Hair, 200 ml"
B0F4Y5KYDC,Douxo,10491,N,,H,shampooing pour chien,Shampoing Anti-démangeaisons pour Chien (pet product),"DOUXO Skin & Coat Spa - Ultra-Safe Anti-itch Shampoo for Dogs, 250 ml, Cleans an"
B0CH8K9NMR,Wella Professionals,8884,Y,,H,shampooing,Shampoing purifiant; nettoyant profond; adapté pour les cheveux gras; éliminer les résidus de produits,Wella Professionals INVIGO SCALP BALANCE Shampoing purifiant – Soin purifiant en
B09LYWXD3Q,Redken,8736,Y,Irritated / Atopic,M,shampooing,Soulage Le Cuir Chevelu Irrité; soulagé des irritations (primary frame oily hair; explicit irritated claim),REDKEN - Amino Mint Shampoo - Purifies Oily Roots & Relieves Irritated Scalp - M
B00DO53Y74,KÉRASTASE,8485,Y,Irritated / Atopic,H,shampooing,Shampoing Hydra-Apaisant Pour Cuirs Chevelus Sensibles; apaise les irritations; calme les démangeaisons,"Kérastase, Specific, Hydra-Soothing Shampoo, For Sensitive Scalp, Bain Vital Der"
B07TZ9HV1S,Evolsin,8440,Y,Irritated / Atopic,H,shampooing,Shampooing contre l'eczéma et le psoriasis; cuir chevelu sec et irrité; la dermatite atopique,Evolsin Eczema and Psoriasis Shampoo I 250ml I Relief of itchy dry and irritated
B004Y73B92,VICHY,7177,Y,,H,shampooing,Shampooing Doux Fortifiant Tous Types de Cheveux; fortifie les cheveux; composition douce (no sensitive/irritated claim),"Vichy, Dercos, Gentle Mineral, Gentle Fortifying Shampoo, All Hair Types, 400 ml"
B0DB8DY2BN,L'Oréal Professionnel Paris,6752,Y,Irritated / Atopic,H,shampooing,Anti-Inconfort & Démangeaisons; Dermo-Régulateur pour Cuirs Chevelus Sensibles; testé sous contrôle dermatologique,L'OREAL PROFESSIONNEL - Scalp Advanced Anti-Inconfort & Démangeaisons - +83% d'A
B0BPYG9ZRJ,L'Oréal Professionnel Paris,6702,Y,Irritated / Atopic,H,shampooing,Anti-Inconfort & Démangeaisons; Dermo-Régulateur pour Cuirs Chevelus Sensibles; apaise les inconforts,L'OREAL PROFESSIONNEL - Scalp Advanced Anti-Inconfort & Démangeaisons - +83% d'A
B0DDTVL456,VICHY,6293,N,,M,shampooing 2-en-1,Shampooing Anti-Pelliculaire DS 2 en 1; Démêlant et Traitant (2-en-1; not standalone shampoo),"Vichy, Dercos, Shampooing Anti-Pelliculaire DS 2 en 1, Démêlant et Traitant, Pel"
B0BPYF46LP,L'Oréal Professionnel Paris,5814,Y,Irritated / Atopic,H,shampooing,Anti-Inconfort & Démangeaisons; Dermo-Régulateur pour Cuirs Chevelus Sensibles; +83% d'apaisement du cuir chevelu,L'OREAL PROFESSIONNEL - Scalp Advanced Anti-Inconfort & Démangeaisons - +83% d'A
B009USALZM,VICHY,4671,Y,Irritated / Atopic,H,shampooing,Shampooing Anti-Pelliculaire; Pellicules & Démangeaisons; Cuir Chevelu Sensible,"Vichy, Dercos, Anti-Dandruff Treatment Shampoo, Dandruff & Itching, Sensitive Sc"
B09QQT41TP,VICHY,4509,Y,Irritated / Atopic,H,shampooing,Shampooing Anti-Pelliculaire DS; Pellicules & Démangeaisons; testé par les dermatologues; cuirs chevelus sensibles,"Vichy, DERCOS, DS Anti-Dandruff Shampoo, Dandruff & Itching, Normal to Oily Hair"
