"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
6.,"Vichy, Dercos, Ultra-Soothing, Anti-Itching Shampoo, Dry Hair, 200 ml","B01D5AP786","https://www.amazon.fr/dp/B01D5AP786?psc=1","https://m.media-amazon.com/images/I/51ShtI-5AzL._AC_SX342_.jpg","VICHY",9.19,"1,148","1,148",500,"10,523.24","10,523.2",69,"1,602","AMZ",5.79,1,4.5,"1,191",7,55,"Amazon","Beauty","Extra Large Envelope","AMZ","17.30 x 4.90 x 4.90 cm",0.26,"N/A","Mar 18, 2016",,"No",123,"Amazon"
7.,"Neutrogena – Anti-dandruff T/Gel Shampoo Strong Itching Severe (250 ml bottle) – Soothing shampoo against itching – Effective hair care from the 1st wash","B003TZZSD2","https://www.amazon.fr/dp/B003TZZSD2?psc=1","https://m.media-amazon.com/images/I/71EfRJ8fubL._AC_SY355_.jpg","Neutrogena",9.99,"2,162","1,507","1,000","26,752.86","18,073.31",153,241,"AMZ",5.82,2,4.4,"4,935",7,37,"Amazon","Beauty","Large Envelope","AMZ","18.40 x 3.90 x 7.10 cm",0.31,"N/A","Jun 26, 2010",,"No",192,"Amazon"
14.,"Vichy, Dercos Technique, Ultra-Soothing, Anti-Itching, Oily Hair & Sensitive Scalp Shampoo, 200 ml","B01D5AP88A","https://www.amazon.fr/dp/B01D5AP88A?psc=1","https://m.media-amazon.com/images/I/51DJNxUMgkL._AC_SX342_.jpg","VICHY",9.19,364,364,200,"3,345.69","3,345.67",98,"2,585","AMZ",5.79,1,4.4,739,5,25,"Amazon","Beauty","Extra Large Envelope","AMZ","17.50 x 5.20 x 5.20 cm",0.24,"N/A","Jan 1, 2009",,"No",209,"Amazon"
15.,"Vichy, DERCOS, DS Anti-Dandruff Shampoo, Dandruff & Itching, Normal to Oily Hair, 390 ml","B00WN2BY7G","https://www.amazon.fr/dp/B00WN2BY7G?psc=1","https://m.media-amazon.com/images/I/71hyl3ZwenL._AC_SX342_.jpg","VICHY",13.69,"3,972","3,972","2,000","54,377.01","54,377.02",88,150,"AMZ",6.84,1,4.6,"11,214",10,248,"Amazon","Beauty","Extra Large Envelope","AMZ","20.30 x 5.40 x 5.60 cm",0.45,"N/A","Jun 3, 2015",,"No",132,"Amazon"
16.,"Phyto Anti-démangeaisons Dermo-soothing Shampoo 250ml","B0D9K9YML4","https://www.amazon.fr/dp/B0D9K9YML4?psc=1","https://m.media-amazon.com/images/I/61Hc8Ks3WHL._AC_SX342_.jpg","Phyto",7.87,185,185,100,"1,749.73","1,749.74",53,"5,933","AMZ",5.42,2,4,107,6,14,"Amazon","Beauty","Large Envelope","AMZ","15.60 x 3.60 x 6.90 cm",0.3,"N/A","Jul 16, 2024",,"No",23,"Amazon"
17.,"Vichy, Dercos, Shampooing Anti-Pelliculaire DS, Pellicules & Démangeaisons, Cheveux Secs","B01BPHAD1W","https://www.amazon.fr/dp/B01BPHAD1W?psc=1","https://m.media-amazon.com/images/I/51VG3gzfkSL._AC_SX342_.jpg","VICHY",13.87,"1,757","1,387",600,"22,638.58","19,241.88",88,976,"AMZ",6.87,1,4.6,"10,457",10,269,"Amazon","Beauty","Extra Large Envelope","AMZ","20.00 x 6.00 x 6.10 cm",0.45,"N/A","Feb 12, 2016",,"No",124,"Amazon"
18.,"Head & Shoulders DERMAXPRO Soothing Shampoo with Anti-Dandruff Shampoo & Skin Mask with Aloe Vera Active Skin Mask for Itching and Dry Scalp (2 x 250 ml)","B0CR1K45P3","https://www.amazon.fr/dp/B0CR1K45P3?psc=1","https://m.media-amazon.com/images/I/71CcsLIV4kL._AC_SY355_.jpg","Head & Shoulders",11.17,121,121,50,"1,664.47","1,664.47",153,"6,013","AMZ",6.79,1,4.6,790,1,14,"Amazon","Beauty","Extra Large Envelope","AMZ","19.60 x 6.00 x 7.70 cm",0.58,"N/A","Jan 11, 2024",,"No",29,"Amazon"
19.,"L'OREAL PROFESSIONNEL - Scalp Advanced Anti-Inconfort & Démangeaisons - +83% d'Apaisement du Cuir Chevelu et +49% d'Hydratation - Dermo-Régulateur pour Cuirs Chevelus Sensibles - Sans Silicone","B0BPYF46LP","https://www.amazon.fr/dp/B0BPYF46LP?psc=1","https://m.media-amazon.com/images/I/51kNujkXLUL._AC_SX342_.jpg","L'Oréal Professionnel Paris",15.98,956,309,100,"21,785.68","5,814.43",192,994,"AMZ",7.67,3,4.4,829,6,11,"Amazon","Beauty","Extra Large Envelope","AMZ","14.10 x 5.80 x 5.80 cm",0.35,"N/A","Mar 6, 2023",,"No",39,"Amazon"
20.,"Kérastase, Specific, Hydra-Soothing Shampoo, For Sensitive Scalp, Bain Vital Dermo-Calm","B01HYOB0LC","https://www.amazon.fr/dp/B01HYOB0LC?psc=1","https://m.media-amazon.com/images/I/71YG03m9baL._AC_SX342_.jpg","KÉRASTASE",24.02,"1,736","1,543",800,"42,882.06","34,396.58",87,624,"AMZ",8.39,1,4.7,"4,060",7,19,"Amazon","Beauty","Extra Large Envelope","AMZ","14.20 x 4.30 x 6.40 cm",0.29,"N/A","Feb 15, 2013",,"No",160,"Amazon"
21.,"Fauvert Professional Soothing Anti-Itch Shampoo - Sensitive Scalp Shampoo and - Moisturizing and Anti-Irritation Shampoo - Anti-Dandruff for Men and Women - 250 ml - Made in France","B01MUXQ38V","https://www.amazon.fr/dp/B01MUXQ38V?psc=1","https://m.media-amazon.com/images/I/51Nvi0TPerL._AC_SY355_.jpg","fauvert",13.29,54,54,"N/A",864.13,864.15,180,"10,027","FR",5.78,1,4.2,27,7,0,"Fauvert Professionnel","Beauty","Extra Large Envelope","FBA","14.20 x 5.10 x 5.10 cm",0.28,"N/A","Feb 7, 2017",,"No",112,"Fauvert Professionnel"
