"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
6.,"Vichy, Dercos, Ultra-Soothing, Anti-Itching Shampoo, Dry Hair, 200 ml","B01D5AP786","https://www.amazon.fr/dp/B01D5AP786?psc=1","https://m.media-amazon.com/images/I/51ShtI-5AzL._AC_SX342_.jpg","VICHY",9.19,"1,148","1,148",500,"10,523.24","10,523.2",69,"1,602","AMZ",5.79,1,4.5,"1,191",7,55,"Amazon","Beauty","Extra Large Envelope","AMZ","17.30 x 4.90 x 4.90 cm",0.26,"N/A","Mar 18, 2016",,"No",123,"Amazon"
7.,"Wella Professionals INVIGO SCALP BALANCE Shampoing doux et apaisant – pour cuir chevelu sensible – sans parfum","B0CH8K7R2R","https://www.amazon.fr/dp/B0CH8K7R2R?psc=1","https://m.media-amazon.com/images/I/61cztTve5DL._AC_SX342_.jpg","Wella Professionals",10.57,190,48,"N/A","4,206.83",640.16,110,"3,759","AMZ",7.68,2,4.6,310,6,16,"Amazon","Beauty","Extra Large Envelope","AMZ","14.70 x 5.70 x 5.80 cm",0.34,"N/A","Sep 15, 2023",,"No",33,"Amazon"
14.,"L'OREAL PROFESSIONNEL - Scalp Advanced Anti-Inconfort & Démangeaisons - +83% d'Apaisement du Cuir Chevelu et +49% d'Hydratation - Dermo-Régulateur pour Cuirs Chevelus Sensibles - Sans Silicone","B0BPYF46LP","https://www.amazon.fr/dp/B0BPYF46LP?psc=1","https://m.media-amazon.com/images/I/51kNujkXLUL._AC_SX342_.jpg","L'Oréal Professionnel Paris",15.98,956,309,100,"21,785.68","5,814.43",192,994,"AMZ",7.67,3,4.4,829,6,11,"Amazon","Beauty","Extra Large Envelope","AMZ","14.10 x 5.80 x 5.80 cm",0.35,"N/A","Mar 6, 2023",,"No",39,"Amazon"
15.,"Kérastase, Specific, Hydra-Soothing Shampoo, For Sensitive Scalp, Bain Vital Dermo-Calm","B01HYOB0LC","https://www.amazon.fr/dp/B01HYOB0LC?psc=1","https://m.media-amazon.com/images/I/71YG03m9baL._AC_SX342_.jpg","KÉRASTASE",24.02,"1,736","1,543",800,"42,882.06","34,396.58",87,624,"AMZ",8.39,1,4.7,"4,060",7,19,"Amazon","Beauty","Extra Large Envelope","AMZ","14.20 x 4.30 x 6.40 cm",0.29,"N/A","Feb 15, 2013",,"No",160,"Amazon"
16.,"L'OREAL PROFESSIONNEL - Scalp Advanced Anti-Inconfort & Démangeaisons - +83% d'Apaisement du Cuir Chevelu et +49% d'Hydratation - Dermo-Régulateur pour Cuirs Chevelus Sensibles - Sans Silicone","B0BPYG9ZRJ","https://www.amazon.fr/dp/B0BPYG9ZRJ?psc=1","https://m.media-amazon.com/images/I/51BKzGZTKcL._AC_SX342_.jpg","L'Oréal Professionnel Paris",23.08,956,254,100,"21,785.68","6,702",192,994,"AMZ",10.89,3,4.5,561,7,14,"Amazon","Beauty","Small Parcel","AMZ","18.80 x 7.30 x 7.30 cm",0.57,"N/A","Mar 6, 2023",,"No",39,"Amazon"
17.,"Vichy, Dercos Technique, Ultra-Soothing, Anti-Itching, Oily Hair & Sensitive Scalp Shampoo, 200 ml","B01D5AP88A","https://www.amazon.fr/dp/B01D5AP88A?psc=1","https://m.media-amazon.com/images/I/51DJNxUMgkL._AC_SX342_.jpg","VICHY",9.19,364,364,200,"3,345.69","3,345.67",98,"2,585","AMZ",5.79,1,4.4,739,5,25,"Amazon","Beauty","Extra Large Envelope","AMZ","17.50 x 5.20 x 5.20 cm",0.24,"N/A","Jan 1, 2009",,"No",209,"Amazon"
18.,"Topicrem - PH5 DERMO SPECIFIC - Gentle Milk Shampoo -Gently cleanses and protects - Sensitive scalp, delicate hair, Made in France - 500 ml","B00B2IXHH2","https://www.amazon.fr/dp/B00B2IXHH2?psc=1","https://m.media-amazon.com/images/I/51Le1fwbvOL._AC_SY355_.jpg","Topicrem",6.64,115,117,50,916.79,929.68,139,"5,788","AMZ",5.01,2,4.1,125,3,0,"Amazon","Beauty","Extra Large Envelope","AMZ","20.40 x 6.00 x 6.10 cm",0.57,"N/A","Jan 18, 2013",,"No",161,"Amazon"
19.,"Wella Professionals INVIGO SCALP BALANCE Shampoing doux et apaisant – pour cuir chevelu sensible – sans parfum","B0CGRRDVZD","https://www.amazon.fr/dp/B0CGRRDVZD?psc=1","https://m.media-amazon.com/images/I/61IPGkSC6kL._AC_SX342_.jpg","Wella Professionals",22.86,190,142,50,"4,206.83","3,566.72",110,"3,759","AMZ",10.03,2,4.6,310,6,16,"Amazon","Beauty","Small Parcel","AMZ","25.30 x 8.30 x 8.50 cm",1.1,"N/A","Sep 22, 2023",,"No",33,"Amazon"
20.,"Garnier Wahre Schätze Soothing Shampoo with Soft Oat Milk XXL, Soothing and Moisturizing, for Sensitive Hair and Sensitive Scalp, Maxi Size 1000 ml","B0BWFL7K64","https://www.amazon.fr/dp/B0BWFL7K64?psc=1","https://m.media-amazon.com/images/I/81dTV4CY72L._AC_SY355_.jpg","Garnier",10.08,33,33,"N/A",400.63,400.63,147,"24,343","AMZ",7.78,2,4.7,802,6,17,"Amazon","Beauty","Small Parcel","AMZ","22.70 x 7.10 x 18.70 cm",1.04,"N/A","Nov 26, 2025",,"No",7,"Amazon"
21.,"Phyto Anti-démangeaisons Dermo-soothing Shampoo 250ml","B0D9K9YML4","https://www.amazon.fr/dp/B0D9K9YML4?psc=1","https://m.media-amazon.com/images/I/61Hc8Ks3WHL._AC_SX342_.jpg","Phyto",7.87,185,185,100,"1,749.73","1,749.74",53,"5,933","AMZ",5.42,2,4,107,6,14,"Amazon","Beauty","Large Envelope","AMZ","15.60 x 3.60 x 6.90 cm",0.3,"N/A","Jul 16, 2024",,"No",23,"Amazon"
