"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  €","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  €","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
6.,"La Roche Posay Kerium Extra Gentle Shampoo for Sensitive Scalp, Calming and Soothing Effect, Deep Cleansed Scalp, with Polysorbate and Thermal Water, 400 ml","B00IVIMVFK","https://www.amazon.it/dp/B00IVIMVFK?psc=1","https://m.media-amazon.com/images/I/61z-YDxVoyL._AC_SX342_.jpg","La Roche-Posay",12.78,"3,090","3,090","1,000","39,824.78","39,824.78",156,277,"AMZ",6.94,1,4.5,"2,669",1,49,"Amazon","Beauty","Small Parcel","AMZ","19.70 x 6.30 x 6.40 cm",0.47,"N/A","Jan 1, 2009",,"No",209,"Amazon"
7.,"Vichy Dercos Ultra Soothing Shampoo for Sensitive Skin and Dry Hair, Soothing Action, Scalp Itchy and Reduced Redness with Glycerin and Panthenol, 200 ml","B01D5AP786","https://www.amazon.it/dp/B01D5AP786?psc=1","https://m.media-amazon.com/images/I/51nI-ksFUvL._AC_SX342_.jpg","VICHY",10.79,775,775,400,"8,511.68","8,511.68",153,"1,405","AMZ",6.25,1,4.5,"1,203",6,55,"Amazon","Beauty","Extra Large Envelope","AMZ","17.30 x 4.90 x 4.90 cm",0.26,"N/A","Mar 18, 2016",,"No",123,"Amazon"
13.,"Bionike Defence Hair Dermolenitive Shampoo for Sensitive and Irritable Skin, Protective and Moisturizing Action, Gently Cleanses, Soothes and Gives Relief from Irritation and Itching","B075WGFSFN","https://www.amazon.it/dp/B075WGFSFN?psc=1","https://m.media-amazon.com/images/I/41fLqJY1ryL._AC_SX342_.jpg","Bionike",5.7,"1,910","1,025",500,"13,629.58","7,772.93",182,"1,936","AMZ",4.2,24,4.4,973,6,7,"Amazon","Beauty","Extra Large Envelope","AMZ","20.50 x 5.00 x 7.60 cm",0.47,"N/A","Oct 11, 2017",,"No",104,"Amazon"
14.,"Vichy Dercos Ultra Soothing Shampoo for All Hair Types, Soothing Action, Scalp Itchy and Reduced Redness with Vitamin Cg and Panthenol, 200 ml","B01D5AP88A","https://www.amazon.it/dp/B01D5AP88A?psc=1","https://m.media-amazon.com/images/I/616JMgj9Q0L._AC_SX342_.jpg","VICHY",9.06,495,495,"N/A","4,479.88","4,479.9",142,"2,360","AMZ",5.35,1,4.5,742,1,28,"Amazon","Beauty","Extra Large Envelope","AMZ","17.50 x 5.20 x 5.20 cm",0.24,"N/A","Jan 1, 2009",,"No",209,"Amazon"
15.,"Aveeno Shampoo 300ml","B08GNZS4B1","https://www.amazon.it/dp/B08GNZS4B1?psc=1","https://m.media-amazon.com/images/I/61QUJstvqjL._AC_SY355_.jpg","Aveeno",7.7,"1,436","1,129",600,"16,830.47","12,390.78",20,765,"AMZ",5.14,17,4.5,875,7,16,"Amazon","Beauty","Extra Large Envelope","AMZ","17.70 x 4.10 x 8.00 cm",0.33,"N/A","Jan 20, 2016",,"No",125,"Amazon"
16.,"Dermovitamina Itching Soothing Shampoo - For Sensitive and Delicate Scalp - Gentle Cleansing - Frequent Washes - With Bisabolol and Oat Protein - Sulphate-free Shampoo - 200 ml","B07SHQNKFR","https://www.amazon.it/dp/B07SHQNKFR?psc=1","https://m.media-amazon.com/images/I/41SQ42uPrlL._AC_SY355_.jpg","Dermovitamina",6.97,"1,026","1,026",400,"7,827.53","7,827.52",176,"1,532","AMZ",4.25,11,4.2,"1,069",5,11,"Amazon","Beauty","Extra Large Envelope","AMZ","17.60 x 4.70 x 7.80 cm",0.23,"N/A","Jun 1, 2019",,"No",84,"Amazon"
17.,"BBionike Defence Hair - Extra Gentle Shampoo Oil Frequent Washes, for Sensitive and Irritable Skin, Soothes and Relieves Itching and Irritation","B08KFV2R9M","https://www.amazon.it/dp/B08KFV2R9M?psc=1","https://m.media-amazon.com/images/I/41oN4Hxz8GL._AC_SX342_.jpg","Bionike",4.89,881,881,400,"6,408.55","6,408.54",143,"1,178","AMZ",4.12,21,4.3,"1,076",6,5,,"Beauty","Extra Large Envelope","AMZ","20.50 x 4.50 x 7.30 cm",0.47,"N/A","Sep 28, 2020",,"No",69,
18.,"RestivOil Zero Shampoo Anti Itching and Irritation for Hair Physiological Mild Oil with Cleansing Action, for All Hair Types, Brown, 150 ml","B01B4YXHOQ","https://www.amazon.it/dp/B01B4YXHOQ?psc=1","https://m.media-amazon.com/images/I/61iVOFdZqbL._AC_SY355_.jpg","RestivOil",8.3,"1,168","1,168",400,"12,842.09","12,842.06",139,"1,285","AMZ",5.16,18,4.3,"3,251",7,7,"Amazon","Beauty","Extra Large Envelope","AMZ","16.60 x 5.20 x 5.30 cm",0.19,"N/A","Nov 11, 2015",,"No",127,"Amazon"
23.,"BioNike Triderm D.S. Seborrheic Dermatitis Treatment Shampoo for Seborrheic Dermatitis and Soothing Action, Relieves Itching, Irritation and Flaking, 125 ml","B08WJZXC4Y","https://www.amazon.it/dp/B08WJZXC4Y?psc=1","https://m.media-amazon.com/images/I/41YLGNQatJL._AC_SX342_.jpg","Bionike",10.84,"2,386","2,386","1,000","32,500.01","32,500.04",156,84,"AMZ",6.27,15,4.4,"1,747",6,32,"Amazon","Pet Supplies","Extra Large Envelope","AMZ","18.30 x 5.30 x 5.40 cm",0.16,"N/A","Feb 11, 2021",,"No",64,"Amazon"
24.,"Kérastase Spécifique Dermo-Calm Hydra-Soothing Shampoo for Sensitive Scalp, Bain Vital, 250 ml","B01HYOB0LC","https://www.amazon.it/dp/B01HYOB0LC?psc=1","https://m.media-amazon.com/images/I/51xcMrQYmgL._AC_SX342_.jpg","KÉRASTASE",23.1,"1,593","1,593",600,"36,863.63","36,863.64",94,847,"AMZ",7.7,1,4.6,"3,299",7,16,"Amazon","Beauty","Extra Large Envelope","AMZ","14.20 x 4.30 x 6.40 cm",0.29,"N/A","Feb 15, 2013",,"No",160,"Amazon"
