"Display Order","Product Details","ASIN","URL","Image URL","Brand","Price  £","Parent Level Sales","ASIN Sales","Recent Purchases","Parent Level Revenue","ASIN Revenue","Title Char. Count","BSR","Seller Country/Region","Fees  £","Active Sellers","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","ABA Most Clicked","Creation Date","Sponsored","Best Seller","Seller Age (mo)","Seller"
13.,"Psoriasis & Folliculitis Scalp Treatment Shampoo: Seborrheic Dermatitis Formula, Anti-Dandruff, Itchy and Dry Scalp Care with Salicylic Acid, Piroctone Olamine, Biotin, Rosemary, Coconut Oil","B0GL2T9QSZ","https://www.amazon.co.uk/dp/B0GL2T9QSZ?psc=1","https://m.media-amazon.com/images/I/71laOpg4JjL._AC_SY355_.jpg","Recuren Plus",21.66,"1,180","1,180",900,"26,986.15","26,986.15",190,"6,320","GB",6.88,2,4.7,261,8,27,"Regeneration Store","Beauty","Extra Large Envelope","FBA","21.50 x 5.20 x 5.50 cm",0.35,"N/A","Feb 2, 2026",,"No",4,"Regeneration Store"
14.,"E45 Dry Scalp Shampoo for Very Dry, Itchy and Flaky Scalp - Anti Dandruff Shampoo with hydrating Vitamin B5 – Free from fragrance, soap and perfume 200ml","B001RYUCQU","https://www.amazon.co.uk/dp/B001RYUCQU?psc=1","https://m.media-amazon.com/images/I/51HBv-3f1lL._AC_SY355_.jpg","E45",4.16,"8,561","8,561","7,000","49,943.42","49,943.42",153,289,"AMZ",2.86,4,4.5,"6,808",6,42,"Amazon","Beauty","Large Envelope","AMZ","15.50 x 3.30 x 6.40 cm",0.23,"N/A","Aug 21, 2008",,"No",214,"Amazon"
28.,"Folliculitis & Seborrheic Dermatitis Shampoo – Anti-Dandruff, Psoriasis & Itchy Scalp Treatment – Soothes Redness, Flaking & Irritation","B0FGGTST5H","https://www.amazon.co.uk/dp/B0FGGTST5H?psc=1","https://m.media-amazon.com/images/I/71IqBcDgPuL._AC_SY355_.jpg","PHARMBANNER",17.41,"3,940","3,033","2,000","85,713.66","66,029.45",135,"1,071","US",6.28,2,4.4,"1,524",8,42,"PHARMBANNER Store","Beauty","Extra Large Envelope","FBA","17.70 x 5.50 x 5.60 cm",0.31,"N/A","Jul 2, 2025",,"No",11,"PHARMBANNER Store"
29.,"Head & Shoulders DermaXPro Soothing Comfort Anti Dandruff Shampoo 500ml with Aloe Vera Extract and Ceramide Complex. Soothes Dry, Itchy Scalp and Helps Reinforce the Skin Barrier","B0BRCXJHNM","https://www.amazon.co.uk/dp/B0BRCXJHNM?psc=1","https://m.media-amazon.com/images/I/51rLC5RhtnL._AC_SY355_.jpg","Head & Shoulders",5.54,"6,061","6,061","5,000","40,921.6","40,921.57",178,594,"AMZ",3.97,3,4.6,"2,781",7,47,"Amazon","Beauty","Extra Large Envelope","AMZ","21.70 x 4.75 x 8.00 cm",0.56,"N/A","Dec 30, 2022",,"No",42,"Amazon"
30.,"Nizoral Scalp Soothing Itchy & Sensitive Shampoo, 24 Hour Soothing Care, Ongoing Relief for Dry, Itchy and Flaky Scalps, For Healthy Looking, Shiny Hair, Contains Aloe Vera, 1 x 200ml","B0CW9YBY2T","https://www.amazon.co.uk/dp/B0CW9YBY2T?psc=1","https://m.media-amazon.com/images/I/618xTrQ36-L._AC_SY355_.jpg","Nizoral",5.32,"10,249","3,552","3,000","62,585.72","21,833.88",183,168,"AMZ",3.2,11,4.3,"1,781",8,23,"Amazon","Beauty","Extra Large Envelope","AMZ","16.60 x 4.80 x 7.50 cm",0.23,"N/A","Feb 23, 2024",,"No",28,"Amazon"
35.,"Polytar Scalp Shampoo, For Scalp Conditions, Reduces Itching, Inflammation and Scales, Shampoo Treats Psoriasis, Seborrhoeic Dermatitis, Eczema and Dandruff, Contains Coal Tar Solution, 1 x 150ml","B07NPW27GG","https://www.amazon.co.uk/dp/B07NPW27GG?psc=1","https://m.media-amazon.com/images/I/51mDg3JzvTL._AC_SY355_.jpg","Polytar",7.49,"11,890","11,890","8,000","125,993.18","125,993.16",195,222,"AMZ",3.18,10,4.5,"5,458",7,40,"Amazon","Beauty","Large Envelope","AMZ","16.40 x 3.40 x 7.60 cm",0.19,"N/A","Apr 5, 2019",,"No",86,"Amazon"
36.,"Head & Shoulders Anti-Dandruff Shampoo Pro-Expert 7 Intense Itch Rescue 300ml. Fights 7 Scalp Issues for Complete Scalp Protection. Clinically Proven to Instantly Cool and Fight the Causes of Itching","B0DJT5BSJ1","https://www.amazon.co.uk/dp/B0DJT5BSJ1?psc=1","https://m.media-amazon.com/images/I/71p30g+tMKL._AC_SY355_.jpg","Head & Shoulders",3.32,511,487,500,"2,425.95","2,331.74",199,"1,284","AMZ",2.94,3,4.6,124,7,15,"Amazon","Baby Products","Large Envelope","AMZ","19.40 x 3.80 x 7.40 cm",0.36,"N/A","Oct 10, 2024",,"No",20,"Amazon"
37.,"Seborrheic Dermatitis & Psoriasis Scalp Shampoo: Folliculitis Shampoo, Anti-Dandruff Shampoo for Itchy, Redness-Prone Scalp, with Salicylic Acid, Sulfate-Free","B0GLQ3K3B2","https://www.amazon.co.uk/dp/B0GLQ3K3B2?psc=1","https://m.media-amazon.com/images/I/71QCJZbhIzL._AC_SY355_.jpg","Kopa Haiku",21.66,846,846,600,"21,993.32","21,993.32",158,"5,610","CN",6.88,1,4.8,266,7,45,"FreshLui","Beauty","Extra Large Envelope","FBA","19.70 x 5.50 x 5.50 cm",0.35,"N/A","Feb 5, 2026",,"No",4,"FreshLui"
38.,"Aveeno Scalp Soothing Haircare Clarify & Shine Shampoo, Apple Cider Vinegar Blend, for All Hair Types, Soothes Dry, Itchy & Flaky Scalp, Clinically Proven, Sulfate Free, 300ml","B0BQTMHNW9","https://www.amazon.co.uk/dp/B0BQTMHNW9?psc=1","https://m.media-amazon.com/images/I/61Zo4uoLF8L._AC_SY355_.jpg","Aveeno",3.98,"14,477","14,477","10,000","79,043.26","79,043.26",175,106,"AMZ",2.9,9,4.5,"3,643",9,34,"Amazon","Beauty","Extra Large Envelope","AMZ","17.40 x 4.10 x 8.40 cm",0.34,"N/A","Feb 1, 2023",,"No",40,"Amazon"
42.,"Sea Magik - Salicylic Acid Shampoo for Psoriasis & Itchy Scalp Relief, Soothing Antibacterial Seaweed Treatment for Medicated Conditions Like Folliculitis, Eczema & Scalp Acne, Cruelty-Free (300ml)","B08NPPK4CX","https://www.amazon.co.uk/dp/B08NPPK4CX?psc=1","https://m.media-amazon.com/images/I/61RGjHqAEyL._AC_SY355_.jpg","Sea Magik",9.79,"3,881","2,768","2,000","55,807.71","32,426.86",197,947,"GB",4.74,9,4.3,"1,110",9,37,"Sea Magik","Beauty","Extra Large Envelope","FBA","19.80 x 5.10 x 5.10 cm",0.34,"N/A","Nov 17, 2020",,"No",67,"Sea Magik"
