Display Order,Product Details,ASIN,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,Recent Purchases,Parent Level Revenue,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller
1,Ketoz OLIN 2% Shampoo 120 ml,B00EMGLQS8,Irritated / Atopic,https://www.amazon.de/dp/B00EMGLQS8?psc=1,https://m.media-amazon.com/images/I/81KWPzw0xaL._SY355_.jpg,Ketozolin,14.03,"10,880","6,121",N/A,"195,170.18","108,096.66",28,"245,199",N/A,6.2,19,4.5,"9,088",6,4,Aromaölmanufaktur,Beauty,Extra Large Envelope,MFN,17.50 x 4.70 x 6.00 cm,0.15,N/A,"Jul 26, 2013",,No,155,Aromaölmanufaktur
32,"Kérastase Genesis Bain Hydra-Fortifiant, Kräftigendes Shampoo bei Haarverlust durch Haarbruch, Haarpflege bei brüchigem Haar",B083JJHLT4,,https://www.amazon.de/dp/B083JJHLT4?psc=1,https://m.media-amazon.com/images/I/51g1SCWIZNL._SX342_.jpg,KÉRASTASE,21.66,"4,952","4,080","3,000","117,718.89","91,508.54",124,149,AMZ,7.71,1,4.6,"9,648",8,196,Amazon,Beauty,Extra Large Envelope,AMZ,14.20 x 4.30 x 6.60 cm,0.29,N/A,"Jan 6, 2020",,No,77,Amazon
36,"Vichy Anti-Schuppen Pflegeshampoo für trockenes Haar, 6 Wochen Anti-Rückfall-Wirkung, Frei von Parabenen, Mit Selendisulfid und Salicylsäure, Dercos Anti-Schuppen",B01BPHAD1W,Irritated / Atopic,https://www.amazon.de/dp/B01BPHAD1W?psc=1,https://m.media-amazon.com/images/I/61vZXjahglL._SX342_.jpg,VICHY,18.6,"5,713","4,115","3,000","104,961.33","76,539.29",162,183,AMZ,6.26,1,4.7,"10,565",11,195,Amazon,Kosmetik,Extra Large Envelope,AMZ,20.00 x 6.00 x 6.10 cm,0.45,N/A,"Feb 12, 2016",,No,124,Amazon
37,"Vichy Dercos Anti-Schuppen Shampoo fettige Kopfhaut, 390ml : Beruhigendes Shampoo Salicylsäure für normale bis fettiges Haar",B00WN2BY7G,Irritated / Atopic,https://www.amazon.de/dp/B00WN2BY7G?psc=1,https://m.media-amazon.com/images/I/71bRhFM9XRL._SX342_.jpg,VICHY,19.2,"3,785","3,597","3,000","72,292.72","68,925.45",124,235,AMZ,6.35,1,4.6,"12,157",11,314,Amazon,Beauty,Extra Large Envelope,AMZ,20.30 x 5.40 x 5.60 cm,0.45,N/A,"Apr 24, 2015",,No,134,Amazon
6,"VICHY Anti-Haarverlust Vital-Shampoo+ für sensible Kopfhaut, Stärkt die Verankerung der Haarwurzel, Mit Aminexil, Dercos Anti-Haarverlust, 400 ml",B004SBLR4U,Irritated / Atopic,https://www.amazon.de/dp/B004SBLR4U?psc=1,https://m.media-amazon.com/images/I/51ivZij+mdL._SX342_.jpg,VICHY,18.5,"3,693","3,693","2,000","68,065.46","68,065.46",145,241,AMZ,7.24,1,4.5,"5,353",9,176,Amazon,Kosmetik,Extra Large Envelope,AMZ,20.20 x 5.60 x 5.83 cm,0.47,N/A,"Jul 3, 2012",,No,167,Amazon
13,Fanola No Yellow Silver Shine Shampoo Anti Yellow 350ml,B08DFY5V5H,,https://www.amazon.de/dp/B08DFY5V5H?psc=1,https://m.media-amazon.com/images/I/5145AP0WJPL._SY355_.jpg,FANOLA,11.66,"5,106","3,681","1,000","55,255.22","41,174.94",55,"1,714",IT,4.97,3,4.5,"8,936",5,129,Amazon,Beauty,Small Parcel,MFN,25.20 x 6.50 x 7.30 cm,0.4,N/A,"Apr 12, 2018",,No,98,Amazon
30,"Kérastase Resistance Bain Volumifique Shampoo, 250 ml, Pack of 1",B004CJJO2A,,https://www.amazon.de/dp/B004CJJO2A?psc=1,https://m.media-amazon.com/images/I/51O+0cNB4LL._SX342_.jpg,KÉRASTASE,22.14,"1,423","1,423",700,"31,783.47","31,783.47",64,"1,915",AMZ,6.79,1,4.4,"4,705",5,33,Amazon,Beauty,Extra Large Envelope,AMZ,14.00 x 4.60 x 6.70 cm,0.29,N/A,"Jul 8, 2008",,No,215,Amazon
39,Redken Amino Mint Shampoo: Refreshing Hair Shampoo Against Oily Hair,B09LYWXD3Q,Irritated / Atopic,https://www.amazon.de/dp/B09LYWXD3Q?psc=1,https://m.media-amazon.com/images/I/61ToWhHnNrL._SX342_.jpg,Redken,16.34,"1,855","1,855","1,000","30,875.38","30,875.37",68,767,AMZ,6.12,25,4.4,"2,762",6,53,Amazon,Beauty,Extra Large Envelope,AMZ,17.40 x 5.60 x 7.10 cm,0.35,N/A,"Dec 8, 2021",,No,54,Amazon
29,"Kérastase Symbiose, Feuchtigkeitsspendendes Anti-Schuppen Shampoo, Für trockene und empfindliche Kopfhaut, Ohne Sulfate und Silikone, Bain Crème Anti-Pelliculaire, 250 ml",B0BNNV8K2D,Irritated / Atopic,https://www.amazon.de/dp/B0BNNV8K2D?psc=1,https://m.media-amazon.com/images/I/61trAzXGbgL._SX342_.jpg,KÉRASTASE,23.29,"1,287","1,287",700,"30,124.20","30,124.18",170,"1,871",AMZ,7.95,1,4.5,"1,795",12,38,Amazon,Kosmetik,Extra Large Envelope,AMZ,14.20 x 4.20 x 6.50 cm,0.29,N/A,"Nov 30, 2022",,No,43,Amazon
36.1.,"Vichy Anti-Schuppen Pflegeshampoo für trockenes Haar, 6 Wochen Anti-Rückfall-Wirkung, Frei von Parabenen, Mit Selendisulfid und Salicylsäure, Dercos Anti-Schuppen",B00VTQXCAE,Irritated / Atopic,https://www.amazon.de/dp/B00VTQXCAE?psc=1,https://m.media-amazon.com/images/I/61-46jM7N6L._SX342_.jpg,VICHY,18.6,"5,713","1,598",500,"104,961.33","28,422.03",162,183,N/A,6.26,1,4.7,"10,565",11,273,,Beauty,Extra Large Envelope,MFN,17.40 x 5.20 x 5.50 cm,0.24,N/A,"Jun 25, 2008",,No,216,
